,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Dr. Sniffy NFT,10000.0,ETH,True,0.04,2022-05-18 06:00:00,0.04,2022-05-18 06:00:00,drsniffynft,drsniffynft,https://drsniffynft.io
1,Worlds Collective,10000.0,ETH,True,0.05,2022-05-18 07:00:00,0.05,2022-05-18 07:00:00,None,WorldsCollect,https://worldscollective.io/
2,Droopy Apes,4000.0,ETH,True,0.06,2022-05-18 00:00:00,0.06,2022-05-18 00:00:00,yvRjRrvkMB,DroopyApes,http://droopyapes.com/
3,Storyworlds,9889.0,ETH,False,,,,,s6Ukq6eU4C ,Storyworlds_xyz,http://storyworldscomic.xyz
4,ILYYW x Blankos Collab | Blankos Block Party,1800.0,ETH,False,,,,,playblankos,PlayBlankos,https://news.mythicalgames.com/ilyyw-x-blankos-drops-may-18th
5,Dragon Fam - Web 3 Wizards Collection,1000.0,,False,,,,,4MQqef5mnc,Web3WizardsNFT,https://dragonfamnft.com
6,Fat Cats,5000.0,ETH,False,,,,,99YpqXsrCv,FatCatsDao,https://www.fatcats.art
7,Influencer of the BB01,10000.0,ETH,True,0.15,2022-05-18 00:00:00,0.15,2022-05-18 00:00:00,planetbb01,BB01NFT,https://bb01-official.com/BB01
8,Mighty Pirates,2888.0,SOL,False,,,,,XunMQBW77z,SolMightyPirate,https://mightypirates.io/
9,SixthRéseau,7777.0,ETH,True,0.16,2022-05-18 00:00:00,0.16,2022-05-18 00:00:00,reseau,sixthreseau,https://www.reseauclo.com/
10,Nordeins,989.0,SOL,True,1.75,2022-05-19 05:00:00,1.75,2022-05-19 05:00:00,nordeins,nordeins,https://www.nordeins.com/
11,Dinosaur Game,5555.0,ETH,True,,2022-05-19 17:00:00,,2022-05-19 17:00:00,ZrxbvmEZ9a,dinosaurgamenft,https://dinosaurgame.xyz/
12,MetaVolution,8778.0,ETH,False,,,,,MetaVolution,MetaVolutionNFT,https://www.metavolution.io/genesis
13,Witlink AI,7000.0,ETH,False,,,,,eYUyCx5YgT,WitlinkA,https://witlink.ai/
14,THE NOMAD(E) DROP Graphene-X First NFT Drop,50.0,ETH,False,,,,,B39UJjmjpz,bnv_me,https://www.bnv.me/campaigns/graphene-x-p1
15,Boonies Skull,5555.0,ETH,False,,,,,Yfrk2qdGhe,BooniesSkullNFT,https://booniesskull.com/
16,Homaland Club,5555.0,ETH,False,,,,,JHFu5Ktct8,homaland_nft,https://www.homaland.org/
17,Labyrinthine Unreal,7110.0,ETH,False,,,,,labyrinthine,LabyrinthUnreal,https://www.labyrinthineunreal.io/
18,Meta Hookahs,1111.0,ETH,True,0.055,,0.055,,282sbZnFkQ,MetaHookahs,https://metahookahs.io
