,currency,discord,has_presale,image_urls,name,presale_date,presale_price,quantity,release_date,starting_price,twitter,website
10,ETH,brokenmachina,False,"['https://upcoming.images.rarity.tools/brokenmachina_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/brokenmachina_4?width=150&optimizer=image']",Broken Machina,,,10000,,,brokenmachina,https://brokenmachina.com
11,ETH,whaletogether,True,"['https://upcoming.images.rarity.tools/whaletogether_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/whaletogether_4?width=150&optimizer=image']",WhaleTogether,2022-02-03 16:00:00,,7777,2022-02-03 16:00:00,,WhaleTogether,https://www.whaletogether.com/
12,ETH,6HcFfMET6u,True,"['https://upcoming.images.rarity.tools/hodlbabanft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/hodlbabanft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/hodlbabanft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/hodlbabanft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/hodlbabanft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/hodlbabanft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/hodlbabanft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/hodlbabanft_4?width=150&optimizer=image']",HodlBaba NFT,,0.05,10000,,0.05,HodlBabaNFT,https://hodlbaba.com
13,SOL,yFqET4GM,True,"['https://upcoming.images.rarity.tools/solanachillipandas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanachillipandas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanachillipandas_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanachillipandas_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanachillipandas_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanachillipandas_3?width=150&optimizer=image']",Solana Chill Pandas,2022-02-03 00:00:00,,3333,2022-02-03 00:00:00,,SolChillpanda,https://solanachillpanda.io/
14,PRESALE,s3ZqYAd7zj,False,"['https://upcoming.images.rarity.tools/herosmighty_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/herosmighty_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/herosmighty_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/herosmighty_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/herosmighty_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/herosmighty_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/herosmighty_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/herosmighty_4?width=150&optimizer=image']",Hero Smighty,,,5555,,,herosmighty,https://herosmighty.com/
15,ETH,9zAR2SHPSD,False,"['https://upcoming.images.rarity.tools/aussiemates_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_4?width=150&optimizer=image']",AussieMates,,,10000,,,AussieMatesio,https://aussiemates.io/
16,ETH,luxapes,False,"['https://upcoming.images.rarity.tools/luxapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_4?width=150&optimizer=image']",LuxApes,,,8888,,,luxapes,https://luxapes.io
17,,karafuru,True,"['https://upcoming.images.rarity.tools/KarafuruNFT_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_4?width=150&optimizer=image']",Karafuru NFT,2022-02-04 06:00:00,,5555,2022-02-04 06:00:00,,karafurunft,https://karafuru.io
18,ETH,Js7JXQQPkW,False,"['https://upcoming.images.rarity.tools/metagaianft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metagaianft_1?width=150&optimizer=image']",MetaGaia & HexaHero NFT,,,2000,,,[object Object],https://www.metagaia.io/
19,ETH,luckylionclub,True,"['https://upcoming.images.rarity.tools/luckylionclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_4?width=150&optimizer=image']",Lucky Lion Club,2022-02-04 07:00:00,,9777,2022-02-04 07:00:00,,Lucky_Lion_Club,https://luckylionclubnft.com/
20,SOL,cartooncartel,False,"['https://upcoming.images.rarity.tools/cartooncartel_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_4?width=150&optimizer=image']",Cartoon Cartel,,,9999,,,Cartoon_Cartel,https://cartooncartelnft.com/
21,ETH,raiderverse,True,"['https://upcoming.images.rarity.tools/Raiderverse_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_4?width=150&optimizer=image']",Raiderverse,2022-02-04 10:00:00,0.045,10000,2022-02-04 10:00:00,0.045,RaiderverseNFT,https://raiderverse.io/ 
22,ETH,cgPUu9emhE,False,"['https://upcoming.images.rarity.tools/wolfofcryptonftt_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_3?width=150&optimizer=image']",Wolf of Crypto,,,5000,,,WolfofCryptoNFT,https://wolfofcrypto.co/
