,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Bored Vitalik Moon Club (BVMC),3333.0,ETH,False,,,,,aTzMGs3GxZ,weirdvitalik,https://weirdvitalik.com
1,Proud Lions Club,7777.0,ETH,False,,,,,8aVXmMeep9,proudlionsclub,https://www.proudlionsclub.com
2,Fan Pass - Son Heung-Min,10800.0,ETH,True,0.07,,0.07,,nftstar,THENFTSTAR,https://www.nftstar.com/hm-son
3,Sushi Pals,8888.0,ETH,False,,,,,RZCTpe54t3,SushiPalsNFT,https://sushipalsnft.com/
4,The Humanians,10000.0,ETH,False,,,,,thehumanians,TheHumanians,https://thehumanians.com/
5,NFTportfolio,2500.0,ETH,False,,,,,Kj9GuuqFEq,NFT__portfolio,https://nftportfolio.in/
6,Punk Angels by PunkMeTender,8888.0,ETH,True,0.19,,0.19,,ZX27uUQBqu,punkangelsnft,https://www.punkangels.io
7,Karma Cats,5555.0,ETH,True,0.02,,0.02,,karmacats,TheKarmaCats,https://www.karmacats.io
8,Fast Food Punks Gen2,5000.0,ETH,True,0.015,2022-05-05 09:00:00,0.015,2022-05-05 09:00:00,fastfoodpunks,FastFoodPunks,https://www.fastfoodpunks.com
9,Plodding Isles,2222.0,,True,,2022-05-05 09:00:00,,2022-05-05 09:00:00,PIrarity,ploddingpirates,https://ploddingpirates.com
10,Chibi Club Game,4444.0,,True,0.0,,0.0,,KTKWFtkq7m,chibiclubonline,https://chibiclub.online/
11,DEDFAM,10000.0,ETH,False,,,,,KaK7HwcM,dedfamworld,https://dedfam.world
12,Retro Rollers,5555.0,ETH,False,,,,,retrorollers,RetroRollersNFT,https://retrorollers.xyz/
13,FUTURE KICKS,555.0,ETH,True,0.135,,0.135,,4vzQFhya,future_kicks_io,https://Www.futurekicks.io
14,Alpha Aliens,9999.0,ETH,True,0.01,,0.01,,alphaaliens,AliensAlpha,https://alphaaliens.io/
15,Thicc Frens,5555.0,ETH,True,0.042,2022-05-05 15:00:00,0.042,2022-05-05 15:00:00,7enfpkVPBf,Thiccfrens,https://thiccfrens.com/
16,Euphorian Apes Club,2220.0,ETH,False,,,,,UEpNBaht45,EuphorianApes,https://www.euphorians.io/
17,Hoopers United NFT Collection,676.0,ETH,False,,,,,"The initial Genesis launch of this collection will not launch with discord for security reasons, the second drop will have a discord invite for official Hoopers United NFT holders",hoopersunitenft,https://hoopersunited.com/
18,SHIBAYC,6666.0,ETH,False,,,,,SHIBAYC,shibayc_eth,https://shibayc.com
19,The Wacky Dog Club,2500.0,MATIC,False,,,,,Qe4hX2bS3A,thewackydogclub,https://thewackydogclub.com/
20,WAREHOUSE VEGETABLES GANG,10000.0,ETH,True,0.05,,0.05,,sHqaUNpvR6,WVG_OFFICIAL,https://warehousevegetablesgang.com/
21,YOOMOOTA,7777.0,ETH,True,0.05,,0.05,,yoomoota,yoomoota,https://yoomoota.io/
22,Curious Bunnies Club,3333.0,ETH,True,0.03,2022-05-06 08:00:00,0.03,2022-05-06 08:00:00,curiousbunniesnft,cbunniesnft,https://curiousbunnies.com/
