,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
10,Euphorians,"['https://upcoming.images.rarity.tools/euphoriansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/euphoriansnft_4?width=150&optimizer=image']",5978,ETH,False,,,,,euphorians,TheEuphorians,https://euphorians.art
11,Drunk Skunks Drinking Club,"['https://upcoming.images.rarity.tools/dsdc_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dsdc_1?width=150&optimizer=image']",5555,ETH,False,,,,,DrunkSkunksDC,DrunkSkunksDC,https://drunkskunksdc.com/
12,Flair Angels,"['https://upcoming.images.rarity.tools/flairangels_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/flairangels_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/flairangels_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/flairangels_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/flairangels_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/flairangels_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/flairangels_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/flairangels_4?width=150&optimizer=image']",8000,MATIC,False,,,,,flair,FlairAngels,https://flair.finance/campaigns/angels
13,Giving Bulls Season 2,"['https://upcoming.images.rarity.tools/givingblulls2_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/givingblulls2_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/givingblulls2_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/givingblulls2_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/givingblulls2_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/givingblulls2_3?width=150&optimizer=image']",2500,ETH,True,,2022-03-01 00:00:00,,2022-03-01 00:00:00,givingbulls,GivingBulls,https://www.givingbulls.com
14,Grimutants Genesis Collection,"['https://upcoming.images.rarity.tools/grimutantsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grimutantsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grimutantsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grimutantsnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grimutantsnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grimutantsnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grimutantsnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grimutantsnft_4?width=150&optimizer=image']",3333,ETH,False,,,,,Grimutants,GrimaceCoinErc,https://www.grimutants.io/
15,MetaEstate,"['https://upcoming.images.rarity.tools/metaestate_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metaestate_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metaestate_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metaestate_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metaestate_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metaestate_3?width=150&optimizer=image']",5000,ETH,False,,,,,qwc8muXqyj,MetaEstateIO,https://www.metaestateio.com/
16,Phoodle Bears,"['https://upcoming.images.rarity.tools/phoodlebears_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/phoodlebears_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/phoodlebears_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/phoodlebears_2?width=150&optimizer=image']",10000,ETH,True,,2022-03-01 00:00:00,,2022-03-01 00:00:00,PhoodleBears,PhoodleBears,https://www.phoodlebears.com/
17,Space Filler,"['https://upcoming.images.rarity.tools/spacefiller_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/spacefiller_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/spacefiller_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/spacefiller_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/spacefiller_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/spacefiller_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/spacefiller_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/spacefiller_4?width=150&optimizer=image']",256,ETH,False,,,,,tsGbVBfxgv,cnlcasa,https://www.cnl.casa/space-filler
18,The Soulless Citadel,"['https://upcoming.images.rarity.tools/soullesscitadel_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/soullesscitadel_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/soullesscitadel_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/soullesscitadel_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/soullesscitadel_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/soullesscitadel_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/soullesscitadel_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/soullesscitadel_4?width=150&optimizer=image']",5555,ETH,False,,,,,soullesscitadel,SoullessCitadel,https://soullesscitadel.com
19,Puffy Paws Pack,"['https://upcoming.images.rarity.tools/puffypawspack_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/puffypawspack_1?width=150&optimizer=image']",8888,ETH,False,,,,,puffypawspack,puffypawspack,https://puffypawspack.com
