,currency,discord,has_presale,image_urls,name,presale_date,presale_price,quantity,release_date,starting_price,twitter,website
0,ETH,9zAR2SHPSD,False,"['https://upcoming.images.rarity.tools/aussiemates_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/aussiemates_4?width=150&optimizer=image']",AussieMates,,,10000,,,AussieMatesio,https://aussiemates.io/
1,ETH,luxapes,False,"['https://upcoming.images.rarity.tools/luxapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luxapes_4?width=150&optimizer=image']",LuxApes,,,8888,,,luxapes,https://luxapes.io
2,,karafuru,True,"['https://upcoming.images.rarity.tools/KarafuruNFT_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/KarafuruNFT_4?width=150&optimizer=image']",Karafuru NFT,2022-02-04 06:00:00,,5555,2022-02-04 06:00:00,,karafurunft,https://karafuru.io
3,SOL,W3WarEWfXu,True,"['https://upcoming.images.rarity.tools/SolMeepsa_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/SolMeepsa_4?width=150&optimizer=image']",Sol Meeps,,0.5,1500,,0.5,solmeeps,https://solmeeps.app
4,ETH,Js7JXQQPkW,False,"['https://upcoming.images.rarity.tools/metagaianft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/metagaianft_1?width=150&optimizer=image']",MetaGaia & HexaHero NFT,,,2000,,,[object Object],https://www.metagaia.io/
5,ETH,luckylionclub,True,"['https://upcoming.images.rarity.tools/luckylionclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/luckylionclub_4?width=150&optimizer=image']",Lucky Lion Club,2022-02-04 07:00:00,,9777,2022-02-04 07:00:00,,Lucky_Lion_Club,https://luckylionclubnft.com/
6,SOL,cartooncartel,False,"['https://upcoming.images.rarity.tools/cartooncartel_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cartooncartel_4?width=150&optimizer=image']",Cartoon Cartel,,,9999,,,Cartoon_Cartel,https://cartooncartelnft.com/
7,ETH,raiderverse,True,"['https://upcoming.images.rarity.tools/Raiderverse_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Raiderverse_4?width=150&optimizer=image']",Raiderverse,2022-02-04 10:00:00,0.045,10000,2022-02-04 10:00:00,0.045,RaiderverseNFT,https://raiderverse.io/ 
8,ETH,cgPUu9emhE,False,"['https://upcoming.images.rarity.tools/wolfofcryptonftt_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/wolfofcryptonftt_3?width=150&optimizer=image']",Wolf of Crypto,,,5000,,,WolfofCryptoNFT,https://wolfofcrypto.co/
9,SOL,C3AY4bC4fQ,False,"['https://upcoming.images.rarity.tools/yaksatheenormous_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/yaksatheenormous_4?width=150&optimizer=image']",Yaksa - The Enormous,,,2222,,,Yaksa_NFT,https://yaksa.io/
