,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Aunty Vax NFT,5555.0,ETH,False,,,,,F2QygWVu87,auntyvaxnft,https://auntyvaxnft.io/
1,Pixel Nerdz,4444.0,ETH,False,,,,,pixelnerdz,pixelnerdznft,https://www.pixelnerdz.io/
2,Chilled Camel Club,10000.0,SOL,False,,,,,qRcQ9sX2HF,ChilledCamelC,https://chilledcamelclub.com
3,Sol Ape Girls,1272.0,SOL,False,,,,,dJbcmeaHbT,SolApeGirls,https://solapegirl.com/
4,SuccessMetaCity,10000.0,ETH,True,0.09,,0.09,,successmetacity,successmetacity,https://www.successmetacity.com/
5,Young Ape Island Club,1111.0,SOL,False,,,,,ZucMYrEQhR,YoungApeIC,https://www.youngapeislandclub.com/
6,Chubby Cat NFT,2500.0,ETH,False,,,,,chubbycatnft,NFTChubbyCat,https://chubbycat.io/
7,Guardians of Sumantria,6777.0,ETH,False,,,,,nftsumantria,nftsumantria,https://sumantria.com
8,ORIGIN BEAST,5000.0,ETH,False,,,,,originbeast,origin_beast,https://www.originbeast.com/
9,Aunty Vax NFT,5555.0,ETH,False,,,,,An5ANqqe9p,auntyvaxnft,https://auntyvaxnft.io/
10,Bubblemates,10000.0,ETH,False,,,,,EZHkGScKkC,BubblematesNFT,https://bubblemates.com/
11,Rooster 2000,10000.0,ETH,True,0.05,2022-04-29 00:00:00,0.05,2022-04-29 00:00:00,WWPgcmqb9x,The_Rooster2K,https://www.rooster2000.com
12,Simeon,9999.0,ETH,False,,,,,V2XpPQEkFQ,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,https://simeon9999.io/
13,The Tiger Clan,10000.0,ETH,True,0.15,,0.15,,jAqbvKjXK5,TigerClanNFT,https://www.thetigerclan.com/
14,Metafrens,1000.0,ETH,False,,,,,rc3nwqgqzt,metafrens_nft,http://metafrens.club
15,SuperSOL,2222.0,SOL,False,,,,,4hDDF8rQsA,SuperSol_X,https://thesupersol.net/
16,Space Cadets,10000.0,ETH,False,,,,,spacecadetsnft,spacecadetnft,https://spacecadetsnft.com
17,Dope Baby Apes,6666.0,SOL,True,0.6,,0.6,,dopeapes,DopeApes,https://dopeapes.com/
18,NextMoon,8230.0,SOL,False,,,,,QefaFSNgKr,nextmoonio,https://www.nextmoon.io/
19,AquaHeads,3333.0,SOL,True,,2022-04-30 09:00:00,,2022-04-30 09:00:00,gpv4TZ2dJt,AquaHeadNFTclub,https://aquaheads.com
