,twitter,followers
0,auntyvaxnft,7385
1,pixelnerdznft,9326
2,ChilledCamelC,3529
3,SolApeGirls,9778
4,successmetacity,1285
5,YoungApeIC,6231
6,NFTChubbyCat,27500
7,nftsumantria,10500
8,origin_beast,1703
9,BubblematesNFT,1826
10,The_Rooster2K,103
11,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,644
12,TigerClanNFT,11100
13,metafrens_nft,5132
14,SuperSol_X,519
15,spacecadetnft,12
16,DopeApes,18000
17,nextmoonio,4363
18,AquaHeadNFTclub,5314
19,shield2protocol,32100
20,WDoopsies,6904
21,FineYachtsHC,658
22,,8988
23,OGCatsNFT,15700
24,Crypto_Jutsu,606
25,VDGCryptoArt,142
26,powersistersnft,6787
27,TheChibiClub,5486
28,cinemaapes,717
29,facex_nft,46400
30,GopniksOTC,1365
31,NylaCollection,36600
32,meta_syndicate,13700
33,RHINOSAVANNANFT,17900
34,LetsCrushCancer,1315
35,Meta_Survivors,30100
36,skreamaz,6471
37,chicmami_nfts,5416
38,GMFunkyClub,767
39,HedgeFundHyenas,2428
40,ichika_nft,2111
41,moon_babes,2325
42,SimplySmokeyNFT,8693
43,slybunnies,2651
44,sukiruAI,7518
45,CyberModernNFT,1432
46,ksekainft,16600
47,CigarLifeNFT,28
48,OneAndZero_NFT,749
49,designerbearNFT,2776
50,SolBullSociety,5329
51,EthMoonbirds,2631
52,projectdreamerz,5697
53,AsthetikP_nft,1395
54,NFTLootBox,11800
55,MetaPlayersNFTS,8290
56,cheap_spirits,89
57,cryptospacepunk,117
58,tuniesnft,1730
59,animal_priority,87
60,bilbabiesnft,7516
61,mutanthapeprime,6882
62,TheprojectX_Nft,410
63,Sprouts_NFT,8324
64,Valoriennft,6190
65,404Metaverse,10500
66,puffworldnft,50200
67,wafflenft,1646
68,AnubisRebel,7213
69,jesterkrewe,230
70,urban_boyz1,1915
71,SolRealtyNFT,24700
72,MusicMachineNFT,3867
73,TheKarmaCats,33800
74,THENFTSTAR,33300
75,yoomoota,59000
76,dedfamworld,2493
77,future_kicks_io,4746
78,awkwarddragons,10200
79,weirdvitalik,3031
80,proudlionsclub,9697
81,SushiPalsNFT,9049
82,TheHumanians,78800
83,NFT__portfolio,223
84,punkangelsnft,20400
85,chibiclubonline,10200
86,RetroRollersNFT,33000
87,Thiccfrens,13400
88,EuphorianApes,5007
89,AliensAlpha,2417
90,shibayc_eth,1950
91,thewackydogclub,659
92,WVG_OFFICIAL,821
93,AlimatokNFT,3240
94,NFT_Combinator,3518
95,SwamiNFT,24900
96,nft_sengoku,1765
97,crypto_cafenfts,520
98,off_CryptoCity,4247
99,detown_io,3493
100,ricracclub,6938
101,pixa_nft,5150
102,LambBrawl,1722
103,WoodMiners,515
104,TheBloxPrimeNFT,10000
105,sixthreseau,194200
106,DinoKidsClub,1127
107,MMansionnft,2769
108,BooThingsNFT,2836
109,sadboysclubNFT,14500
110,pharagods,22800
111,LooseMooseCrew,5174
112,BitButts,1400
113,TrexSapiensOrd,17800
114,yellowfames,3725
115,CRYPT056,133100
116,OctoRaidersNFT,6992
117,FuryBandits,13100
118,GrizzlyForceNFT?t=Wbk09X1B-3tw-MXRVtKWzw&s=08,1711
119,FatCatsDao,29600
120,NftNoahsArk,6155
121,PlutoPeopleNFT,3349
122,HapeTeens,5037
123,TheUncannyClub,9309
124,metagretanft,57
125,RovingDogsNFT,10900
126,killerwaifunfts,359
127,girlsinpinknft,5532
128,ada_nauts,2745
129,betplacersclub,1885
130,MutantHamsters,41600
131,innermesNFT,229
132,BlitzedBucksNFT,12100
133,MadVeggies,1543
134,ApesGenX,24700
135,CreativeFriendz,3590
136,FurryFriends_io,167
137,Japanese_BAPES,12300
138,doombooNFT,117700
139,metaversemoon,52300
140,chillnchameleon,14900
141,cheebsnft,6444
142,flowerlolitanft,7566
143,SCAlienRulers,2881
144,doodleslayernft,768
145,Streetlab_io,6025
146,RogueDiceClub,13000
147,DemionsNFT,5839
148,FoxNationDAO,2267
149,minimonkeymafia,7357
150,Web3WizardsNFT,3279
151,DroopyApes,3804
152,BooniesSkullNFT,429
153,LabyrinthUnreal,2837
154,MetaHookahs,870
155,metafliesclub,343
156,MirageLand_NFT,4021
157,DeviantAlienNFT,2070
158,SkullDemolition,572
159,CoolGorillaBC,238
160,FinalHumans,1507
161,LittleWomen_NFT,12000
162,monkchains,13000
163,1_AwesomePossum,5107
164,WildFoxSquadNFT,381
165,MetaCutiesNFT,6713
166,huesnft,2841
167,gymratelephants,4576
168,Last_Mayan_NFT,252
169,DodgerNft,1989
170,XkartR,1328
171,denizenio,5427
172,dummy_vegs,2512
173,GlodyKnightsNFT,3376
174,CyberZillaz,6281
175,MiniMooNFT,1519
176,LittlezProject,1800
177,wethekidsNFT,537
178,poninisnft,64
179,burgerheadznft,27
180,badbullsnft,2914
181,CavernCores,80
182,thelostbitcoins,7930
183,CroodApesArmy,885
184,CoolAstronauts,2598
185,martian_colony,51
186,vianijoe,22
187,applefriends6,1006
188,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,2615
189,Arcadmverse,103
190,CountryApeSquad,71
191,fancyfoxassoc,11900
192,fish_sticksnft,7313
193,PoC_NFT,23700
194,GhoniesCrypto,395
195,myworld_nft,12100
196,sewersquadnft,7871
197,CrypTickzNFT,2517
198,HailaryNft,12500
199,apeventuresnft,1402
200,EnterTheYama,1547
201,GorillaGoMobile,84
202,drinkingtrees,25500
203,PrimoMartians,639
204,SBR_nft,40
205,The_IslandNFT,10200
206,allseeinglemon,287
207,listlords,322
208,metalodons_club,4142
209,zdc_project,5852
210,BadApePirates,1656
211,mfmfgirls,5061
212,WrappedHotels,38100
