,followers,twitter
0,3691,AussieMatesio
1,17200,luxapes
2,141300,karafurunft
3,339,solmeeps
4,-1,[object Object]
5,33100,Lucky_Lion_Club
6,33200,Cartoon_Cartel
7,13300,RaiderverseNFT
8,9645,WolfofCryptoNFT
9,3547,Yaksa_NFT
10,2522,BadapeNFT
11,27300,evolutionapes
12,70,PeskyPandasNFT
13,-1,thetronwars
14,1397,MetaMoais
15,17200,Mutantcamelclub
16,2258,InverseMutants
17,6470,WhaleTogether
18,8553,freaksnguilds
19,2912,rufflifenft 
20,736,SolChillpanda
21,2703,cryptotradiez
22,3212,jasmyintl
23,9888,Ironapeclub
24,5291,SneakyBearsClub
25,4448,HedgiesOfficial
26,850,doodleapechamps
27,11700,sabastian
28,1795,weirdmedicology
29,1639,PandaMetaverse
30,40600,joinmetavatars
31,29400,WiggleWormFC
32,9193,BotsLife_NFT
33,4689,longlostnft
34,8831,FCFBallerz
35,1006,ElmuNFT
36,-1,thegnomesclub
37,6117,Cloneverse_NFT
38,24600,CelestialsETH
39,1453,MoonKitties1
40,27500,TheCyberLegends
41,4969,DogeChampions
42,1199,HumanoidsK218b
43,12300,metacolony_nft
44,1601,FIyingSquirrels
45,9003,seahorsekingdom
46,5802,spacewalker_nft
47,7019,EhecatlDragons
48,1693,theassemblynft
49,11200,cunningWolfNFT
50,-1,MetaSkullsNFT
51,1605,DumpsterDorks
52,22900,Cybernitesnft
53,1835,MetaMogulsNFT
54,-1,munchiesnft
55,9284,Boujeeleopards
56,5774,walliancenft?s=21
57,2962,AbominableBunch
58,4501,ddolphinsnft
59,10000,BlackSheepSCNFT
60,1478,HighRollersccc
61,16000,otakuoriginsnft
62,5391,gatorraidnft?s=21
63,2476,BitMermaidnft
64,5182,metaversityluis
65,9088,roguefoxguild
66,3841,ClubChipmunk
67,830,NftGroovy
68,1190,CyberRooms
69,24400,CallOfMeta_NFT
70,771,deftlydragons
71,4987,orangutanCC
72,6096,kongdo_club
73,10200,SocialZombie
74,4864,wildherdnft
75,6623,squirrel_wallet
76,5904,meta_birds
77,23700,afkalienclub
78,9613,TheChromaWorld
79,1574,ggmnft
80,-1,MetaFriendsNFT
81,4186,optimum_cash
82,8182,NobleThieves
83,2999,BaeApes
84,6057,DivineDragonNFT
85,12000,solettersnft
86,26200,Ether_Daddy
87,3723,felinefrens
88,3985,BadKidz_NFT
89,33500,CWCNFT
90,3792,MonsterMatesAU
91,3524,HappyClownNFT
92,2668,acidapesnft
93,1939,apefellaz
94,13600,SavageWolvesNFT
95,2253,DeadDinoWorld
96,2433,BugSquadNFT
97,21200,GCBClub
98,19400,CosmosKidzNFT
99,1647,SeeDo_NFT
100,4228,HolyShxxtNFT
101,20300,DarkCloudsNFT
102,2619,KurodaClub
103,2771,richapecarclub
104,1843,scribbleapes
105,6135,anonmodenft
106,12200,bbvsea
107,10300,CryptoWarsNFT 
108,11000,NFTGeisha
109,2391,LDPS_NFT
110,3715,H0useofQueens
111,8588,CryptoRapperz
112,29600,realapeclub
113,3594,CyberBloks
114,46000,shibelon_moon
115,709,ChillinApeSC
116,2890,HazeMonkeyNFT
117,16000,metakings_nft
118,3969,GFsNFT
119,1260,dfans_nft
120,1191,TopManagerNFT
121,1033,AlienInvaderz7
122,5943,metamonkeysnfts
123,9056,GenericHeroes
124,885,OfficeMunchkins
125,2961,TaterHeadsMeta
126,3756,RubiCubeNFT
127,2280,UrbanDesiWomen
128,1892,mekafight
129,1609,CoolPenguinSqd
130,6715,GallantToken
131,848,SYLCNFT
132,2795,SpaceNerd_Off
133,8630,metahermia
134,89900,xionfinance
135,8273,ancient_deers
136,1141,BoombazNFT_
137,10500,Calcium4Bones
138,3199,cryptocrimeclub
139,1926,FarmFrensNFT
140,2527,bapesnft
141,37300,torix_nft
142,4626,famousapeposse
143,2344,MillionaireMNKY
144,17400,paladin_penguin
145,3622,acsnft
146,23400,ChefBoiRDoge
147,9169,the_wonderbag_
148,9448,youngapeclubnft
149,14600,explodinghc
150,-1,unifriendsNFT
151,4187,KrazyKarensNFT
152,2710,_DracoNFT
153,593,BullsIncNFTs
154,3437,puppytakeover
155,4992,thelemuriansnft
156,16700,1athstudio
157,2216,_UnsignedArtist
158,2871,TiptoePunks
159,5370,BattleVikingNFT
160,1212,Oxtazy_xyz
161,6852,TurtlesDistrict
162,8179,TemboGuardians
163,12100,sigmadaos
164,6912,Skyscraper_NFT
165,5787,TheHolyOnesNFT
166,6082,robofrens
167,1581,Xenopetsnft
168,1090,0xMetaSquad
169,8895,TYGRNFT
170,3471,HappySolHippos
171,14500,prototype5656
172,7165,RebelTigerClub
173,8802,BrutalBearsNFT
174,2044,ChroniclesNFT
175,-1,EyeRollUncle
176,4326,PotatoPimpsNFT
177,1081,Blobbolution
178,3247,BoltandKnuckle
179,99400,synesis_one
180,2145,DragonsArena_io
181,-1,stonk_nft
182,3283,zombinomyNFT
183,-1,BKBNFT
184,17400,Louznft
185,7683,MonkeyBus_Nft
186,1116,0xAnonymousNFT
187,19700,metapharaohsNFT
188,1963,omegaorcs
189,4407,TheMandrillz
190,472,Doodlespunks
191,2837,UniPreds
192,18200,hmkclub
193,418,ShovelHub
194,-1,LCAlpha
195,14600,antiapeassc
196,3653,ETHomesNFT
197,9945,graffitibears
198,3564,solbloks
199,1790,YearoftheWoman_
