,twitter,followers
0,catpeoplenft,7721
1,goldentamariner,2106
2,LCAlpha,6700
3,bunnyxnft,6230
4,babydoodleapes,8532
5,AlphaDroids,1044
6,skatepunksclub,6951
7,cozybearsdao,13400
8,MagpieMoguls,10000
9,Billionaire_Wmn,4427
10,HomeboyzClub,2034
11,WeAreSlimes,2844
12,solanusverse,236
13,Drakoids,6847
14,tailopez,678200
15,GoblinArmyNFT,14300
16,graffitibears,9688
17,SakuraPrjctNFT,42000
18,CelestialsNFT_,7177
19,MYPUNKofficial,12900
20,solbloks,4671
21,KaijuKidz,390
22,RhinosRNFT,2278
23,angrybullycity,891
24,WarSnails,2635
25,PeskyPandasNFT,15100
26,EliteApePlanet,2991
27,envoverse,12900
28,GoatedGamersNFT,8820
29,BowlingHeads,1760
30,brikbots_,6793
31,MaxiGoons,1718
32,PhoodleBears,10500
33,potpnft,10400
34,RealPunksClub,7758
35,DemonzSyndicate,4686
36,SeniorApeGC,31500
37,NFTFeelGang,2211
38,Trendy_Monkeys,1501
39,crazyrichapes,4830
40,_DracoNFT,8052
41,MetaElementSuit,12300
42,GosaVerse,12000
43,AngryBearNFT,6209
44,RowdyRooster_io,2358
45,BoredSasquatch ,19200
46,DegentlemensNFT,3244
47,cnftpirates,1189
48,AcademyOtter,2185
49,picharityclub,1424
50,thehoodlesNFT,12700
51,jokersbyslam,3024
52,NinjaClanNFT,4503
53,BusyBeesClubNFT,6730
54,smolboyzland,4665
55,perkypiglets,3201
56,MSB_NFT,9381
57,phapeclub?s=21,4501
58,maskshibaclub,4291
59,cryptoceanart,36000
60,mythia,9757
61,HAVE_NFT,16000
62,MetaversusNFT,69300
63,meteliteclub,5497
64,KarutiNFT,29900
65,NotaLaunchpad,3148
66,MetabotSociety,22600
67,PiratesMeta,8568
68,superfatapes,59200
69,Women_Of_Future,4834
70,zencats_nft,4844
71,scladiesnfts,24400
72,MEE6NFT,4846
73,YearoftheWoman_,6590
74,roguefoxguild,7426
75,OceanBandits,1459
76,SILVERBACKLGNDS,19000
77,metapiggybanks,5999
78,metapharmgame,26000
79,AcademyPrimate,4576
80,KeroverseNFT ,11000
81,zcodesystempick,25300
82,PudgyDogsNFT,3798
83,0x_batz,944
84,TaiketsuNFT,13200
85,PuppyPAdventure,7236
86,Shiba_Puppy_NFT,11700
87,mdogeacademy,6510
88,mirlnft,13900
89,Tricky_Turkey_,319
90,Achoo_NFT,2753
91,KingdomDwarves,14000
92,_massmonsters,1111
93,GroovyOwls,16400
94,greedyapeheist,1570
95,PUNKxAPE ,852
96,EyeRollUncle,8141
97,BillionaireBurg,389
98,whales_nft,9423
99,metamorph2341,7708
100,doodlerooms,8258
101,CryptidClanNFT,3056
102,NekoCoreNFT,3748
103,FrogAsylum,6384
104,GenericHeroes,3175
105,MetaGestation,3419
106,SoccerPunksFC ,3036
107,bapesofficial,11800
108,CrptAgnstSciety,1451
109,hmkclub,20200
110,PrimeMatesBC,2006
111,SpaceDudesNfts,3386
112,billbossbulls,753
113,osharenft,11600
114,TheIcebergClub,5896
115,NftTricera,450
116,ForestoftheApes,902
117,lostsocksworld,5022
118,AstroGirls_NFT,5323
119,dopeapedrip,9293
120,UtmostCorgiNFT,3866
121,M101_Shelter,47300
122,AsraCityDAO,5526
123,nftbunnyhole,1386
124,ClimateCubesNFT,536
125,fortuna_dao,4116
126,worldofgolemnft,12400
127,sapien_network,11300
128,SolRealtyNFT,19000
129,the_oceanos,1666
130,AnimalGangGame,4593
131,chosenonesnft,61700
132,MetaTriads,40500
133,MetaNinjasNFT,2693
134,robochefsclub,965
135,TYGRNFT,9037
136,dopeheadsnft,2899
137,Crypto_Grave,126
138,metamutantsclub,526
139,AithereumNFT,1238
140,BionicEraNft,12400
141,SpaceConvicts,3967
142,Doodlespunks,580
143,xhunternfts,6857
144,SafariAcademy1,12300
145,ShibaVikingsNFT,14000
146,SquadChamps,5187
147,metamouseNFT,800
148,PandaSaviorsNFT,1625
149,wos_club,4455
150,MonkeyMiners,5310
151,MadEvolved,5697
152,thesamuraisaga,23500
153,designerbearNFT,2546
154,boredbootsnft,3699
155,NFT_Banana_Club,1727
156,JellyInvaderz,394
157,NFTATW,493
158,APB_Club,6848
159,MechAnimalsWars,6446
160,cancerwarriors0,671
161,CryptoLions_NFT,13800
162,NFT_cyberpunk,10700
163,,8977
164,DonkeyKicksNFT,1778
165,GamingApeClub,70000
166,_introverse_?t=Cr0EvBddvIHGrUoie1yaQQ&s=09,6420
167,madgiraffegang,5452
168,MetaLeagueOff,3045
169,TheNiftyDOS,1677
170,punkangelsnft,9763
171,ThePunkNoodles,1081
172,thevikingsons,2294
173,cheekycats_nft,13000
174,RichCatsNFTs,4551
175,sharkraceclub ,62200
176,Whimsy_Sisters,1509
177,poorrichboys,4757
178,ChefBoiRDoge,24500
179,MetaMansionsNFT,27700
180,raceskull_nft,4386
181,Pandimensionals,781
182,TheDaysofDoom,1918
183,CryptoCatPunks_,2510
184,RigersNFT,2538
185,SlowMoSlothClub,8484
186,GivingBulls,5677
187,RogueRhinosNFT,2827
188,loungeloversnft,13200
189,trolls_bridge,710
190,Metaverse7io,2335
191,TOTACollection,5270
192,dummysocietynft?s=21,718
193,nft_e3,2684
194,ROBOTOKENSPACE,22000
195,AstroDoodz,2084
196,thesasnft,8603
197,TheDefiantsNFT,3980
198,SphynxesNFT,3039
199,KillerKoalasNFT,640
200,TurkeysNfts,6004
201,junkpileisle,686
202,Hiros_io,1539
203,TalentedTamarin,210
204,antiapeassc,5328
205,MyOwnWorldNFT,1559
206,metapharaohsNFT,34100
207,DODOMOONFT,3296
208,BattleDroidsNFT,8848
209,JungleMania_,197
210,McBitNFT,3303
211,pillarwallet,26600
212,DeviantAlienNFT,1717
213,TWF_NFT,14800
214,cosmos_cyber,3333
215,OfficeMunchkins,919
216,F_A_K_C,13600
217,thedemonarmy,1001
218,ElementoDragons,11200
219,HeroinesNFT,773
220,theassemblynft,4128
221,DL_Coliseum,334
222,ModernPokerClub,5450
223,TribeQuokka,24900
224,LycaFoxPack,3483
225,SolApeGirls,2793
226,twistedbears_,17100
227,DducksNFT,1956
228,bitlectro,9521
229,Meta_Survivors,11500
230,SaucyU_nft,1904
