,twitter,followers
0,martian_monkeys ,959
1,NorowaretaUchu,6622
2,TheUncannyClub,12500
3,NorowaretaUchu,6622
4,SatoshisGirls,9186
5,PogRejected,33
6,cryptosklletons,9448
7,RovingDogsNFT,12400
8,killerwaifunfts,381
9,SmokieSquirrel,60
10,TheLostCatsNft,711
11,WastedWhales,29000
12,HapeTeens,12300
13,deadapezisland,9267
14,girlsinpinknft,5486
15,ACDealerNFT,10600
16,SeaTurtleSocial,1914
17,ada_nauts,3584
18,betplacersclub,1925
19,CryptornNFT,205
20,LostDinoArk,3823
21,metagretanft,134
22,MutantHamsters,52300
23,nohesicarclub,4552
24,toucans_club,10000
25,cloneapesnft,223800
26,DroppiesWorld,5135
27,MedicatedMice,7624
28,TheScoobsNFT,940
29,bbboars,1120
30,innermesNFT,1166
31,BlitzedBucksNFT,11500
32,MadVeggies,1995
33,ApesGenX,24400
34,ricracclub,7231
35,CreativeFriendz,3831
36,Dimenxion_io,8210
37,Darkland_creat,2825
38,FurryFriends_io,556
39,sadboysclubNFT,14100
40,Lucky_Metaverse,22500
41,TheRoyalBears,10300
42,MutantGoblin_,10400
43,doombooNFT,144900
44,metaversemoon,51400
45,fomo_giraffes,243
46,moonwalkersoff,74600
47,babysharks_nft,3738
48,chillnchameleon,16200
49,cheebsnft,16900
50,flowerlolitanft,15200
51,SCAlienRulers,3026
52,9tales_NFT,154100
53,doodleslayernft,766
54,Streetlab_io,7540
55,madgiraffegang,9734
56,RogueDiceClub,19600
57,MonsterMolecule,2421
58,DopeskeletonNFT,10000
59,tradebots_sol,20700
60,DemionsNFT,6416
61,FoxNationDAO,2214
62,CthulhuCA22,14300
63,NftZoko,3191
64,ikigaigenesis,880
65,LostIslandsNFT,4111
66,CompanyProfit,2872
67,minimonkeymafia,7719
68,Storyworlds_xyz,6471
69,Squid_Academy,28600
70,NFTKickFlip,20700
71,bigbrainsclub,4508
72,BoredApeArmyC,12500
73,cpbpixel,3067
74,Web3WizardsNFT,8797
75,drsniffynft,15600
76,WorldsCollect,364
77,DroopyApes,5287
78,FatCatsDao,29000
79,BB01NFT,7529
80,SolMightyPirate,15200
81,sixthreseau,192500
82,MetaVolutionNFT,85600
83,WitlinkA,39900
84,BooniesSkullNFT,477
85,homaland_nft,2704
86,LabyrinthUnreal,2877
87,MetaHookahs,15000
88,metafliesclub,345
89,,8987
90,Chilloutbrosnft,3323
91,itshernft,9899
92,MafiaBearsNFT,201
93,MirageLand_NFT,4305
94,rotten_ville,8575
95,GodsofEgyptNFT,422
96,ApeVampires,10900
97,FancySlothClub,3372
98,CRPT_Bulls,886
99,ZelenskyNFTClub,3138
100,Rude1s_NFT,3954
101,badkidclubnft,17500
102,DreamyGirlsNFT,17000
103,Japanese_BAPES,20500
104,nonfunfriends,897
105,senshinfts,1744
106,SkullDemolition,571
107,yo_4rt,4425
108,CoolGorillaBC,242
109,nordeins,3610
110,FinalHumans,6460
111,nft_cathereum,171
112,SLIMESfun,1108
113,LittleWomen_NFT,12700
114,monkchains,13900
115,mutantsheepslab,9343
116,WildFoxSquadNFT,1085
117,cityofgold_io,6612
118,CutePandazClub,266
119,MetaCutiesNFT,6756
120,otters_universe,2261
121,huesnft,3816
122,CreatureCultur3,1237
123,gymratelephants,4531
124,heroesmetaverse,23800
125,Last_Mayan_NFT,256
126,DodgerNft,1967
127,XkartR,2622
128,denizenio,6445
129,dummy_vegs,3781
130,PvPWorldsNFT,21500
131,BibbopC,25
132,ChunkyBuddhas,5214
133,GlodyKnightsNFT,3306
134,kazinft,472
135,TheMetamona?t=4zDnmG94Lv9xccWb7dbFmQ&s=09,2131
136,anydings,105
137,CyberZillaz,6427
138,MiniMooNFT,1757
139,LittlezProject,1677
140,bloqparty_nft,5460
141,wethekidsNFT,591
142,poninisnft,100
143,SolApeGirls,9640
144,burgerheadznft,74
145,the_egg_society ,24900
146,badbullsnft,3002
147,rhelegus,13900
148,NFTgeisha,14900
149,catmobstaz,5601
150,zelenskiynft,23900
151,CavernCores,85
152,thelostbitcoins,7916
153,aith3r3al,5742
154,CroodApesArmy,1124
155,FloatyzNFT,1551
156,ImperfectsNFT ,756
157,CoolAstronauts,6034
158,vianijoe,57
159,applefriends6,961
160,BullishTrendCo,153
161,pitty_pals,2514
162,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,2940
163,Arcadmverse,104
164,CountryApeSquad,88
165,fancyfoxassoc,14800
166,thechosenonesio,261
167,DribblieGame,13800
168,fish_sticksnft,7524
169,AnimAllsNFT,1108
170,survivorsnft,15900
171,PoC_NFT,23600
172,GhoniesCrypto,510
173,boredtigers,1833
174,myworld_nft,11700
175,sewersquadnft,7725
176,AKCPixel,124
177,thebruhz,8053
178,LockerRoomBH,1147
179,Goofygraphicnft,43
180,CrypTickzNFT,2494
181,HailaryNft,12200
182,SolCoins,28300
183,nftsumantria,11300
184,PottyMouthNFT,576
185,ploddingpirates,4481
186,martian_colony,321
187,apeventuresnft,1417
188,EnterTheYama,1537
189,vagabondeclub,1247
190,GorillaGoMobile,343
191,NftPandasociety,88
192,FreekyFruits,47
193,clubwickedwives,27
194,drinkingtrees,23900
195,MetaMiceUG,214
196,moonstrikenft,36800
197,PrimoMartians,651
198,SBR_nft,2166
199,The_IslandNFT,9983
200,allseeinglemon,347
201,womanofsolana,1119
202,Crypxel_NFT,297
203,figurecatnft,47
204,MaskAfraid,841
205,_gardenofgiving,10
206,listlords,445
207,LuckyMonkNFTs,853
208,crypto_cafenfts,536
209,metalodons_club,4088
210,zdc_project,7407
211,1_AwesomePossum,5686
212,theBluesys,218
213,tycoontigers,2675
214,MagicCraftGame,77300
215,UnderdogClubNFT,17500
216,arcticgatorsnft,34
