,twitter,followers
0,HeadyPipe,667
1,mayhemalumnis?s=21,1476
2,Worldcupapes,5127
3,AA_ART_NFT,24
4,GorillasInBar,6399
5,gymratelephants,4522
6,animfers,6777
7,idreamerNFT,508
8,metaf1club,33800
9,apesofspace_nft,28900
10,boredsone,22100
11,VastQuestions,1771
12,thesushicatsnft,30700
13,Xunderworldnft,16700
14,FilthyRichCK,19500
15,oceancltv,13300
16,BallisticFreaks,5016
17,TheWeedez,3330
18,UnifriendsNFT,3827
19,APB_Club,5559
20,alkiemonk,1815
21,champions_ninja,9628
22,moonrockmannft,5698
23,GolloAdventure,501
24,terpsmetaclub,668
25,KevinTheMonkey,4158
26,AngryFalconNFT,3670
27,SourPicklesNft,25700
28,MovieClubNFT,24000
29,akamirETH,13300
30,GolfJunkiesNFT,7665
31,ukiyoplayers,78900
32,combatapes,7836
33,RastaPandaPC,3152
34,greenbudkillers,2957
35,TreasureSloths,848
36,metaplicant,9923
37,Pot_PinUps,17
38,DivineSatoshi,1306
39,MadVeggies,1525
40,battalionnft,1282
41,DripperzCC,3564
42,Chain_Nation,847
43,CosmicSoupNFT,9297
44,themunchiemafia,1149
45,OrcHorde,22100
46,BabyDogeCoin,1200000
47,9waveslabs,5925
48,GangstaApeClub,980
49,SmurfZillazNFT,4719
50,partypotatonft,1113
51,MetaFriendsNFT,29500
52,allofusareeggs,33
53,meta_nomads,10200
54,PlumpkinNft,2138
55,goodmonkeyz,31500
56,womenrightclub,2560
57,BadPutinNFT,4144
58,Angryfrogsnft,30600
59,funkybunnies3d,21400
60,Boar_War_NFT,13900
61,sayre_project,2887
62,theassemblynft,8516
63,CyberCatz_,3436
64,nftbearcartel,6568
65,MetaSociety2022,6742
66,voltz_me,11600
67,magicalmothers_,2375
68,mobioz,1174
69,supgators,584
70,DigiFolkNFT,5094
71,NEONPLEXUS,10500
72,,8995
73,PiratesNFTClub,196
74,BouncingBuddiez,5639
75,fanzone_io,2473
76,SolSeats,22
77,ethxai,28800
78,TurkeysNfts,6828
79,asianidentity,2
80,coffeejunkienft,11700
81,livefigment,2077
82,metaboardsnft,1412
83,PrickheadsArt,2136
84,Valoriennft,6580
85,mutantsatoshi,6576
86,naughtyteddies,39300
87,Wardrobe_Club,6066
88,CryptoGods_ETH,2596
89,NFTLootBox,11500
90,Rings_Angels,2676
91,solmonthegame,6919
92,TheChibiClub,3242
93,gadonft,8430
94,HappiFrensNFT,505
95,TUniverseNft,9376
96,metamanor,4616
97,misfitsapenft,11500
98,_Powerfulhands_,2490
99,INDIGWomenFTRs,9555
100,racksmafia,6115
101,purpleapesclub,947
102,PEANUTF_NFT,114
103,boredsnake_club,9546
104,Dragon_Futurist,1608
105,LambBrawl,1147
106,Idolidol_Game,1504
107,pionauts,7280
108,MadEvolved,14900
109,KanakyTribe,2654
110,octaveclub747?t=0MJCPpe3To6UngYlWl_OEQ&s=09,100
111,PirateLifeNFT,13400
112,WDoopsies,6620
113,pompotherobot,351
114,haddiesbayclub,8960
115,NFTgroovy,2329
116,TheUncannyClub,7011
117,dao_hpp,888
118,SpinalFoxesNFT,2918
119,gameofsilks,14300
120,proudlionsclub,8132
121,lnrdefi,86100
122,GMfrensDAO,2311
123,weareAllBright,16700
124,CiCKartworks,4891
125,successmetacity,1320
126,saveworldwarnft,2230
127,Nft2metaversei,237
128,FeggzNFT,11100
129,WrappedHotels,25500
130,CCDCofficial,3251
131,drinkingtrees,18000
132,MetaLazySociety,1604
133,TheNiftyDOS,19400
134,CyberZillaz,3429
135,MamuNftWorld,1246
136,metajewelz,778
137,TheHumanians,55800
138,MonksMeta,7265
139,ChilledCamelC,2832
140,SolApeGirls,10100
141,nftsumantria,11300
142,origin_beast,1674
143,auntyvaxnft,3097
144,HedgeFundHyenas,2342
145,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,647
146,TigerClanNFT,12900
147,metafrens_nft,2683
148,SuperSol_X,469
149,spacecadetnft,5
150,DopeApes,12100
151,nextmoonio,3590
152,AquaHeadNFTclub,4357
153,shield2protocol,32200
154,Crypto_Jutsu,583
155,powersistersnft,6943
156,facex_nft,27800
157,GopniksOTC,1327
158,NylaCollection,34300
