,twitter,followers
0,RobomitoNFT,4986
1,LycaFoxPack,3705
2,therealROBOnft,607
3,TribeQuokka,23500
4,honeydropnft,2314
5,AAGL_Official,1143
6,metapigclub?t=1dF-GHej4SVhYIuXj8nwAg&s=09,7028
7,Panther_Tronic,2220
8,WiredFrameNFT,8153
9,fantasy_3k,28600
10,LionsBarberNft,5428
11,DeadlyDucksNFT,12400
12,SolApeGirls,11400
13,mfriendsnft,1407
14,happyboysarcade,5129
15,mfmfgirls,5078
16,NFT_cyberpunk,9783
17,SadGhostJC,1144
18,twistedbears_,36200
19,MusicBearAwards ,57500
20,mutinoslizzards,1449
21,atw_nft_project,1900
22,sillysnakesclub,8600
23,bonethronenft,401
24,OddlingsNFTs,4455
25,CryptoGRUNTZ,1981
26,cryptohood_club,106
27,MisfitsOrigins,7683
28,thenovatar,35600
29,DigitalApeClub,34000
30,Babygangsnft,6251
31,PFTOLABS,1459
32,MyPixelClub,963
33,DL_Coliseum,689
34,BetheBirdart,1686
35,picadogsnft,17200
36,queenmermaidnft,710
37,WarriorLionNft,10400
38,MidesxGame,1662
39,hornymals,4581
40,los_muertosNFT,43400
41,TailWaggersNFT,11900
42,begrudgeddao,2639
43,SecretSocietyID,716
44,ntcnft,1215
45,OkokuNFT,9879
46,SkankySkunkClub,1128
47,BeachBumsNFT,4831
48,alieumans,147
49,cryptoillumi777,1825
50,mellowsworldNFT,197
51,soulsquads,4148
52,alchemistorder_,4762
53,DeviantAlienNFT,1933
54,SolanaZoo_NFT,4152
55,suburbancolors,8656
56,SuperApeUniv,10900
57,PsychoFrens,2741
58,Femmes_Bizarre,3798
59,shinsekaicorp,139200
60,AstronotsETH,11600
61,PixelSpraysNFT,8229
62,U_APES,10000
63,giselenfts,67
64,babybossnft,1713
65,DducksNFT,8027
66,gymratelephants,3542
67,thatsrealnifty,1095
68,bitlectro,9954
69,supermetaplus_,2696
70,Meta_Survivors,25700
71,YakuzaKumiai,13500
72,MutantMoneyNFT,7454
73,SaucyU_nft,4877
74,metaballsnfts,295
75,0xPulseNFT,1669
76,BattyBanties,11900
77,SkygardGame,34100
78,AtlanticApes,18200
79,AMV_Waifu_HC,19100
80,PandosPandos1,1081
81,LuxurYYachtNFT,159
82,piggangnfts,17800
83,3DAzuki,1349
84,metalooptech,3390
85,DegenDoggos_NFT,355
86,fullbellyclub,11500
87,hapegirls,57400
88,cheebsnft,3132
89,SpinalFoxesNFT,2524
90,CCDCofficial,3169
91,unusualguests,22100
92,KevinTheMonkey,2170
93,dypfinance,106100
94,pompotherobot,427
95,CrypTickzNFT,2515
96,9waveslabs,1023
97,SqwizzNFT,8027
98,designerbearNFT,2642
99,degenzgame,5668
100,BlockFriends777,2905
101,GeneticChain,26900
102,royal_crows,8563
103,SOCIALDONKEYS,3170
104,StubbornApeNFT,17400
105,boredbootsnft,3761
106,DragonsMidgard,27800
107,littlegreennft,1172
108,TheKoalaco1,1523
109,Tricky_Turkey_,1085
110,NFT_Banana_Club,8539
111,HypeHustlersNFT,5357
112,JellyInvaderz,528
113,GreedyGekkoHS,776
114,TigerClanNFT,1428
115,MutantSquadNFT,1471
116,OutdoorKitties,314
117,doodleslayernft,700
118,apesofspace_nft,19800
119,Worldcupapes,1749
120,metaf1club,22900
121,BallisticFreaks,4471
122,TheWeedez,2651
123,UnifriendsNFT,3689
124,APB_Club,6107
125,champions_ninja,9154
126,terpsmetaclub,567
127,AngryFalconNFT,3784
128,SourPicklesNft,13800
129,TreasureSloths,468
130,metaplicant,11100
131,MadVeggies,989
132,battalionnft,1567
133,proudlionsclub,4647
134,themunchiemafia,620
135,OrcHorde,18600
136,SmurfZillazNFT,4718
137,meta_nomads,10100
138,ukiyoplayers,37300
139,theassemblynft,5519
140,MetaSociety2022,6298
141,supgators,107
142,NEONPLEXUS,9713
143,ethxai,18100
144,TurkeysNfts,6303
145,Valoriennft,4321
146,mutantsatoshi,5558
147,misfitsapenft,13600
148,pionauts,3267
149,MadEvolved,10700
150,WDoopsies,6231
151,haddiesbayclub,11400
152,TheUncannyClub,3590
153,gameofsilks,13200
154,GMfrensDAO,2305
155,successmetacity,1180
156,FeggzNFT,13700
157,metajewelz,759
158,nftsumantria,13200
159,HedgeFundHyenas,2196
160,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,646
161,AquaHeadNFTclub,3742
162,Crypto_Jutsu,554
163,meta_syndicate,4997
164,moon_babes,2265
165,projectdreamerz,1912
166,pixa_nft,5149
167,DinoKidsClub,1231
168,ApesGenX,25700
169,1_AwesomePossum,97
170,myworld_nft,15800
171,allseeinglemon,20
172,CyberZillaz,1022
173,apeventuresnft,290
174,GlodyKnightsNFT,3820
175,GrittyCats,142
176,Mermaid_Kraken,3099
177,ZenWarriorNFT,12600
