,twitter,followers
0,dypfinance,106800
1,pixigans,1124
2,minimichnft,20700
3,U_APES,10600
4,lastknownmarket,7214
5,,8991
6,KujiraNoKonton,25700
7,bazgolfnft,649
8,electriceaglesT,151
9,SqwizzNFT,8074
10,talesofelatora,1533
11,DragonsMidgard,42200
12,ninjabearsNFT,12800
13,TheNarutoClub,1071
14,VRMETA_Chain,10300
15,degenzgame,6395
16,BlockFriends777,2934
17,arcade_nfts?s=20,17700
18,GeneticChain,27100
19,toxicskullsclub,24400
20,RocketApeClub,7473
21,royal_crows,9987
22,AvoFrensNFT,4932
23,ChillinApeSC,2870
24,SOCIALDONKEYS,6702
25,DamagedYouthNFT,1363
26,Metamongonft,17700
27,StubbornApeNFT,20600
28,boredbootsnft,3835
29,CultOfArts,762
30,kingdomspritez,351
31,lazyfatcats_nft,2300
32,BiancaAlliance,94
33,TheKoalaco1,1428
34,shibauinukraine,7680
35,Tricky_Turkey_,1113
36,NFT_Banana_Club,13500
37,,8991
38,HypeHustlersNFT,6110
39,JellyInvaderz,870
40,SolConvicts,521
41,whaledropio?s=11&t=xMPU4455NKDRDTYZrQ9kcg,116
42,lownlionclub,893
43,thebig_tweet,2211
44,GreedyGekkoHS,2530
45,alpha_batem,3085
46,ApeBaller,6559
47,,8991
48,Dockbuddies,134
49,stickydao,34900
50,TigerClanNFT,11600
51,eagles_warriors,61
52,MutantSquadNFT,1562
53,FunkoBits,6542
54,RHINOSAVANNANFT,18000
55,mangasocietynft,42200
56,mayhemalumnis?s=21,398
57,wolfhouse_ny,37
58,AMV_Waifu_HC,20200
59,Stork_Club_NFT,9575
60,OutdoorKitties,332
61,FunkyDudesNFT,1058
62,galactic_def,7880
63,mightymutantnft,404
64,doodleslayernft,760
65,primitive_club,11900
66,projectcygnus_,1358
67,HeadyPipe,612
68,Worldcupapes,5131
69,GorillasInBar,6291
70,gymratelephants,4460
71,idreamerNFT,450
72,animfers,7988
73,metaf1club,33700
74,apesofspace_nft,26300
75,boredsone,22400
76,Xunderworldnft,16600
77,FilthyRichCK,18000
78,BallisticFreaks,4886
79,TheWeedez,3185
80,UnifriendsNFT,3726
81,APB_Club,5734
82,champions_ninja,9603
83,moonrockmannft,1136
84,GolloAdventure,430
85,terpsmetaclub,640
86,Flyingfoxclub,18
87,KevinTheMonkey,3522
88,AngryFalconNFT,3712
89,SourPicklesNft,23000
90,MovieClubNFT,25100
91,GolfJunkiesNFT,8274
92,ukiyoplayers,63100
93,RastaPandaPC,2764
94,greenbudkillers,3128
95,TreasureSloths,846
96,metaplicant,10900
97,MadVeggies,1516
98,battalionnft,1396
99,DripperzCC,3405
100,CosmicSoupNFT,1006
101,themunchiemafia,812
102,OrcHorde,20800
103,BabyDogeCoin,1100000
104,9waveslabs,5923
105,GangstaApeClub,1000
106,SmurfZillazNFT,4693
107,MetaFriendsNFT,28800
108,allofusareeggs,24
109,meta_nomads,10200
110,goodmonkeyz,29400
111,womenrightclub,2471
