,twitter,followers
0,CRYPT056,131600
1,TheCryptomasks,3640
2,Shukuna__nft,27500
3,PLAYLOREMC,18500
4,OctoRaidersNFT,16400
5,APB_Club,9151
6,crypto_gnomes,19000
7,CryptoRoseNFT1,15
8,FuryBandits,16100
9,Hyundai_NFT,87000
10,,8986
11,yellowfames,3824
12,meta_blaze,23900
13,ApesRainbow,1501
14,SadKittens_,5252
15,GrizzlyForceNFT?t=Wbk09X1B-3tw-MXRVtKWzw&s=08,1620
16,imaginaryballs,4056
17,NftNoahsArk,7726
18,PlutoPeopleNFT,3497
19,HapeTeens,12400
20,martian_monkeys ,848
21,NorowaretaUchu,6204
22,TheUncannyClub,12400
23,ChihuahuaNFT,4769
24,NorowaretaUchu,6204
25,SatoshisGirls,9144
26,PogRejected,21
27,cryptosklletons,9426
28,metagretanft,123
29,RovingDogsNFT,11300
30,killerwaifunfts,367
31,SmokieSquirrel,40
32,TheLostCatsNft,688
33,WastedWhales,25400
34,deadapezisland,9375
35,girlsinpinknft,5438
36,ACDealerNFT,10300
37,SeaTurtleSocial,1902
38,ada_nauts,3346
39,betplacersclub,1888
40,CryptornNFT,143
41,LostDinoArk,3789
42,MutantHamsters,52700
43,nohesicarclub,4541
44,toucans_club,10000
45,DroppiesWorld,4738
46,MedicatedMice,7645
47,TheScoobsNFT,931
48,bbboars,1114
49,innermesNFT,1142
50,BlitzedBucksNFT,11500
51,MadVeggies,1995
52,ApesGenX,24400
53,ricracclub,7142
54,CreativeFriendz,3827
55,Dimenxion_io,8157
56,Darkland_creat,2796
57,FurryFriends_io,486
58,Japanese_BAPES,20300
59,sadboysclubNFT,14200
60,MutantGoblin_,10400
61,doombooNFT,143900
62,MagicCraftGame,74700
63,metaversemoon,51500
64,moonwalkersoff,70900
65,chillnchameleon,16100
66,cheebsnft,11800
67,flowerlolitanft,15200
68,SCAlienRulers,2973
69,9tales_NFT,152800
70,doodleslayernft,763
71,Streetlab_io,7364
72,RogueDiceClub,19800
73,MonsterMolecule,2428
74,DopeskeletonNFT,10000
75,tradebots_sol,20700
76,DemionsNFT,6340
77,FoxNationDAO,2210
78,CthulhuCA22,12500
79,NftZoko,3181
80,LostIslandsNFT,4145
81,CompanyProfit,1284
82,minimonkeymafia,7730
83,Storyworlds_xyz,6462
84,Squid_Academy,27700
85,NFTKickFlip,17400
86,bigbrainsclub,4444
87,BoredApeArmyC,12000
88,cpbpixel,2924
89,Web3WizardsNFT,8434
