,twitter,followers
0,DarkCloudsNFT,30900
1,richapecarclub,2742
2,scribbleapes,2216
3,trendytwittahs,21600
4,DinoFamilyNFT,6962
5,GFsNFT,5233
6,NFTGeisha,12700
7,dfans_nft,1312
8,elonPHANTnft,2539
9,LDPS_NFT,2522
10,fudaoverse,12700
11,AlienInvaderz7,1014
12,Lildemonznft,26500
13,metamonkeysnfts,11600
14,Oxmose_NFT,18600
15,GenericHeroes,9330
16,BadKidz_NFT,4131
17,OfficeMunchkins,909
18,scoobidoge,1508
19,nftdraken,759
20,RubiCubeNFT,3818
21,SpaceApesMC,1013
22,acsnft,4405
23,LastOnEarthNFT,1388
24,UrbanDesiWomen,2277
25,SoldierSolvivor,11300
26,HolyShxxtNFT,6686
27,MortalApes,9142
28,SolaShroom,1261
29,PixelDrugs,3686
30,mekafight,7568
31,cryptocubans,3006
32,CoolPenguinSqd,2020
33,GallantToken,6726
34,SYLCNFT,1122
35,TYGRNFT,8952
36,HeroGalaxyNFT,5606
37,SpaceNerd_Off,5641
38,gatorraidnft?s=21,6415
39,GrandBazaar_nft,1451
40,pandafamNFT,1351
41,DegenToonz,18900
42,Meta3oys,17500
43,BuffiesNFT,22600
44,GRacersClub,6430
45,metahermia,11100
46,xionfinance,93200
47,ancient_deers,8111
48,BoombazNFT_,1582
49,Crypto_Bitchez,6705
50,LuckyPiggies,3490
51,MetaTower2022,15300
52,Calcium4Bones,13000
53,bigfatcatsnft,2297
54,cryptocrimeclub,3263
55,wildherdnft,4936
56,DivineDragonNFT,6401
57,Supremekongnft,25600
58,FarmFrensNFT,3396
59,VoidEntityNFT,8966
60,wonkeynft,18800
61,bapesnft,6309
62,CrypTotemsNFT,552
63,CyberRooms,1441
64,pNetworkDeFi,82200
65,megalandaliens,25400
66,torix_nft,63300
67,famousapeposse,7223
68,MillionaireMNKY,2246
69,VRFutureNFT,3814
70,BullishBabyApes,2590
71,motherearthnft,29900
72,paladin_penguin,17700
73,ChefBoiRDoge,23900
74,the_wonderbag_,13800
75,youngapeclubnft,9420
76,CryptoBearWC,20100
77,CyberBloks,8290
78,explodinghc,14900
79,unifriendsNFT,2908
80,LepLegends,3387
81,ToughGuysClub,722
82,FuryofTheFurNFT,24800
83,KrazyKarensNFT,4271
84,_DracoNFT,3455
85,JBelmo,45900
86,CryptoPugzNft,746
87,BullsIncNFTs,800
88,metaskeletons,12400
89,RacCons_NFT,4026
90,thelemuriansnft,8380
91,puppytakeover,4821
92,EtherealartNFT,67000
93,DinosaurNFTS,2240
94,1athstudio,23500
95,_UnsignedArtist,3295
96,tetra_cubes,750
97,SoulZ_NFT,132900
98,TiptoePunks,3003
99,BattleVikingNFT,5907
100,xtinctionFight,4317
101,lostlegendsnft,1095
102,apepunk_club,3556
103,Oxtazy_xyz,1858
104,MetaeggsCity,6002
105,TurtlesDistrict,6697
106,BoozeBears,4175
107,lavamind,1946
108,ggiraffeclub,1150
109,TemboGuardians,7899
110,Ether_Daddy,32800
111,greedygrampsnft,5516
112,sigmadaos,12900
113,Skyscraper_NFT,7438
114,TheHolyOnesNFT,5930
115,Venture_vx,921
116,robofrens,13200
117,Xenopetsnft,2089
118,BitBulliesNFT,6504
119,0xMetaSquad,1359
120,Art101NFT,5370
121,boredogeclub,29400
122,HappySolHippos,3495
123,prototype5656,14700
124,RebelTigerClub,16200
125,BrutalBearsNFT,20400
126,ChroniclesNFT,2077
127,EyeRollUncle,4194
128,PotatoPimpsNFT,5962
129,Blobbolution,1018
130,BoltandKnuckle,5356
131,WiggleWorldNFT,1762
132,MetagreysNFT ,6323
133,DeadBros666,8965
134,synesis_one,104200
135,Blueprinted_NFT,2265
136,DragonsArena_io,2819
137,solunicorns3d,10500
138,SpaceLadiesClub,2452
139,meetbob_nft,6863
140,WonderPals,80100
141,zombinomyNFT,3473
142,cnlcasa,1828
143,acatevolved,2382
144,Monster_Frens,4909
145,BKBNFT,411
146,MintedFingers,9656
147,Louznft,28400
148,NKD_EYE_PRJKT,1053
149,AdaSenshi,1851
150,MonkeyBus_Nft,7253
151,GosaVerse,13500
152,TheEuphorians,2764
153,TaterHeadsMeta,3231
154,0xAnonymousNFT,1141
155,punkstarsoccer,4244
156,metapharaohsNFT,43300
157,NFT_Chihuahua,5463
