,twitter,followers
0,weirdvitalik,3209
1,proudlionsclub,9669
2,THENFTSTAR,37500
3,SushiPalsNFT,8931
4,TheHumanians,123300
5,NFT__portfolio,240
6,punkangelsnft,21900
7,TheKarmaCats,37200
8,FastFoodPunks,17000
9,ploddingpirates,4406
10,chibiclubonline,11900
11,dedfamworld,2364
12,RetroRollersNFT,33100
13,future_kicks_io,4819
14,AliensAlpha,3354
15,Thiccfrens,21100
16,EuphorianApes,5767
17,hoopersunitenft,34
18,shibayc_eth,2171
19,thewackydogclub,687
20,WVG_OFFICIAL,814
21,yoomoota,64900
22,cbunniesnft,24400
23,AlimatokNFT,3247
24,FineYachtsHC,762
25,BunnyGirl_NFTS,1349
26,NFT_Combinator,3391
27,SwamiNFT,29300
28,nft_sengoku,1821
29,ksekainft,16700
30,off_CryptoCity,4544
31,detown_io,3472
32,moon_babes,2939
33,pixa_nft,5171
34,Alpha_Gorillas,15400
35,LambBrawl,1784
36,WoodMiners,1754
37,TheBloxPrimeNFT,10900
38,,8991
39,meta_blaze,23700
40,TheCryptomasks,3523
41,TheWorldofBill_,1194
42,MetaComiClub,39400
43,MedievalCatsNFT,1111
44,ZalesNFT,6812
45,dorks_nft,13700
46,sixthreseau,189800
47,DinoKidsClub,1117
48,MMansionnft,5299
49,metapugsnft,12100
50,officialbeu,27
51,BooThingsNFT,3569
52,sadboysclubNFT,14000
53,dragonzillas,8181
54,pharagods,26300
55,LooseMooseCrew,6014
56,BitButts,1403
57,Hyundai_NFT,88300
58,shroomersnft,2052
59,TrexSapiensOrd,18000
60,yellowfames,3770
61,CRYPT056,132600
62,Shukuna__nft,3708
63,OctoRaidersNFT,16000
64,APB_Club,9327
65,crypto_gnomes,16600
66,FuryBandits,16000
67,,8991
68,SadKittens_,242
69,GrizzlyForceNFT?t=Wbk09X1B-3tw-MXRVtKWzw&s=08,1644
70,NftNoahsArk,7502
71,PlutoPeopleNFT,3405
72,HapeTeens,6889
73,martian_monkeys ,559
74,NorowaretaUchu,6028
75,TheUncannyClub,10300
76,ChihuahuaNFT,4574
77,NorowaretaUchu,6028
78,SatoshisGirls,8762
79,cryptosklletons,9410
80,metagretanft,77
81,RovingDogsNFT,11200
82,killerwaifunfts,363
83,WastedWhales,22900
84,girlsinpinknft,5443
85,ACDealerNFT,8980
86,SeaTurtleSocial,1908
87,ada_nauts,2880
88,betplacersclub,1777
89,MutantHamsters,52700
90,nohesicarclub,4502
91,DroppiesWorld,4020
92,bbboars,1100
93,innermesNFT,476
94,BlitzedBucksNFT,11500
95,MadVeggies,1652
96,ApesGenX,24400
97,ricracclub,7026
98,CreativeFriendz,3745
99,Darkland_creat,1910
100,FurryFriends_io,348
101,Japanese_BAPES,15300
102,doombooNFT,130200
103,MagicCraftGame,72700
104,metaversemoon,52100
105,chillnchameleon,15200
106,cheebsnft,6273
107,flowerlolitanft,11200
108,SCAlienRulers,2907
109,9tales_NFT,114800
110,doodleslayernft,754
111,PoshFrenchie,1854
