,twitter,followers
0,betplacersclub,1923
1,LostDinoArk,3856
2,TheUncannyClub,12500
3,nohesicarclub,4554
4,toucans_club,10100
5,cloneapesnft,226100
6,DroppiesWorld,5471
7,MedicatedMice,7759
8,TheScoobsNFT,2966
9,ada_nauts,3901
10,bbboars,1133
11,innermesNFT,1311
12,BlitzedBucksNFT,11400
13,MadVeggies,1998
14,ApesGenX,24400
15,ricracclub,7242
16,SatoshisGirls,9919
17,cryptosklletons,9493
18,CreativeFriendz,3840
19,Dimenxion_io,11400
20,Darkland_creat,2890
21,FurryFriends_io,599
22,sadboysclubNFT,14100
23,killerwaifunfts,384
24,Lucky_Metaverse,26700
25,TheRoyalBears,10400
26,MutantGoblin_,10400
27,CryptornNFT,221
28,doombooNFT,145100
29,MagicCraftGame,77400
30,metaversemoon,51800
31,fomo_giraffes,249
32,moonwalkersoff,77100
33,babysharks_nft,3742
34,chillnchameleon,16300
35,cheebsnft,16900
36,flowerlolitanft,15200
37,SCAlienRulers,3027
38,9tales_NFT,155200
39,doodleslayernft,766
40,Streetlab_io,7852
41,RogueDiceClub,19500
42,MonsterMolecule,2446
43,DopeskeletonNFT,10000
44,tradebots_sol,20600
45,DemionsNFT,6399
46,FoxNationDAO,2215
47,madgiraffegang,9703
48,CthulhuCA22,16000
49,NftZoko,3197
50,LostIslandsNFT,4096
51,CompanyProfit,2989
52,minimonkeymafia,7722
53,Storyworlds_xyz,6471
54,Squid_Academy,28600
55,NFTKickFlip,25600
56,bigbrainsclub,4573
57,BoredApeArmyC,12500
58,cpbpixel,3192
59,Web3WizardsNFT,8849
60,drsniffynft,18000
61,WorldsCollect,365
62,DroopyApes,5279
63,PlayBlankos,34400
64,FatCatsDao,29500
65,BB01NFT,7530
66,SolMightyPirate,15400
67,sixthreseau,193000
68,nordeins,3763
69,MetaVolutionNFT,86000
70,WitlinkA,39700
71,BooniesSkullNFT,480
72,homaland_nft,2718
73,LabyrinthUnreal,2918
74,MetaHookahs,15000
75,metafliesclub,346
76,,8989
77,Chilloutbrosnft,3552
78,FunkiFoxes,152
79,itshernft,9894
80,SolKinky,172
81,MafiaBearsNFT,208
82,MirageLand_NFT,4338
83,rotten_ville,8628
84,GodsofEgyptNFT,426
85,ApeVampires,10800
86,FancySlothClub,3361
87,CRPT_Bulls,1012
88,ZelenskyNFTClub,3126
89,Rude1s_NFT,3958
90,badkidclubnft,17500
91,DreamyGirlsNFT,17200
92,Japanese_BAPES,21400
93,nonfunfriends,908
94,senshinfts,1743
95,SkullDemolition,573
96,yo_4rt,4439
97,CoolGorillaBC,242
98,FinalHumans,6718
99,nft_cathereum,176
100,LittleWomen_NFT,12800
101,monkchains,14100
102,mutantsheepslab,9265
103,WildFoxSquadNFT,1087
104,SLIMESfun,1125
105,chimerapillars,5285
106,cityofgold_io,6617
107,CutePandazClub,277
108,MetaCutiesNFT,6760
109,otters_universe,2233
110,huesnft,3816
111,CreatureCultur3,1236
112,gymratelephants,4524
113,heroesmetaverse,23700
114,Last_Mayan_NFT,256
115,DodgerNft,1967
116,XkartR,2632
117,denizenio,6442
118,dummy_vegs,4337
119,PvPWorldsNFT,21500
120,BibbopC,30
121,ChunkyBuddhas,5218
122,GlodyKnightsNFT,3299
123,kazinft,1369
124,TheMetamona?t=4zDnmG94Lv9xccWb7dbFmQ&s=09,2134
125,anydings,108
126,CyberZillaz,6580
127,MiniMooNFT,1798
128,LittlezProject,1677
129,bloqparty_nft,5477
130,drunkenducksNFT,733
131,wethekidsNFT,599
132,poninisnft,103
133,SolApeGirls,9634
134,burgerheadznft,78
135,the_egg_society ,24800
136,badbullsnft,2998
137,rhelegus,19700
138,NFTgeisha,14900
139,catmobstaz,5587
140,zelenskiynft,24900
141,CavernCores,86
142,thelostbitcoins,7910
143,aith3r3al,5711
144,CroodApesArmy,1128
145,FloatyzNFT,1568
146,ImperfectsNFT ,756
147,crypto_jaguars,218
148,CoolAstronauts,6571
149,vianijoe,64
150,applefriends6,958
151,BullishTrendCo,158
152,pitty_pals,2484
153,tubzsocialclub,1542
154,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,2917
155,Arcadmverse,104
156,CountryApeSquad,133
157,fancyfoxassoc,14900
158,thechosenonesio,263
159,UnderdogClubNFT,17700
160,DribblieGame,13800
161,fish_sticksnft,7466
162,AnimAllsNFT,1162
163,survivorsnft,15900
164,PoC_NFT,23500
165,GhoniesCrypto,516
166,boredtigers,1869
167,myworld_nft,11700
168,sewersquadnft,7723
169,AKCPixel,129
170,thebruhz,9372
171,LockerRoomBH,1151
172,MoonbirdsK,313
173,Goofygraphicnft,44
174,CrypTickzNFT,2487
175,HailaryNft,12200
176,SolCoins,28300
177,nftsumantria,11200
178,PottyMouthNFT,581
179,ploddingpirates,4489
180,metagretanft,139
181,martian_colony,631
182,apeventuresnft,1425
183,EnterTheYama,1535
184,vagabondeclub,1247
185,ikigaigenesis,1327
186,GorillaGoMobile,346
187,NftPandasociety,105
188,FreekyFruits,53
189,clubwickedwives,31
190,drinkingtrees,23900
191,MetaMiceUG,283
192,moonstrikenft,38300
193,PrimoMartians,657
194,SBR_nft,2128
195,The_IslandNFT,9925
196,allseeinglemon,364
197,womanofsolana,1220
198,Crypxel_NFT,301
199,figurecatnft,48
200,MaskAfraid,848
201,_gardenofgiving,12
202,listlords,450
203,LuckyMonkNFTs,849
204,MiningverseNFT,1213
205,crypto_cafenfts,532
206,metalodons_club,4076
207,zdc_project,6802
208,1_AwesomePossum,5804
209,tacticalscratch,168
210,theBluesys,256
211,tycoontigers,2672
212,arcticgatorsnft,36
