,twitter,followers
0,goodmonkeyz,34200
1,womenrightclub,2636
2,greenbudkillers,2728
3,BadPutinNFT,4129
4,Angryfrogsnft,40000
5,funkybunnies3d,21400
6,Boar_War_NFT,15000
7,sayre_project,2838
8,theassemblynft,8370
9,CyberCatz_,3412
10,MetaFriendsNFT,30500
11,nftbearcartel,6588
12,voltz_me,13400
13,magicalmothers_,2496
14,mobioz,1174
15,supgators,1191
16,DigiFolkNFT,4984
17,NEONPLEXUS,10700
18,,8996
19,PiratesNFTClub,240
20,BouncingBuddiez,5661
21,fanzone_io,2546
22,SolSeats,38
23,ethxai,40100
24,DelinquentNFTs,1166
25,animfers,6551
26,BabyDogeCoin,1200000
27,TurkeysNfts,6910
28,asianidentity,3
29,coffeejunkienft,17500
30,livefigment,3763
31,metaboardsnft,1433
32,PrickheadsArt,2228
33,Valoriennft,6393
34,mutantsatoshi,6680
35,naughtyteddies,41300
36,Wardrobe_Club,6397
37,CryptoGods_ETH,2346
38,NFTLootBox,11700
39,solanasuccubus,15400
40,Rings_Angels,2513
41,solmonthegame,7410
42,gadonft,8554
43,HappiFrensNFT,529
44,TUniverseNft,9723
45,FlowtysNFT,14000
46,UglyPeopleNFT,86800
47,NftRacers,1542
48,metamanor,4579
49,misfitsapenft,11400
50,_Powerfulhands_,3318
51,INDIGWomenFTRs,9752
52,racksmafia,6846
53,9waveslabs,5936
54,akira_fighters,6092
55,purpleapesclub,989
56,PEANUTF_NFT,133
57,boredsnake_club,9578
58,AA_ART_NFT,35
59,nftatts,8249
60,Dragon_Futurist,1647
61,LambBrawl,1283
62,mekarayearthnft,271
63,Idolidol_Game,1649
64,pionauts,8097
65,allofusareeggs,48
66,MadEvolved,24300
67,KanakyTribe,2864
68,octaveclub747?t=0MJCPpe3To6UngYlWl_OEQ&s=09,100
69,PirateLifeNFT,13200
70,BirdezGang,21700
71,WDoopsies,6704
72,pompotherobot,358
73,haddiesbayclub,8779
74,NFTgroovy,2290
75,TheUncannyClub,7200
76,dao_hpp,908
77,SpinalFoxesNFT,3196
78,gameofsilks,14700
79,proudlionsclub,8510
80,lnrdefi,86200
81,GMfrensDAO,2314
82,weareAllBright,17000
83,CiCKartworks,6124
84,successmetacity,1288
85,saveworldwarnft,2233
86,Nft2metaversei,245
87,FeggzNFT,10800
88,WrappedHotels,28500
89,frahm_art,1222
90,CCDCofficial,3170
91,thealphabulls,18700
92,MovieClubNFT,24000
93,drinkingtrees,21700
94,MetaLazySociety,1593
95,TheNiftyDOS,19400
96,CyberZillaz,4588
97,MamuNftWorld,1525
98,metajewelz,768
99,TheHumanians,64100
100,MonksMeta,7260
101,GangstaApeClub,980
102,wizardland_io,17400
103,auntyvaxnft,4295
104,ChilledCamelC,2943
105,SolApeGirls,10000
106,nftsumantria,11100
107,origin_beast,1665
108,HedgeFundHyenas,2350
109,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,643
110,TigerClanNFT,12600
111,metafrens_nft,2640
112,SuperSol_X,482
113,spacecadetnft,6
114,DopeApes,12900
115,nextmoonio,3392
116,AquaHeadNFTclub,4734
117,shield2protocol,32200
118,Crypto_Jutsu,587
119,powersistersnft,6917
120,TheChibiClub,3559
121,cinemaapes,710
122,facex_nft,36700
123,GopniksOTC,1371
124,NylaCollection,35600
125,meta_syndicate,7750
126,RHINOSAVANNANFT,17600
127,LetsCrushCancer,1168
128,Meta_Survivors,28300
129,nft_sengoku,1845
130,ichika_nft,2100
131,moon_babes,2338
132,sukiruAI,7027
133,CyberModernNFT,1466
134,ksekainft,16500
135,CigarLifeNFT,15
136,OneAndZero_NFT,725
137,designerbearNFT,2756
138,SolBullSociety,5570
139,projectdreamerz,5709
140,AsthetikP_nft,246
141,MetaPlayersNFTS,7799
142,cryptospacepunk,16
143,tuniesnft,1156
144,animal_priority,78
145,bilbabiesnft,7581
146,TheprojectX_Nft,247
147,Sprouts_NFT,8413
148,404Metaverse,11200
149,wafflenft,1647
150,dedfamworld,2972
151,punkangelsnft,20400
152,EuphorianApes,1269
153,shibayc_eth,1650
154,WVG_OFFICIAL,848
155,crypto_cafenfts,511
