,twitter,followers
0,jesterkrewe,238
1,mutanthapeprime,6904
2,urban_boyz1,2918
3,BartsFarmFrens,7240
4,SolRealtyNFT,25100
5,Pinky_Friendz,2337
6,MusicMachineNFT,3978
7,TheKarmaCats,35900
8,THENFTSTAR,37200
9,yoomoota,64900
10,The_Rooster2K,115
11,dedfamworld,2440
12,future_kicks_io,4789
13,MetaPlayersNFTS,8358
14,awkwarddragons,11300
15,weirdvitalik,3118
16,proudlionsclub,9676
17,SushiPalsNFT,8986
18,TheHumanians,125700
19,NFT__portfolio,229
20,punkangelsnft,22500
21,ploddingpirates,4108
22,chibiclubonline,11800
23,RetroRollersNFT,33200
24,Thiccfrens,20000
25,EuphorianApes,5062
26,AliensAlpha,2685
27,shibayc_eth,1972
28,thewackydogclub,692
29,WVG_OFFICIAL,816
30,cbunniesnft,24500
31,AlimatokNFT,3238
32,FineYachtsHC,688
33,NFT_Combinator,3492
34,SwamiNFT,27800
35,nft_sengoku,1822
36,crypto_cafenfts,518
37,off_CryptoCity,4542
38,detown_io,3506
39,moon_babes,2533
40,pixa_nft,5150
41,Alpha_Gorillas,15200
42,LambBrawl,1776
43,WoodMiners,658
44,TheBloxPrimeNFT,10900
45,,8991
46,TheCryptomasks,3518
47,TheWorldofBill_,225
48,MedievalCatsNFT,1107
49,ZalesNFT,6854
50,sixthreseau,194000
51,sadboysclubNFT,14400
52,dragonzillas,8190
53,pharagods,27300
54,LooseMooseCrew,5617
55,BitButts,1396
56,TrexSapiensOrd,18000
57,yellowfames,3765
58,CRYPT056,132800
59,OctoRaidersNFT,7069
60,APB_Club,9331
61,FuryBandits,16100
62,,8991
63,ChihuahuaNFT,4568
64,GrizzlyForceNFT?t=Wbk09X1B-3tw-MXRVtKWzw&s=08,1687
65,NftNoahsArk,6408
66,PlutoPeopleNFT,3374
67,HapeTeens,6422
68,martian_monkeys ,296
69,TheUncannyClub,9705
70,cryptosklletons,9311
71,metagretanft,64
72,RovingDogsNFT,11200
73,killerwaifunfts,357
74,girlsinpinknft,5390
75,ada_nauts,2822
76,betplacersclub,1853
77,MutantHamsters,45600
78,nohesicarclub,4499
79,innermesNFT,391
80,BlitzedBucksNFT,12000
81,MadVeggies,1635
82,ApesGenX,24700
83,ricracclub,6999
84,CreativeFriendz,3723
85,Darkland_creat,1934
86,FurryFriends_io,254
87,Japanese_BAPES,15500
88,doombooNFT,117100
89,metaversemoon,52200
90,chillnchameleon,15200
91,cheebsnft,6342
92,flowerlolitanft,9156
93,SCAlienRulers,2884
94,doodleslayernft,767
95,PoshFrenchie,1779
96,Streetlab_io,6150
97,RogueDiceClub,13000
98,DemionsNFT,5835
99,FoxNationDAO,2259
100,minimonkeymafia,7838
101,Web3WizardsNFT,5420
102,DroopyApes,4084
103,MetaVolutionNFT,11000
104,FatCatsDao,29700
105,BB01NFT,4094
106,BooniesSkullNFT,446
107,LabyrinthUnreal,2834
108,MetaHookahs,865
109,metafliesclub,343
110,MafiaBearsNFT,164
111,MirageLand_NFT,4080
112,ApeVampires,10500
113,DeviantAlienNFT,2157
114,senshinfts,1729
115,SkullDemolition,569
116,CoolGorillaBC,239
117,FinalHumans,2266
118,LittleWomen_NFT,12000
119,monkchains,13100
120,1_AwesomePossum,5137
121,WildFoxSquadNFT,396
122,MetaCutiesNFT,6627
123,otters_universe,2412
124,huesnft,3288
125,CreatureCultur3,970
126,gymratelephants,4573
127,Last_Mayan_NFT,256
128,DodgerNft,1991
129,XkartR,1885
130,denizenio,6455
131,dummy_vegs,2536
132,GlodyKnightsNFT,3368
133,anydings,54
134,CyberZillaz,6302
135,MiniMooNFT,1563
136,LittlezProject,1780
137,wethekidsNFT,548
138,poninisnft,67
139,burgerheadznft,30
140,badbullsnft,2973
141,rhelegus,10100
142,catmobstaz,5799
143,zelenskiynft,8425
144,CavernCores,79
145,thelostbitcoins,7921
146,CroodApesArmy,1139
147,FloatyzNFT,1243
148,CoolAstronauts,3790
149,martian_colony,56
150,vianijoe,34
151,applefriends6,970
152,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,3070
153,Arcadmverse,106
154,CountryApeSquad,71
155,fancyfoxassoc,12300
156,DribblieGame,10500
157,fish_sticksnft,7284
158,AnimAllsNFT,29
159,PoC_NFT,23900
160,GhoniesCrypto,423
161,myworld_nft,12000
162,sewersquadnft,7863
163,CrypTickzNFT,2517
164,HailaryNft,12400
165,nftsumantria,10400
166,apeventuresnft,1419
167,EnterTheYama,1544
168,GorillaGoMobile,84
169,drinkingtrees,25100
170,PrimoMartians,650
171,SBR_nft,43
172,The_IslandNFT,10100
173,allseeinglemon,303
174,Crypxel_NFT,262
175,listlords,330
176,metalodons_club,4151
177,zdc_project,5745
178,DinoKidsClub,1121
179,MMansionnft,4935
180,metapugsnft,10700
181,BooThingsNFT,3155
182,Shukuna__nft,3214
