,twitter,followers
0,The_BluntHeads,3689
1,beemarkets,24900
2,chickendaogame,5527
3,dfans_nft,2969
4,satoshirunnerz,42700
5,dystopiansnft,9684
6,LCAlpha,5877
7,pepeboomnft,553
8,antiapeassc,4959
9,BabyApeNursery,426
10,TheEuphorians,8420
11,DrunkSkunksDC,3892
12,FlairAngels,1723
13,GivingBulls,4537
14,GrimaceCoinErc,1056
15,MetaEstateIO,2011
16,PhoodleBears,9842
17,cnlcasa,1355
18,SoullessCitadel,2234
19,puffypawspack,34300
20,dippiesnft,60700
21,ETHomesNFT,12800
22,BoredAlienC,10700
23,NFT_Chihuahua,5412
24,galactic_snakes,6735
25,solanusverse,489
26,cybermetape,4658
27,catpeoplenft,7671
28,graffitibears,9230
29,solbloks,4550
30,superfatapes,54100
31,Candyfrens,66100
32,TeenApeGang,5697
33,Braindompuzzle,123100
34,friendlywhales,539
35,Nostalgicapes,22600
36,Arrogant_Bear,2547
37,greedygrampsnft,17600
38,AtlasLyons,1493
39,Thugz_NFT,1610
40,goldentamariner,2068
41,bunnyxnft,6157
42,MetabotSociety,21900
43,mythia,8750
44,babydoodleapes,2579
45,AlphaDroids,1022
46,skatepunksclub,7001
47,cozybearsdao,12600
48,MagpieMoguls,9464
49,Billionaire_Wmn,4388
50,HomeboyzClub,2014
51,WeAreSlimes,2709
52,Drakoids,6955
53,GoblinArmyNFT,13500
54,SakuraPrjctNFT,39100
55,CelestialsNFT_,6036
56,MYPUNKofficial,9322
57,KaijuKidz,342
58,RhinosRNFT,2913
59,angrybullycity,881
60,0x_batz,888
61,EliteApePlanet,2904
62,envoverse,10600
63,GoatedGamersNFT,9050
64,BowlingHeads,1665
65,brikbots_,6594
66,KillerKoalasNFT,601
67,potpnft,9257
68,NFTFeelGang,2190
69,Trendy_Monkeys,1549
70,crazyrichapes,4729
71,_DracoNFT,8179
72,MetaElementSuit,11300
73,GosaVerse,11600
74,AngryBearNFT,4574
75,RowdyRooster_io,2325
76,BoredSasquatch ,20200
77,DegentlemensNFT,3036
78,cnftpirates,1263
79,AcademyOtter,2183
80,picharityclub,1454
81,thehoodlesNFT,11900
82,jokersbyslam,2046
83,NinjaClanNFT,4054
84,BusyBeesClubNFT,6695
85,smolboyzland,3564
86,perkypiglets,3260
87,MSB_NFT,9270
88,phapeclub?s=21,4347
89,maskshibaclub,4213
90,cryptoceanart,30200
91,HAVE_NFT,16500
92,MetaversusNFT,65500
93,MetaTriads,36100
94,KarutiNFT,29200
95,NotaLaunchpad,3157
96,PiratesMeta,8242
97,Women_Of_Future,4642
98,zencats_nft,4669
99,scladiesnfts,24200
100,YearoftheWoman_,5645
101,roguefoxguild,7369
102,SILVERBACKLGNDS,18400
103,metapiggybanks,5795
104,metapharmgame,25500
105,AcademyPrimate,4354
106,KeroverseNFT ,6511
107,zcodesystempick,25500
108,PuppyPAdventure,7028
109,mdogeacademy,6494
110,mirlnft,13400
111,Tricky_Turkey_,208
112,Achoo_NFT,2738
113,KingdomDwarves,13900
114,GroovyOwls,16700
115,greedyapeheist,1527
116,EyeRollUncle,8040
117,BillionaireBurg,337
118,whales_nft,8602
119,doodlerooms,8048
120,CryptidClanNFT,2941
121,FrogAsylum,6337
122,GenericHeroes,3220
123,MetaGestation,3412
124,SoccerPunksFC ,3016
125,bapesofficial,11700
126,CrptAgnstSciety,1440
127,hmkclub,19900
128,PrimeMatesBC,1887
129,SpaceDudesNfts,3382
130,billbossbulls,745
131,osharenft,9681
132,TheIcebergClub,5899
133,NftTricera,442
134,ForestoftheApes,860
135,lostsocksworld,4886
136,dopeapedrip,9382
137,UtmostCorgiNFT,3918
138,M101_Shelter,46800
139,AsraCityDAO,4903
140,nftbunnyhole,310
141,ClimateCubesNFT,273
142,fortuna_dao,3984
143,worldofgolemnft,11500
144,sapien_network,11200
145,the_oceanos,1575
146,AnimalGangGame,4548
147,chosenonesnft,61000
148,robochefsclub,976
149,TYGRNFT,9011
150,dopeheadsnft,2794
151,Crypto_Grave,123
