,twitter,followers
0,nft_sengoku,1845
1,ksekainft,16800
2,off_CryptoCity,4629
3,cbunniesnft,24500
4,FastFoodPunks,17000
5,detown_io,3503
6,moon_babes,3190
7,pixa_nft,5186
8,Alpha_Gorillas,15700
9,LambBrawl,1916
10,WoodMiners,1885
11,TheBloxPrimeNFT,10900
12,,8988
13,meta_blaze,23700
14,TheCryptomasks,3559
15,TheWorldofBill_,6241
16,MetaComiClub,39400
17,MedievalCatsNFT,1151
18,ZalesNFT,6847
19,dorks_nft,14200
20,Thiccfrens,22000
21,DinoKidsClub,1108
22,MMansionnft,5435
23,metapugsnft,12800
24,officialbeu,29
25,BooThingsNFT,3824
26,sadboysclubNFT,14300
27,dragonzillas,8252
28,pharagods,30900
29,LooseMooseCrew,7104
30,BitButts,1394
31,Hyundai_NFT,87800
32,shroomersnft,2086
33,TrexSapiensOrd,18300
34,yellowfames,3777
35,CRYPT056,132300
36,Shukuna__nft,6207
37,OctoRaidersNFT,16400
38,APB_Club,9283
39,crypto_gnomes,17300
40,FuryBandits,16100
41,,8988
42,ApesRainbow,460
43,SadKittens_,355
44,GrizzlyForceNFT?t=Wbk09X1B-3tw-MXRVtKWzw&s=08,1663
45,imaginaryballs,1258
46,NftNoahsArk,7621
47,PlutoPeopleNFT,3411
48,HapeTeens,8502
49,martian_monkeys ,652
50,NorowaretaUchu,6114
51,TheUncannyClub,10800
52,ChihuahuaNFT,4596
53,NorowaretaUchu,6114
54,SatoshisGirls,8958
55,cryptosklletons,9457
56,metagretanft,82
57,RovingDogsNFT,11300
58,killerwaifunfts,363
59,TheLostCatsNft,659
60,WastedWhales,22900
61,girlsinpinknft,5659
62,ACDealerNFT,9548
63,SeaTurtleSocial,1941
64,ada_nauts,2940
65,betplacersclub,1810
66,LostDinoArk,3756
67,MutantHamsters,53300
68,nohesicarclub,4536
69,DroppiesWorld,4772
70,bbboars,1114
71,innermesNFT,1008
72,BlitzedBucksNFT,11800
73,MadVeggies,1662
74,ApesGenX,24500
75,ricracclub,7095
76,CreativeFriendz,3779
77,Darkland_creat,2786
78,FurryFriends_io,407
79,Japanese_BAPES,20100
80,doombooNFT,145800
81,MagicCraftGame,73200
82,metaversemoon,52000
83,chillnchameleon,15500
84,cheebsnft,6270
85,flowerlolitanft,12100
86,SCAlienRulers,2947
87,9tales_NFT,116800
88,doodleslayernft,769
89,PoshFrenchie,1915
90,Streetlab_io,7391
91,RogueDiceClub,20000
92,tradebots_sol,9022
93,DemionsNFT,5897
94,FoxNationDAO,2233
95,CthulhuCA22,11500
96,minimonkeymafia,7777
97,Squid_Academy,25200
98,Web3WizardsNFT,6487
99,drsniffynft,10300
100,WorldsCollect,356
101,DroopyApes,4921
102,FatCatsDao,28200
103,BB01NFT,4483
104,SolMightyPirate,13800
105,sixthreseau,189900
106,MetaVolutionNFT,16400
107,BooniesSkullNFT,464
108,LabyrinthUnreal,2838
109,MetaHookahs,15500
110,vagabondeclub,1243
111,metafliesclub,340
112,MafiaBearsNFT,188
113,MirageLand_NFT,4173
114,rotten_ville,8296
115,GodsofEgyptNFT,348
116,ApeVampires,10500
117,DeviantAlienNFT,2219
118,FancySlothClub,3308
119,DreamyGirlsNFT,16800
120,senshinfts,1743
121,SkullDemolition,570
122,SkullDemolition,570
123,CoolGorillaBC,238
124,FinalHumans,5995
125,LittleWomen_NFT,12000
126,monkchains,13400
127,WildFoxSquadNFT,461
128,cityofgold_io,6689
129,MetaCutiesNFT,6661
130,otters_universe,2350
131,huesnft,3614
132,CreatureCultur3,1087
133,gymratelephants,4563
134,Last_Mayan_NFT,255
135,DodgerNft,1992
136,denizenio,6461
137,dummy_vegs,3285
138,ChunkyBuddhas,5244
139,GlodyKnightsNFT,3350
140,anydings,75
141,CyberZillaz,6369
142,MiniMooNFT,1614
143,LittlezProject,1732
144,wethekidsNFT,575
145,poninisnft,93
146,burgerheadznft,42
147,badbullsnft,3018
148,rhelegus,10500
149,NFTgeisha,15000
150,catmobstaz,5711
151,zelenskiynft,19600
152,CavernCores,83
153,thelostbitcoins,7911
154,aith3r3al,5453
155,CroodApesArmy,1134
156,FloatyzNFT,1362
157,CoolAstronauts,4469
158,martian_colony,68
159,vianijoe,45
160,applefriends6,968
161,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,3057
162,Arcadmverse,103
163,CountryApeSquad,71
164,fancyfoxassoc,13600
165,thechosenonesio,246
166,DribblieGame,12200
167,fish_sticksnft,7689
168,AnimAllsNFT,42
169,PoC_NFT,23700
170,GhoniesCrypto,476
171,myworld_nft,11900
172,sewersquadnft,7806
173,AKCPixel,109
174,thebruhz,6140
175,CrypTickzNFT,2503
176,HailaryNft,12300
177,SolCoins,28600
178,nftsumantria,10200
179,ploddingpirates,4505
180,apeventuresnft,1412
181,EnterTheYama,1541
182,GorillaGoMobile,309
183,FreekyFruits,37
184,drinkingtrees,24700
185,PrimoMartians,650
186,SBR_nft,2299
187,The_IslandNFT,9979
188,allseeinglemon,324
189,womanofsolana,804
190,Crypxel_NFT,280
191,figurecatnft,28
192,listlords,434
193,crypto_cafenfts,527
194,metalodons_club,4139
195,zdc_project,5614
196,1_AwesomePossum,5245
