,twitter,followers
0,MovieClubNFT,23200
1,indep_photo,2941
2,picklefrens,16700
3,MetaLazySociety,1598
4,TheNiftyDOS,19700
5,fashionapenft,25700
6,lnrdefi,86200
7,MamuNftWorld,1929
8,metajewelz,804
9,MonksMeta,7275
10,coinplantsnft,3992
11,MyGMFriends,1544
12,PrickheadsArt,2298
13,GangstaApeClub,1006
14,FineYachtsHC,637
15,forestdwellers_,8503
16,MetisFarmer,568
17,wizardland_io,21400
18,auntyvaxnft,7557
19,pixelnerdznft,9408
20,ChilledCamelC,3451
21,SolApeGirls,9803
22,successmetacity,1285
23,YoungApeIC,6169
24,NFTChubbyCat,27500
25,nftsumantria,10500
26,origin_beast,1683
27,BubblematesNFT,1834
28,HedgeFundHyenas,2419
29,The_Rooster2K,99
30,SimeonNFT?s=20&t=ifr6L2XHYPY2PYATai4ehg,644
31,SimplySmokeyNFT,8865
32,TigerClanNFT,11300
33,metafrens_nft,4969
34,SuperSol_X,512
35,spacecadetnft,10
36,DopeApes,17900
37,nextmoonio,4330
38,AquaHeadNFTclub,5294
39,shield2protocol,32100
40,WDoopsies,6895
41,,8989
42,OGCatsNFT,14600
43,Crypto_Jutsu,606
44,VDGCryptoArt,139
45,powersistersnft,6800
46,TheChibiClub,5435
47,cinemaapes,718
48,facex_nft,42500
49,GopniksOTC,1369
50,NylaCollection,36600
51,meta_syndicate,12600
52,RHINOSAVANNANFT,17800
53,LetsCrushCancer,1277
54,Meta_Survivors,29900
55,skreamaz,6518
56,chicmami_nfts,5354
57,GMFunkyClub,521
58,ichika_nft,2102
59,moon_babes,2330
60,slybunnies,2617
61,sukiruAI,7621
62,CyberModernNFT,1434
63,ksekainft,16500
64,CigarLifeNFT,25
65,OneAndZero_NFT,746
66,designerbearNFT,2768
67,SolBullSociety,5371
68,EthMoonbirds,2340
69,projectdreamerz,5739
70,AsthetikP_nft,1393
71,NFTLootBox,11800
72,MetaPlayersNFTS,8160
73,cheap_spirits,67
74,cryptospacepunk,104
75,tuniesnft,1723
76,animal_priority,84
77,bilbabiesnft,7513
78,mutanthapeprime,6869
79,TheprojectX_Nft,399
80,Sprouts_NFT,8050
81,Valoriennft,6190
82,404Metaverse,10500
83,puffworldnft,49600
84,wafflenft,1644
85,AnubisRebel,7167
86,jesterkrewe,226
87,urban_boyz1,1855
88,MusicMachineNFT,3862
89,TheKarmaCats,34000
90,THENFTSTAR,33000
91,yoomoota,57400
92,dedfamworld,2542
93,future_kicks_io,4739
94,awkwarddragons,10200
95,weirdvitalik,3019
96,proudlionsclub,9786
97,SushiPalsNFT,9104
98,TheHumanians,77400
99,NFT__portfolio,218
100,punkangelsnft,20300
101,chibiclubonline,8565
102,Thiccfrens,11400
