,twitter,followers
0,doodleslayernft,768
1,Streetlab_io,8535
2,RogueDiceClub,19500
3,MonsterMolecule,2465
4,MutantGoblin_,10500
5,DopeskeletonNFT,10100
6,tradebots_sol,20700
7,DemionsNFT,6385
8,FoxNationDAO,2210
9,madgiraffegang,9687
10,CthulhuCA22,18100
11,NftZoko,3211
12,LostIslandsNFT,4092
13,CompanyProfit,3042
14,minimonkeymafia,7691
15,Storyworlds_xyz,6449
16,cheebsnft,17000
17,Squid_Academy,28700
18,NFTKickFlip,26200
19,bigbrainsclub,4711
20,BoredApeArmyC,18500
21,cpbpixel,3310
22,Web3WizardsNFT,10200
23,drsniffynft,26500
24,WorldsCollect,371
25,DroopyApes,5278
26,PlayBlankos,34700
27,FatCatsDao,30500
28,BB01NFT,7530
29,SolMightyPirate,15700
30,sixthreseau,197400
31,nordeins,4123
32,dinosaurgamenft,6345
33,MetaVolutionNFT,85900
34,WitlinkA,40500
35,BooniesSkullNFT,487
36,homaland_nft,2722
37,LabyrinthUnreal,3232
38,MetaHookahs,15100
39,metafliesclub,344
40,,8991
41,Chilloutbrosnft,3752
42,FunkiFoxes,163
43,itshernft,9895
44,SolKinky,187
45,MafiaBearsNFT,217
46,minzukinft,17
47,MirageLand_NFT,4418
48,rotten_ville,8684
49,dreamlandforest,199
50,GodsofEgyptNFT,426
51,ApeVampires,10800
52,FancySlothClub,3871
53,CRPT_Bulls,1017
54,ZelenskyNFTClub,3116
55,Rude1s_NFT,3962
56,badkidclubnft,17500
57,DreamyGirlsNFT,17200
58,Japanese_BAPES,23000
59,nonfunfriends,910
60,senshinfts,1753
61,SkullDemolition,572
62,yo_4rt,4451
63,CoolGorillaBC,249
64,chillnchameleon,16500
65,FinalHumans,6866
66,nft_cathereum,198
67,LittleWomen_NFT,12700
68,monkchains,14300
69,mutantsheepslab,9257
70,WildFoxSquadNFT,1089
71,SLIMESfun,1145
72,chimerapillars,5391
73,cityofgold_io,6614
74,CutePandazClub,281
75,MetaCutiesNFT,6835
76,snobietynft,1131
77,otters_universe,2213
78,huesnft,3823
79,CreatureCultur3,1251
80,gymratelephants,4517
81,heroesmetaverse,23700
82,Last_Mayan_NFT,253
83,DodgerNft,1965
84,XkartR,2609
85,denizenio,7460
86,dummy_vegs,4498
87,PvPWorldsNFT,21400
88,BibbopC,28
89,ChunkyBuddhas,5219
90,GlodyKnightsNFT,3360
91,kazinft,3408
92,TheMetamona?t=4zDnmG94Lv9xccWb7dbFmQ&s=09,2136
93,anydings,119
94,CyberZillaz,6836
95,ChefBoiRDoge,25000
96,MiniMooNFT,1812
97,LittlezProject,1658
98,bloqparty_nft,5496
99,drunkenducksNFT,728
100,wethekidsNFT,618
101,poninisnft,104
102,robofrens,17700
103,SolApeGirls,9613
104,burgerheadznft,88
105,ChumpsNFT,566
106,the_egg_society ,24700
107,badbullsnft,3011
108,rhelegus,25400
109,NFTgeisha,14900
110,catmobstaz,5549
111,zelenskiynft,26200
112,CavernCores,88
113,thelostbitcoins,7923
114,aith3r3al,5681
115,CroodApesArmy,1128
116,FloatyzNFT,1558
117,ImperfectsNFT ,750
118,crypto_jaguars,227
119,CoolAstronauts,7809
120,vianijoe,65
121,applefriends6,951
122,BullishTrendCo,158
123,pitty_pals,2483
124,tubzsocialclub,1581
125,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,10100
126,Arcadmverse,102
127,fancyfoxassoc,14900
128,thechosenonesio,265
129,UnderdogClubNFT,19500
130,DribblieGame,13800
131,fish_sticksnft,7479
132,AnimAllsNFT,1145
133,survivorsnft,15400
134,PoC_NFT,23500
135,GhoniesCrypto,521
136,boredtigers,1890
137,myworld_nft,11700
138,StardropsNFT,45
139,sewersquadnft,7707
140,AKCPixel,131
141,thebruhz,9327
142,LockerRoomBH,4113
143,MoonbirdsK,340
144,Goofygraphicnft,48
145,CrypTickzNFT,2477
146,HailaryNft,12100
147,SolCoins,28200
148,nftsumantria,11200
149,PottyMouthNFT,580
150,ploddingpirates,4498
151,AssetBenderNFT,11200
152,metagretanft,137
153,martian_colony,884
154,apeventuresnft,1424
155,EnterTheYama,1530
156,vagabondeclub,1247
157,ikigaigenesis,1309
158,GorillaGoMobile,345
159,NftPandasociety,125
160,FreekyFruits,57
161,clubwickedwives,34
162,drinkingtrees,23800
163,MetaMiceUG,287
164,moonstrikenft,38900
165,PrimoMartians,650
166,SBR_nft,2106
167,The_IslandNFT,9863
168,allseeinglemon,381
169,womanofsolana,1231
170,Crypxel_NFT,307
171,figurecatnft,51
172,MaskAfraid,846
173,_gardenofgiving,13
174,listlords,458
175,LuckyMonkNFTs,851
176,MiningverseNFT,1225
177,crypto_cafenfts,530
178,metalodons_club,4061
179,zdc_project,6768
180,1_AwesomePossum,6017
181,tacticalscratch,178
182,theBluesys,409
183,DwissWatch,7950
184,tycoontigers,2672
185,Marikos_Club,1096
186,arcticgatorsnft,40
187,NFTigz,21
188,CreativeFriendz,3859
