,twitter,followers
0,BoredAlienC,11500
1,ElrondBunnyNFTs,4955
2,HYPEALIENS,59300
3,MechAnimalsWars,6498
4,satoshirunnerz,42500
5,KoolKidzArcade,12100
6,knightsofchain,13700
7,GrimaceCoinErc,1063
8,pepeboomnft,551
9,UniPreds,5817
10,BabyApeNursery,417
11,funkyfrens,1479
12,Cartoon_Cartel,33500
13,Thestarslab,61600
14,zodiacnftgame,7534
15,soldiamondheads,15100
16,TheMajesticOwl,12300
17,punkstarsoccer,4362
18,ShovelHub,773
19,SoullessCitadel,2193
20,weirdosNFT,18000
21,outlaws_nft,611
22,90sbabesnft,8467
23,Indigochild_dao,1144
24,The_BluntHeads,3680
25,beemarkets,22000
26,chickendaogame,5471
27,dfans_nft,2558
28,dystopiansnft,5622
29,LCAlpha,5884
30,antiapeassc,5755
31,TheEuphorians,7740
32,DrunkSkunksDC,4244
33,FlairAngels,1575
34,GivingBulls,4507
35,MetaEstateIO,1984
36,PhoodleBears,9953
37,cnlcasa,1548
38,puffypawspack,36100
39,dippiesnft,59800
40,ETHomesNFT,12700
41,catpeoplenft,8095
42,graffitibears,9408
43,solbloks,4535
44,superfatapes,52900
45,Candyfrens,66100
46,TeenApeGang,5675
47,Braindompuzzle,120000
48,friendlywhales,539
49,Nostalgicapes,23300
50,Arrogant_Bear,2191
51,greedygrampsnft,18100
52,AtlasLyons,1492
53,Thugz_NFT,1528
54,goldentamariner,2019
55,bunnyxnft,6130
56,MetabotSociety,21400
57,mythia,6463
58,babydoodleapes,2524
59,AlphaDroids,1009
60,skatepunksclub,7384
61,cozybearsdao,12500
62,MagpieMoguls,9721
63,Billionaire_Wmn,4680
64,HomeboyzClub,2008
65,WeAreSlimes,2678
66,Drakoids,7318
67,MetaGestation,3431
68,GoblinArmyNFT,13400
69,SakuraPrjctNFT,41000
70,MYPUNKofficial,9615
71,KaijuKidz,337
72,RhinosRNFT,2368
73,angrybullycity,875
74,0x_batz,870
75,EliteApePlanet,2895
76,envoverse,7239
77,GoatedGamersNFT,9554
78,BowlingHeads,1642
79,brikbots_,6633
80,KillerKoalasNFT,590
81,potpnft,9542
82,Trendy_Monkeys,1426
83,crazyrichapes,5159
84,_DracoNFT,8402
85,MetaElementSuit,10900
86,GosaVerse,12200
87,AngryBearNFT,4317
88,RowdyRooster_io,2387
89,BoredSasquatch ,20600
90,DegentlemensNFT,3096
91,cnftpirates,1309
92,AcademyOtter,2179
93,picharityclub,1521
94,thehoodlesNFT,12600
95,jokersbyslam,1693
96,NinjaClanNFT,3571
97,BusyBeesClubNFT,6832
98,perkypiglets,3394
99,MSB_NFT,9352
100,phapeclub?s=21,4056
101,maskshibaclub,4418
102,cryptoceanart,24400
103,HAVE_NFT,17500
104,MetaTriads,35600
105,KarutiNFT,28900
106,NotaLaunchpad,3256
107,PiratesMeta,8126
108,Women_Of_Future,4564
109,zencats_nft,4629
110,scladiesnfts,24200
111,YearoftheWoman_,5177
112,SILVERBACKLGNDS,18800
113,metapiggybanks,5873
114,metapharmgame,25700
115,AcademyPrimate,4346
116,KeroverseNFT ,6687
117,zcodesystempick,26600
118,PuppyPAdventure,7310
119,mdogeacademy,6508
120,mirlnft,11300
121,Tricky_Turkey_,206
122,Achoo_NFT,2732
123,KingdomDwarves,14200
124,GroovyOwls,17500
125,greedyapeheist,1521
126,EyeRollUncle,8693
127,whales_nft,8426
128,doodlerooms,8564
129,FrogAsylum,6458
130,GenericHeroes,3287
131,SoccerPunksFC ,3020
132,bapesofficial,11700
133,CrptAgnstSciety,1492
134,hmkclub,21100
135,PrimeMatesBC,2009
136,SpaceDudesNfts,3748
137,billbossbulls,733
138,TheIcebergClub,5942
139,NftTricera,444
140,ForestoftheApes,839
141,lostsocksworld,5200
142,dopeapedrip,9724
143,UtmostCorgiNFT,3415
144,M101_Shelter,48500
145,AsraCityDAO,5047
146,nftbunnyhole,300
147,fortuna_dao,3948
148,worldofgolemnft,11800
149,the_oceanos,1606
150,AnimalGangGame,4555
151,chosenonesnft,63300
152,robochefsclub,920
153,TYGRNFT,9021
154,dopeheadsnft,2740
155,Crypto_Grave,123
156,metamutantsclub,515
157,AithereumNFT,1213
158,SpaceConvicts,3728
159,Doodlespunks,574
160,xhunternfts,6409
161,SafariAcademy1,12400
162,SquadChamps,5159
163,metamouseNFT,735
164,wos_club,4398
165,MonkeyMiners,5131
166,sharkraceclub ,61900
167,Whimsy_Sisters,1440
168,poorrichboys,4749
169,MetaMansionsNFT,27000
170,Pandimensionals,712
171,TheDaysofDoom,2008
172,SlowMoSlothClub,5408
173,RogueRhinosNFT,2826
174,loungeloversnft,13400
175,Metaverse7io,1576
176,TOTACollection,5561
177,dummysocietynft?s=21,584
178,thesasnft,9299
179,TheDefiantsNFT,3961
180,SphynxesNFT,3091
181,TurkeysNfts,5846
182,junkpileisle,653
183,Hiros_io,1483
184,MyOwnWorldNFT,1552
185,BattleDroidsNFT,9540
186,JungleMania_,144
187,pillarwallet,26700
188,DeviantAlienNFT,1694
189,cosmos_cyber,3116
190,OfficeMunchkins,939
191,F_A_K_C,10200
192,TribeQuokka,26000
193,Meta_Survivors,11400
194,designerbearNFT,2605
195,ailoverse,13900
196,AstroGirls_NFT,4549
197,cancerwarriors0,626
198,CryptoLions_NFT,13800
199,NFT_cyberpunk,11300
200,,8976
201,DonkeyKicksNFT,1304
202,EPICBEASTnft,11300
203,GamingApeClub,69400
204,_introverse_?t=Cr0EvBddvIHGrUoie1yaQQ&s=09,6265
205,madgiraffegang,5303
206,MetaLeagueOff,2824
207,TheNiftyDOS,1653
208,punkangelsnft,10200
209,ROBOTOKENSPACE,23000
210,soulsquads,4459
211,ThePunkNoodles,1143
212,Tigersonchain,3263
213,TWF_NFT,12900
214,thevikingsons,2303
215,NFT_Chihuahua,5477
216,galactic_snakes,6400
217,cybermetape,4634
218,AstroDoodz,2039
