,twitter,followers
0,drsniffynft,31100
1,WorldsCollect,384
2,DroopyApes,5303
3,Storyworlds_xyz,6473
4,PlayBlankos,35100
5,Web3WizardsNFT,10400
6,FatCatsDao,29800
7,BB01NFT,7520
8,SolMightyPirate,15800
9,sixthreseau,206900
10,nordeins,4719
11,dinosaurgamenft,6374
12,MetaVolutionNFT,68900
13,WitlinkA,40300
14,bnv_me,1552
15,BooniesSkullNFT,507
16,homaland_nft,2689
17,LabyrinthUnreal,3797
18,MetaHookahs,14400
19,metafliesclub,345
20,,8991
21,Chilloutbrosnft,3883
22,NftZoko,3391
23,FunkiFoxes,196
24,itshernft,9808
25,SolKinky,209
26,MafiaBearsNFT,249
27,minzukinft,73
28,MirageLand_NFT,4440
29,rotten_ville,8753
30,TheRisingNFT,10
31,dreamlandforest,182
32,GodsofEgyptNFT,439
33,ApeVampires,10600
34,FancySlothClub,4146
35,CRPT_Bulls,1187
36,ZelenskyNFTClub,3612
37,Rude1s_NFT,3973
38,badkidclubnft,17500
39,DreamyGirlsNFT,17100
40,Japanese_BAPES,23800
41,nonfunfriends,902
42,senshinfts,1749
43,SkullDemolition,575
44,yo_4rt,4310
45,CoolGorillaBC,247
46,chillnchameleon,16700
47,FinalHumans,9646
48,nft_cathereum,227
49,gboyofficialnft,3782
50,LittleWomen_NFT,12600
51,monkchains,14400
52,mutantsheepslab,8994
53,WildFoxSquadNFT,1106
54,DamagedYouthNFT,1178
55,SLIMESfun,1179
56,chimerapillars,5512
57,cityofgold_io,6555
58,CutePandazClub,287
59,MetaCutiesNFT,6749
60,snobietynft,1154
61,otters_universe,2140
62,huesnft,3771
63,CreatureCultur3,1244
64,gymratelephants,4538
65,heroesmetaverse,23100
66,TheLottoNFT,27400
67,Last_Mayan_NFT,253
68,BallisticFreaks,5701
69,DodgerNft,2951
70,XkartR,2502
71,denizenio,7460
72,dummy_vegs,4356
73,PvPWorldsNFT,20800
74,BibbopC,29
75,ChunkyBuddhas,5224
76,GlodyKnightsNFT,3352
77,kazinft,3372
78,TheMetamona?t=4zDnmG94Lv9xccWb7dbFmQ&s=09,2133
79,anydings,125
80,CyberZillaz,7051
81,ChefBoiRDoge,25000
82,MiniMooNFT,1815
83,LittlezProject,1633
84,bloqparty_nft,5493
85,Mystical_NFTS,4062
86,8Hanabi_NFT,22700
87,drunkenducksNFT,675
88,wethekidsNFT,637
89,poninisnft,103
90,robofrens,18100
91,SolApeGirls,9481
92,burgerheadznft,106
93,yurycoding,964
94,ChumpsNFT,557
95,KOZUKI_NFT,13500
96,the_egg_society ,24300
97,bnv_me,1552
98,badbullsnft,2973
99,rhelegus,24400
100,Alkebulantribe,6597
101,NFTgeisha,14700
102,TiersCorp,7
103,catmobstaz,5427
104,Donkeykicksnft,10300
105,zelenskiynft,26400
106,CavernCores,89
107,bullsapesproj,15500
108,thelostbitcoins,7922
109,aith3r3al,5651
110,CroodApesArmy,1132
111,FloatyzNFT,1512
112,PiplWorld,22400
113,ImperfectsNFT ,749
114,haze_long,652
115,DreamGirlsNFT,270
116,crypto_jaguars,303
117,CoolAstronauts,9344
118,vianijoe,65
119,applefriends6,947
120,BullishTrendCo,163
121,pitty_pals,2419
122,tubzsocialclub,2812
123,SillyPineClub?t=188UtJhUVPjT-5iuh75U8w&s=09,10500
124,Arcadmverse,102
125,CountryApeSquad,172
126,TheSherwoodProj,1763
127,thechosenonesio,267
128,UnderdogClubNFT,19400
129,DribblieGame,13300
130,fish_sticksnft,7271
131,AnimAllsNFT,1003
132,survivorsnft,12800
133,PortifyOfficial,1315
134,PoC_NFT,23200
135,GhoniesCrypto,523
136,boredtigers,1862
137,myworld_nft,11500
138,StardropsNFT,1449
139,sewersquadnft,7634
140,AKCPixel,130
141,thebruhz,9113
142,ToxicMoonbirds,1142
143,LockerRoomBH,5252
144,MoonbirdsK,350
145,Goofygraphicnft,57
146,CrypTickzNFT,2477
147,HailaryNft,12000
148,SolCoins,27900
149,nftsumantria,10900
150,PottyMouthNFT,587
151,ploddingpirates,4474
152,AssetBenderNFT,11900
153,reptikas,420
154,metagretanft,139
155,martian_colony,1065
156,MRL_Game,9538
157,apeventuresnft,1413
158,tacticalscratch,183
159,EnterTheYama,1528
160,vagabondeclub,1248
161,ikigaigenesis,8970
162,GorillaGoMobile,344
163,NftPandasociety,1132
164,FreekyFruits,64
165,ralphscountryc,10800
166,clubwickedwives,39
167,drinkingtrees,23200
168,MetaMiceUG,291
169,moonstrikenft,38700
170,PrimoMartians,611
171,SBR_nft,1989
172,The_IslandNFT,9641
173,allseeinglemon,414
174,womanofsolana,1269
175,MUSICOLOGY_io,7063
176,Crypxel_NFT,309
177,straybearsnft,3961
178,figurecatnft,53
179,ShankNFT,397
180,MaskAfraid,844
181,_gardenofgiving,14
182,LegendsWerewolf,12700
183,listlords,460
184,LuckyMonkNFTs,819
185,MiningverseNFT,1256
186,crypto_cafenfts,532
187,metalodons_club,4040
188,zdc_project,6542
189,1_AwesomePossum,6074
190,theBluesys,849
191,DwissWatch,7732
192,tycoontigers,2673
193,Marikos_Club,1108
194,arcticgatorsnft,48
195,NFTigz,34
196,CreativeFriendz,3882
197,fancyfoxassoc,14900
