,discord,online_members,total_members
0,akuevQHj4x,525,2314
1,nohesi,631,4569
2,WZWbbt5vax,2298,17006
3,cloneapes,17708,146953
4,medicatedmice,1538,22465
5,uzJDcMTRDk,1193,5303
6,7HRyXby2XA,1477,5059
7,hJdaWqgUX8,617,743
8,3A7dj5wtDq,75,1651
9,sg8VWbmZaK,624,2286
10,KV6qcHmahZ,1344,14527
11,KbSfMYuMZ2,553,4755
12,95rV9UEtX2,377,3373
13,jDAqpjxs79,364,6421
14,creativefriendz,661,2866
15,FC5NPYDeZk,1934,18822
16,ZUCyVxygBc,317,2436
17,PQ5fdTn7hH,155,1536
18,sadboysclub,187,2702
19,ywW8xDHMvU,82,1119
20,UqH7GwwV89,195,21808
21,theroyalbears-yournfthome,2193,8121
22,v8TxkDrMKj,2086,15399
23,zgwEF99Xnw,117,1419
24,magiccraftgame,1285,19269
25,bU6wTaAhB8,452,27360
26,mrQKqqpkGq,18,113
27,moonwalkers ,3608,33883
28,h3fzEU5gKn,16,116
29,chillinchameleons,1438,18250
30,cheebs,1461,7697
31,RMhMSUkEKs,958,8470
32,9talesNFT,5980,24326
33,PR7r8WEd5K,92,259
34,phATapAshn,820,4052
35,AVXkRckW9g,2176,8920
36,dRbdWvTYYh,2083,13629
37,Z6f8ZkKy83,2601,10600
38,demions,467,1956
39,cthulhuarmageddon2022,2696,17494
40,cbgPRy2gWZ,15,414
41,3GDer75Rxq,166,533
42,p8t7bgKzsy,337,5791
43,s6Ukq6eU4C ,477,5961
44,squidacademy,471,9809
45,kickflipnft,3604,25876
46,Uby6HDRRkX,801,4874
47,boredapearmyclub,101,7878
48,fMP3eQXBGa,125,4577
49,4MQqef5mnc,1136,4123
50,drsniffynft,424,8048
51,None,78,24009
52,yvRjRrvkMB,134,3343
53,playblankos,16256,151958
54,planetbb01,4099,9582
55,XunMQBW77z,1968,7431
56,reseau,11650,92151
57,nordeins,423,1315
58,MetaVolution,3482,13004
59,eYUyCx5YgT,648,9716
60,JHFu5Ktct8,251,2919
61,MdjqPSHj6X,59,1121
62,,806,5295
63,RmnteYEZ5h,10,38
64,her-nft,301,1270
65,JdMQtnyJ9H,34,898
66,Zt4wqQPqfR,13,58
67,ptU4uStCC2,29,1083
68,QeR9yvSWvk,286,3867
69,4rNUQ2kPHy,38,102
70,KjGwHf4pZr,134,7938
71,qA3d5a5BWQ,116,793
72,8KbVuYmjDY,77,665
73,raxn6h9vy5,129,4810
74,zjS8tJyGWw,692,995
75,2yTCzKsDfd,2811,18159
76,r6QeuHPdG8,191,849
77,jbas,1527,13110
78,H5dgU2Sfu3,391,1834
79,FWVhP6vKy6,351,10647
80,KW6BMJm2B9,27,625
81,Anim4rt,203,1891
82,65wSm9GaWb,11,473
83,CR3E3YEvUF,152,2490
84,6JMrkyAjqm,171,1170
85,6QCGpUcvrT,79,1467
86,toddlerpillars,764,5641
87,cityofgold,861,17649
88,HDQXwnSpX7,131,1758
89,5F9FAuR5GC,143,2147
90,MPbB7EjBEW,13,591
91,DUcbbFgMBW,460,1572
92,bPyEMSG84A,75,1408
93,qpNedkn4D5,53,1448
94,HOTM,211,5486
95,5QGBX95Evh,51,1141
96,tJBKzVfvBK,401,1761
97,denizen,125,2041
98,mXkAttjYey,73,1625
99,9aq5M5NqUS,100,1609
100,EXDAfwHFJG,3,7
101,glodyknights,222,2179
102,edxbX5aMM7,344,1021
103,cyberzillaz,596,2858
104,dFRKMM6P3Q,160,2917
105,mkVcDGn2e9,126,2193
106,bloqparty,484,1608
107,N7GEpew7Sc,10,33
108,CGmAuACtRh,255,1520
109,z7HFNAJkeY,13,432
110,VxcP5SYd5B,345,5258
111,fkBZKdARga,84,2552
112,PkardUkwKZ,572,4701
113,FUbrVEFxds,1311,40725
114,zelenskiynft,118,7646
115,caverncores,12,72
116,T6ZeUpxjTU,487,5066
117,55EgnjPCgH,48,140
118,DmZSshnct4,4,432
119,npp3PZKyp5,493,9117
120,DNyaK3CrJ7,23,114
121,heQm5pvkyz,10,42
122,FAA65MbNpg,17,445
123,GAJPfv5Vpu,8,424
124,np9RfYyc37,23,1880
125,WASAyefUDs,27,475
126,nUWhtExCkw,38,1805
127,976DrsZtk7,31,2237
128,eAgqaA9Rrn,270,8596
129,DEUCEfwECY,17,67
130,8B3edNHw,1731,12495
131,dribblie,1225,20789
132,P4DscBhgZp,60,2492
133,wEznPag4eD,16,55
134,tusnft,77,2173
135,poc-nft,1180,22930
136,FfnwZvUmkE,88,430
137,7PaBK6BbAj,49,874
138,STM884WwCu,3,13
139,JSZnasaa7p,415,4619
140,4GYvvreWKm,1011,1045
141,GakH8sM6e8,19,79
142,mfhQ7r2Uww,50,281
143,VpTqJ9a9h7,124,1220
144,CeYnqPgjnq,17,4591
145,7v3m8WDNh9,223,2937
146,nftsumantria,6064,38669
147,G5u7yxktXu,62,498
148,4bfvEMKSDE,375,5437
149,HrAeKG2YXM,99,1714
150,9SCjU4jqrJ,553,1299
151,ikigaigenesis,21,43
152,hbkRgEczBw,20,484
153,KkQs93WHRK,68,509
154,gnRxTPV4px,18,50
155,UegvftJSpq,9,22
156,hvu3MBeTjN,139,1953
157,moonstrike,5618,36245
158,VXdgAJkHDE,75,1498
159,WPvBWbFB2C,37,1081
160,UKrhGketaN,33,141
161,vK9eJsVTE8,17,524
162,k4DDhzY23a,7,32
163,SB5vhNjF9D,117,1878
