,discord,online_members,total_members
0,boredsone,1480,23247
1,Hf7CRUPUG3,542,2373
2,sushicatsnft,4134,22157
3,vKA7tqvhRX,2336,19958
4,frck,5442,36266
5,mdVsZvTvY2,65,1950
6,fzxWzpvG73,93,1254
7,DH6vaGzYH3,463,2754
8,M9J7hkERY5,535,4573
9,unifriends,417,2654
10,ywvZjzCCVt,1298,16993
11,yzrWhadsHg,98,1314
12,moonrocknft,298,2583
13,xdVVETsnbe,54,491
14,gqbqnGMv5x,183,3311
15,rRrnHCQsvn,4006,35644
16,kevinthemonkey,847,5123
17,xb9t3CRxYG,2366,15869
18,MovieClubNFT,1333,7997
19,kw6bT3jcZB,69,1442
20,SNHBKFYSme,331,1697
21,m4QZwk9yAN,46,270
22,jWNmMH7Z9U,761,1203
23,989VTDkxQZ,250,3582
24,wNneh3hHaS,3,19
25,zXJn68tdWk,119,1129
26,sg8VWbmZaK,651,1957
27,mDNN9rfAmB,12,301
28,dripperzcc,334,1618
29,impermanent-digital,625,3410
30,XuECJw5bTX,17,83
31,zRE9jKtmzZ,106,2104
32,munchiemafia,83,3147
33,8pgVATSD9k,234,5715
34,babydogecoin,3400,67213
35,smurfzillaz,97,1170
36,nu9BZtVtTU,34,157
37,e27AAT7CXB,2237,45532
38,meta-nomads,51,270
39,FpZwktQwXh,14,1148
40,goodmonkeyz,668,7333
41,saMaKYedTt,1002,2148
42,AaZQk4RXSD,95,1804
43,Sayre,240,692
44,yaDcK9J5ze,353,15049
45,bearcartel,1052,30653
46,cunnqtDUkv,2857,9757
47,mobioz,539,2435
48,supgators,384,5045
49,neonplexus,2055,8592
50,,815,5267
51,J5YMEqtNyK,4,19
52,mPNgBmApBC,37,202
53,tufdEhnsec,10,42
54,ethxai,4796,23606
55,CT9kMzYUKD,43,1728
56,HjnVyxydv9,652,5773
57,asianidentity,991,5141
58,DtcgkNMC9H,2575,9816
59,Xq6KWHERs5,128,519
60,metaboards,251,797
61,5kKm35uWHr,377,5045
62,Valorien,265,2167
63,,815,5267
64,mt8yzgVxrS,60,423
65,ntc,8816,67926
66,SYgdh52e7u,2744,18648
67,6jYDTNMejU,516,5411
68,lootbox,136,2600
69,b4QU2YZy2X,100,1083
70,solmon,1423,8172
71,gadonft,1134,18504
72,UPmbY42Uwd,116,6795
73,kNxMXhZvyU,28,560
74,Uk2uAfZ9GZ,31,256
75,misfitsapesociety,198,8735
76,kVWAtzvFBp,8,242
77,83QxAxbKsF,617,7598
78,yY2QvxjvWc,161,1682
79,PTUerRrMDh,106,935
80,,815,5267
81,xTqXCDsywz,3,10
82,NTebntrE95,6,40
83,6xjXz85zjC,5,107
84,dragonfuturist,425,1575
85,xDhUt8B2uq,374,1028
86,GyNfcuzSar,109,2338
87,TSeJ9G2p8B,2821,32701
88,TMkrNSrV29,213,2049
89,QPHRcpgstk,14,62
90,7G4Uk8gVDw,9487,21584
91,birdezgang,1223,16227
92,kvU3ZtNxMP,492,2373
93,2CYRCUNQns,11,219
94,haddiesbayclub,35,471
95,gjjcBfbdjD,44,544
96,,815,5267
97,44UqzAUnnQ,591,5294
98,v8fyBScyeT,426,10706
99,silks,1548,19677
100,8aVXmMeep9,1019,8710
101,lnr,742,9344
102,NZuNTcguW6,680,14014
103,successmetacity,332,4640
104,adfbFZCHmM,1,15
105,eQMACVpU8s,228,11364
106,feggz,1552,19669
107,wrappedhotels,1750,31726
108,ccdc,1121,2318
109,NZRKJ9fh6u,21,301
110,qG6xDQKyGN,1630,15708
111,cyberzillaz,642,2435
112,mamunft,626,2527
113,KS2jGN6drD,83,4537
114,thehumanians,9189,42709
115,KDxfnxMRt5,25,544
116,TY2cqrXAjc,128,520
117,HQ7VP8Tk9B,73,2252
118,wizardland,9,18
119,qRcQ9sX2HF,95,1102
120,dJbcmeaHbT,89,4266
121,nftsumantria,5096,21260
122,originbeast,66,1509
123,An5ANqqe9p,6461,7072
124,hfh,394,4067
125,V2XpPQEkFQ,240,7797
126,spacecadetsnft,251,3282
127,dopeapes,886,11495
128,QefaFSNgKr,436,6641
129,gpv4TZ2dJt,1374,16002
130,uhr2uU6GVf,13,268
131,xxX7MUTfhp,32,724
132,4GE9rYnv34,1145,5073
133,SSRxgvJNRM,82,3116
134,E2e8smHGek,1690,11117
135,metasyndicate,653,10449
136,RHINOSAVANNANFT,1393,8625
137,5gEYH8KyFz,257,912
138,metasurvivors,1940,24779
139,yEWGTaXw6z,331,16241
140,BSKebxFkYm,37,443
141,G2mC65DPRJ,24,387
142,eWKxGHAQd5,20,91
143,wr4gVc5h2u,2673,12828
144,oneandzero,208,777
145,Sg7Y6xu5bA,321,3698
146,FBc7dXhz9b,360,2217
147,VYcfGq4nBn,8,22
148,kxW4XCb4YD,162,1044
149,tunies,111,1634
150,BqQeCqM9BW,21,319
151,ejaVjSw9aD,329,1915
152,96QBSE4j59,67,857
153,sHqaUNpvR6,13,55
154,bRXKgVdBHU,21,39
155,KbSfMYuMZ2,639,3290
156,pixa,243,1092
157,Pve3rmKpxN,48,192
158,reseau,7246,44762
159,dinokids,210,4278
160,EJy9NKh3gH,488,3532
161,sadboysclub,116,2486
162,7JzgwYDJht,279,3728
163,yellowfames,358,8835
164,2z5PpXsS2K,83,15965
165,Cj42Smu9Q5,6,44
166,6nkDMCEWWV,895,3717
167,ywW8xDHMvU,277,1134
168,3A7dj5wtDq,49,822
169,KV6qcHmahZ,1253,15397
170,PQ5fdTn7hH,45,390
171,cheebs,474,4555
172,poc-nft,2443,8052
173,RMhMSUkEKs,323,2365
174,PR7r8WEd5K,87,457
175,AVXkRckW9g,452,4983
176,p8t7bgKzsy,345,5001
177,MdjqPSHj6X,55,860
178,KW6BMJm2B9,15,161
179,65wSm9GaWb,15,68
180,CR3E3YEvUF,60,578
181,g9wNFPvB,2,8
182,5QGBX95Evh,51,735
183,denizen,84,1316
184,glodyknights,301,1351
185,dFRKMM6P3Q,167,2503
186,CGmAuACtRh,400,1183
187,z7HFNAJkeY,12,35
188,FAA65MbNpg,10,29
189,GAJPfv5Vpu,8,18
190,nUWhtExCkw,15,122
191,976DrsZtk7,24,2043
192,eAgqaA9Rrn,187,7764
193,7PaBK6BbAj,30,316
194,VpTqJ9a9h7,139,859
195,HrAeKG2YXM,66,816
196,hbkRgEczBw,9,46
197,VXdgAJkHDE,53,858
198,JtwEZyAwcW,13,38
199,UKrhGketaN,36,129
200,VDdk4YdRgH,131,4525
201,wjutTte6sW,142,613
202,wellyfriends,257,2067
203,funkybunnies,3128,20245
204,tWpgZPTF54,1362,13493
205,CyxygNw65x,40,298
206,syVHUpspKg,96,1198
207,jAqbvKjXK5,558,9359
208,rc3nwqgqzt,1531,6083
209,4hDDF8rQsA,21,351
210,dreamerz,379,1821
