,discord,online_members,total_members
0,83QxAxbKsF,1266,11650
1,yY2QvxjvWc,397,2665
2,metaboards,261,886
3,MSG2bSjMff,1169,9885
4,PTUerRrMDh,156,1311
5,uglypeople,10108,37137
6,,693,5277
7,xTqXCDsywz,7,57
8,6xjXz85zjC,11,148
9,nftatts,2517,12397
10,dragonfuturist,545,1712
11,sXYKqwq3P5,39,237
12,xDhUt8B2uq,429,1253
13,TSeJ9G2p8B,3691,40644
14,TMkrNSrV29,255,2244
15,QPHRcpgstk,12,24
16,7G4Uk8gVDw,9568,24684
17,birdezgang,2724,20439
18,tigerscryptoclub,8560,91049
19,GyNfcuzSar,235,2925
20,cryptofighters,3289,13895
21,2CYRCUNQns,23,231
22,mT5gqwQHjf,743,6079
23,haddiesbayclub,50,509
24,gjjcBfbdjD,62,561
25,tWpgZPTF54,1367,17773
26,44UqzAUnnQ,612,5441
27,v8fyBScyeT,601,10891
28,silks,2773,24969
29,8aVXmMeep9,1250,10368
30,nftelements,3946,24525
31,XrrRmQqst8,3772,11646
32,lnr,6601,41089
33,CyxygNw65x,72,372
34,syVHUpspKg,216,1406
35,h9yVwvNNZn,1,17
36,P6NAmMRx92,178,621
37,NZuNTcguW6,717,14131
38,picklefrens,330,1619
39,theinfernoverse,5369,27806
40,successmetacity,604,6432
41,adfbFZCHmM,13,899
42,ZYrfVgzkmh,128,1597
43,EtherBunny,383,6641
44,u4m9ma56GN,167,703
45,ccdc,1166,2562
46,WKwHnByWUQ,635,3575
47,ny7YvyMkYk,3995,25661
48,MovieClubNFT,1543,10271
49,wrappedhotels,4124,52254
50,NZRKJ9fh6u,30,325
51,qG6xDQKyGN,2257,17658
52,cyberzillaz,759,2591
53,mamunft,726,3080
54,KS2jGN6drD,109,4564
55,thehumanians,11350,47412
56,KDxfnxMRt5,39,565
57,TY2cqrXAjc,186,599
58,HQ7VP8Tk9B,83,2284
59,wizardland,151,3414
60,F2QygWVu87,7938,9413
61,qRcQ9sX2HF,200,1340
62,dJbcmeaHbT,112,3593
63,nftsumantria,5423,24669
64,originbeast,95,1531
65,An5ANqqe9p,7938,9413
66,hfh,496,4145
67,WWPgcmqb9x,101,151
68,jAqbvKjXK5,510,7667
69,rc3nwqgqzt,1898,7959
70,4hDDF8rQsA,31,372
71,spacecadetsnft,315,4000
72,dopeapes,1372,12354
73,QefaFSNgKr,536,6519
74,gpv4TZ2dJt,1929,17603
75,uhr2uU6GVf,16,310
76,kvU3ZtNxMP,589,2493
77,xxX7MUTfhp,48,746
78,4GE9rYnv34,1697,6417
79,cinemaapes,45,124
80,SSRxgvJNRM,64,2704
81,E2e8smHGek,1936,11733
82,metasyndicate,1172,15642
83,RHINOSAVANNANFT,1769,8862
84,5gEYH8KyFz,228,925
85,metasurvivors,1749,27200
86,yEWGTaXw6z,993,17393
87,BSKebxFkYm,37,556
88,G2mC65DPRJ,84,2437
89,DsSynP6DFu,279,1236
90,wr4gVc5h2u,2668,15188
91,oneandzero,193,775
92,Sg7Y6xu5bA,406,4039
93,FBc7dXhz9b,370,2304
94,dreamerz,456,2033
95,VYcfGq4nBn,9,26
96,lootbox,268,3309
97,kxW4XCb4YD,272,1377
98,ntXfbjUvgh,1,22
99,tunies,169,1732
100,BqQeCqM9BW,33,314
101,PuEBAzB3h9,1395,11411
102,ejaVjSw9aD,462,4168
103,Valorien,301,2544
104,96QBSE4j59,79,860
105,CDWQVEPSCF,235,1413
106,kqHRqQwuyp,148,711
107,SHIBAYC,344,3083
108,sHqaUNpvR6,16,60
109,JynUTRszHF,21,128
110,bRXKgVdBHU,20,51
111,KbSfMYuMZ2,635,3314
112,pixa,244,1115
113,Pve3rmKpxN,54,228
114,pqkGKNfKtK,4,15
115,reseau,9887,48146
116,EJy9NKh3gH,531,3547
117,sadboysclub,182,2510
118,7JzgwYDJht,475,4018
119,yellowfames,618,9831
120,2z5PpXsS2K,96,15956
121,Cj42Smu9Q5,22,169
122,6nkDMCEWWV,1319,5217
123,ywW8xDHMvU,109,873
124,3A7dj5wtDq,58,1429
125,KV6qcHmahZ,1439,15536
126,creativefriendz,713,2256
127,PQ5fdTn7hH,96,527
128,cheebs,472,4480
129,poc-nft,1858,12701
130,RMhMSUkEKs,341,2642
131,PR7r8WEd5K,97,436
132,phATapAshn,663,2740
133,AVXkRckW9g,1605,6307
134,demions,519,1530
135,p8t7bgKzsy,356,5157
136,MdjqPSHj6X,80,834
137,ptU4uStCC2,25,284
138,KW6BMJm2B9,22,166
139,65wSm9GaWb,10,69
140,CR3E3YEvUF,123,1615
141,DUcbbFgMBW,339,814
142,5QGBX95Evh,45,763
143,denizen,602,1373
144,glodyknights,332,1393
145,dFRKMM6P3Q,193,2349
146,CGmAuACtRh,436,1139
147,z7HFNAJkeY,13,49
148,caverncores,17,44
149,FAA65MbNpg,16,1585
150,GAJPfv5Vpu,9,26
151,nUWhtExCkw,25,834
152,976DrsZtk7,38,1923
153,eAgqaA9Rrn,208,7574
154,7PaBK6BbAj,56,349
155,VpTqJ9a9h7,154,864
156,HrAeKG2YXM,114,874
157,hbkRgEczBw,15,80
158,VXdgAJkHDE,73,965
159,JtwEZyAwcW,26,81
160,UKrhGketaN,42,126
161,VDdk4YdRgH,107,4490
162,wjutTte6sW,258,877
163,bapeznft,1142,4924
164,eQMACVpU8s,239,11342
165,feggz,1654,22310
