,discord,online_members,total_members
0,kKBpWFrNen,1374,21869
1,fp7YcceDsV,562,20616
2,,273,5285
3,wTZc9yCYRA,177,6448
4,thecryptomasks,193,3122
5,pqkGKNfKtK,143,5212
6,animapes,8407,40196
7,vrVMqD6WyJ,84,1114
8,z3PN8wznNr,129,3767
9,dorksnft123,569,4101
10,7enfpkVPBf,1007,5492
11,qYQ9R48Srh,44,992
12,Bcgy7XHUf4,420,10762
13,87kgqRugtz,5,99
14,EJy9NKh3gH,464,5367
15,BSKebxFkYm,39,853
16,sadboysclub,182,2740
17,YPa7KDTKRU,735,6485
18,playlore,615,1884
19,CvzeC9fZDS,302,1635
20,meta-xstudios,121,919
21,n9mqgse4VZ,14066,145619
22,c2ag3gwZRS,89,1245
23,yellowfames,441,11895
24,2z5PpXsS2K,69,16166
25,shukunanft,1185,6054
26,McphYRHMTA,1745,8949
27,m9tDVzAXDS,2131,9246
28,nWwFTNRtjP,140,3073
29,7X9D4STbVe,582,2337
30,Cj42Smu9Q5,15,411
31,imaginaryballs,40,350
32,6nkDMCEWWV,1092,7171
33,qzZ3SpDVUU,171,1363
34,82TKe2swvZ,291,3054
35,4fvpfeqah4 ,202,1795
36,adeEYRAbmy,1034,4329
37,chihuahuarevenge,57,2967
38,95rV9UEtX2,380,3388
39,jDAqpjxs79,446,6524
40,fbsXxBaKCm,21,286
41,HPRy95aJ2r,954,10669
42,ywW8xDHMvU,72,941
43,7S34fQsMpT,54,260
44,wastedwhales,1946,17930
45,ACDealerNFT,2809,11089
46,MwM8P8MrSR,11,73
47,7HRyXby2XA,520,2494
48,zgwEF99Xnw,23,108
49,akuevQHj4x,396,2146
50,mutanthamsters,1113,4965
51,nohesi,610,4374
52,hJdaWqgUX8,620,707
53,3A7dj5wtDq,52,1361
54,sg8VWbmZaK,598,2202
55,KV6qcHmahZ,1309,14197
56,KbSfMYuMZ2,549,4314
57,creativefriendz,614,2696
58,ZUCyVxygBc,175,1563
59,PQ5fdTn7hH,105,1197
60,jbas,1702,13589
61,magiccraftgame,487,12567
62,bU6wTaAhB8,339,25788
63,RMhMSUkEKs,1507,7901
64,9talesNFT,5060,21111
65,PR7r8WEd5K,89,644
66,pzmedwhaE7,57,3149
67,phATapAshn,601,3591
68,AVXkRckW9g,2015,9174
69,Z6f8ZkKy83,2567,11058
70,demions,488,1858
71,cthulhuarmageddon2022,2352,14197
72,cbgPRy2gWZ,9,367
73,p8t7bgKzsy,296,5602
74,squidacademy,552,9717
75,kickflipnft,90,4436
76,4MQqef5mnc,998,3483
77,drsniffynft,380,5114
78,None,41,13420
79,yvRjRrvkMB,130,1552
80,planetbb01,1228,5961
81,XunMQBW77z,1467,6609
82,reseau,8376,72389
83,MetaVolution,2947,10191
84,labyrinthine,119,1638
85,282sbZnFkQ,29,633
86,9SCjU4jqrJ,544,1287
87,MdjqPSHj6X,49,1003
88,Zt4wqQPqfR,5,45
89,ptU4uStCC2,27,714
90,QeR9yvSWvk,136,3186
91,4rNUQ2kPHy,26,102
92,KjGwHf4pZr,101,6795
93,qA3d5a5BWQ,82,725
94,r6QeuHPdG8,182,745
95,FWVhP6vKy6,400,11448
96,KW6BMJm2B9,22,443
97,65wSm9GaWb,9,273
98,CR3E3YEvUF,128,2765
99,monkchains,2324,19991
100,cityofgold,732,17043
101,5F9FAuR5GC,152,1863
102,MPbB7EjBEW,18,646
103,DUcbbFgMBW,427,1459
104,bPyEMSG84A,68,1286
105,qpNedkn4D5,43,1272
106,5QGBX95Evh,47,1035
107,tJBKzVfvBK,133,900
108,denizen,625,1838
109,mXkAttjYey,90,1549
110,glodyknights,220,2188
111,cyberzillaz,626,2915
112,dFRKMM6P3Q,125,2429
113,mkVcDGn2e9,199,2020
114,CGmAuACtRh,273,1314
115,z7HFNAJkeY,9,260
116,PkardUkwKZ,521,4191
117,FUbrVEFxds,1292,40883
118,zelenskiynft,154,5263
119,caverncores,14,66
120,T6ZeUpxjTU,509,7472
121,55EgnjPCgH,41,134
122,DmZSshnct4,12,237
123,npp3PZKyp5,510,9503
124,FAA65MbNpg,7,248
125,4bfvEMKSDE,283,1527
126,GAJPfv5Vpu,8,241
127,np9RfYyc37,14,2241
128,nUWhtExCkw,42,1685
129,976DrsZtk7,30,2078
130,eAgqaA9Rrn,305,8582
131,DEUCEfwECY,15,48
132,dribblie,1161,19666
133,P4DscBhgZp,51,2249
134,wEznPag4eD,16,41
135,tusnft,52,2172
136,poc-nft,1784,20610
137,rjsz6sKz63,17,286
138,7PaBK6BbAj,35,650
139,STM884WwCu,1,14
140,JSZnasaa7p,321,4442
141,VpTqJ9a9h7,137,1045
142,CeYnqPgjnq,15,4592
143,7v3m8WDNh9,251,3100
144,nftsumantria,4925,30928
145,HrAeKG2YXM,74,1402
146,hbkRgEczBw,32,329
147,gnRxTPV4px,5,21
148,VXdgAJkHDE,84,1241
149,UKrhGketaN,41,131
150,vK9eJsVTE8,21,332
151,k4DDhzY23a,9,30
152,dWtHVszbMe,555,1567
153,txpmdx3Fny,11,81
154,bRXKgVdBHU,24,226
155,bjMj23bFZQ,162,834
156,VDdk4YdRgH,85,4445
157,7JzgwYDJht,468,4935
