,discord,online_members,total_members
0,headypipe,135,763
1,M9J7hkERY5,583,4574
2,uRMMdaNKFv,2438,8971
3,6xjXz85zjC,9,99
4,gorillas,3137,8612
5,qpNedkn4D5,63,1061
6,CT9kMzYUKD,43,1855
7,impermanent-digital,618,3306
8,MetaF1Club,4448,32011
9,rRrnHCQsvn,4036,30926
10,boredsone,1574,23540
11,Hf7CRUPUG3,576,1938
12,sushicatsnft,3962,21169
13,vKA7tqvhRX,2358,18778
14,frck,5166,35454
15,mdVsZvTvY2,64,1994
16,fzxWzpvG73,96,1209
17,DH6vaGzYH3,455,2615
18,unifriends,308,2249
19,ywvZjzCCVt,2178,16096
20,yzrWhadsHg,83,1268
21,moonrocknft,182,982
22,xdVVETsnbe,57,470
23,xb9t3CRxYG,2359,15004
24,MovieClubNFT,1314,7960
25,zN7CyEFNvK,1098,6822
26,kw6bT3jcZB,65,1424
27,SNHBKFYSme,305,1508
28,m4QZwk9yAN,38,243
29,jWNmMH7Z9U,762,1205
30,989VTDkxQZ,214,2592
31,wNneh3hHaS,5,15
32,zXJn68tdWk,104,1125
33,sg8VWbmZaK,654,1889
34,mDNN9rfAmB,12,296
35,dripperzcc,320,1578
36,XuECJw5bTX,14,74
37,zRE9jKtmzZ,46,367
38,munchiemafia,82,3134
39,8pgVATSD9k,240,5721
40,babydogecoin,3354,67172
41,83QxAxbKsF,148,6517
42,HQ7VP8Tk9B,73,2112
43,smurfzillaz,83,1150
44,nu9BZtVtTU,33,153
45,meta-nomads,48,265
46,FpZwktQwXh,14,1138
47,goodmonkeyz,625,6158
48,saMaKYedTt,1005,2114
49,AaZQk4RXSD,85,1754
50,funkybunnies,3111,20281
51,tWpgZPTF54,1348,13737
52,Sayre,228,687
53,yaDcK9J5ze,351,14972
54,bearcartel,1935,28669
55,metaversesociety,102,940
56,cunnqtDUkv,2557,9037
57,mobioz,531,2391
58,supgators,285,4642
59,neonplexus,1863,8090
60,,788,5266
61,J5YMEqtNyK,4,20
62,mPNgBmApBC,31,187
63,tufdEhnsec,13,34
64,ethxai,4711,23143
65,HjnVyxydv9,620,5704
66,asianidentity,964,4986
67,DtcgkNMC9H,1655,6728
68,Xq6KWHERs5,119,504
69,metaboards,253,793
70,5kKm35uWHr,285,4642
71,Valorien,271,2163
72,mt8yzgVxrS,65,414
73,ntc,10307,65885
74,SYgdh52e7u,2693,18597
75,6jYDTNMejU,544,5371
76,lootbox,133,2546
77,b4QU2YZy2X,93,1058
78,solmon,1291,7834
79,4GE9rYnv34,1145,4976
80,gadonft,1042,17994
81,nDSrgvvg,180,445
82,UPmbY42Uwd,131,6585
83,Uk2uAfZ9GZ,16,67
84,misfitsapesociety,214,8705
85,kVWAtzvFBp,10,231
86,PTUerRrMDh,99,885
87,NTebntrE95,5,31
88,dragonfuturist,423,1514
89,xDhUt8B2uq,395,1004
90,GyNfcuzSar,98,2386
91,TSeJ9G2p8B,2663,31808
92,TMkrNSrV29,213,2045
93,QPHRcpgstk,15,62
94,7G4Uk8gVDw,10052,21553
95,kvU3ZtNxMP,409,2228
96,2CYRCUNQns,12,227
97,haddiesbayclub,36,480
98,gjjcBfbdjD,46,541
99,44UqzAUnnQ,577,4857
100,v8fyBScyeT,444,10860
101,silks,1352,18690
102,8aVXmMeep9,997,8517
103,lnr,474,7622
104,CyxygNw65x,46,305
105,syVHUpspKg,97,1164
106,NZuNTcguW6,562,13996
107,eQMACVpU8s,231,11381
108,feggz,1343,18896
109,wrappedhotels,1469,26414
110,ccdc,1128,2326
111,NZRKJ9fh6u,16,291
112,qG6xDQKyGN,1564,15173
113,cyberzillaz,644,2435
