,discord,online_members,total_members
0,madgiraffegang,225,6807
1,demions,460,2012
2,cthulhuarmageddon2022,2589,17049
3,dRbdWvTYYh,2102,13932
4,3GDer75Rxq,183,603
5,p8t7bgKzsy,372,6010
6,s6Ukq6eU4C ,568,6146
7,cheebs,1433,9585
8,squidacademy,635,10320
9,kickflipnft,3607,25675
10,Uby6HDRRkX,737,5021
11,boredapearmyclub,189,8463
12,fMP3eQXBGa,277,4947
13,drsniffynft,365,11494
14,None,60,25638
15,yvRjRrvkMB,153,3499
16,playblankos,15651,152525
17,planetbb01,4636,10826
18,XunMQBW77z,2071,7920
19,reseau,8167,108377
20,nordeins,518,1966
21,ZrxbvmEZ9a,832,6517
22,MetaVolution,3630,13682
23,eYUyCx5YgT,728,11435
24,B39UJjmjpz,130,1769
25,JHFu5Ktct8,215,2995
26,labyrinthine,166,1990
27,282sbZnFkQ,70,2755
28,MdjqPSHj6X,53,1224
29,,822,5281
30,cbgPRy2gWZ,23,463
31,RmnteYEZ5h,14,73
32,her-nft,277,1265
33,JdMQtnyJ9H,44,767
34,Zt4wqQPqfR,13,86
35,ptU4uStCC2,32,1276
36,QeR9yvSWvk,354,4450
37,Sg7eHTFDsP,10,31
38,4rNUQ2kPHy,33,106
39,KjGwHf4pZr,131,7740
40,raxn6h9vy5,116,5119
41,zjS8tJyGWw,675,1009
42,2yTCzKsDfd,3295,18332
43,r6QeuHPdG8,202,837
44,jbas,1797,14779
45,H5dgU2Sfu3,382,1834
46,FWVhP6vKy6,365,10663
47,KW6BMJm2B9,24,733
48,Anim4rt,194,2021
49,65wSm9GaWb,12,559
50,chillinchameleons,1530,18434
51,CR3E3YEvUF,156,2580
52,bQV945JY6y,75,1224
53,6QCGpUcvrT,89,1682
54,toddlerpillars,833,5659
55,cityofgold,837,17637
56,HDQXwnSpX7,105,1853
57,5F9FAuR5GC,147,2271
58,snobiety,2304,8690
59,MPbB7EjBEW,18,709
60,DUcbbFgMBW,511,1595
61,qpNedkn4D5,54,1541
62,HOTM,157,5311
63,5QGBX95Evh,54,1241
64,tJBKzVfvBK,370,1992
65,denizen,121,2116
66,mXkAttjYey,79,1697
67,9aq5M5NqUS,100,1586
68,EXDAfwHFJG,1,15
69,glodyknights,224,2172
70,edxbX5aMM7,353,1022
71,cyberzillaz,604,2900
72,eE2269Ym2y,53,969
73,dFRKMM6P3Q,142,3044
74,mkVcDGn2e9,116,2299
75,bloqparty,524,1628
76,8hanabi,1021,4439
77,N7GEpew7Sc,16,52
78,CGmAuACtRh,292,1523
79,z7HFNAJkeY,13,519
80,robofrens,528,5985
81,VxcP5SYd5B,360,5342
82,MFNMNYzwBT,113,1085
83,fkBZKdARga,84,2670
84,B39UJjmjpz,128,1769
85,PkardUkwKZ,864,5198
86,FUbrVEFxds,1282,40651
87,zelenskiynft,137,9349
88,caverncores,17,80
89,T6ZeUpxjTU,505,5255
90,55EgnjPCgH,42,149
91,DmZSshnct4,9,533
92,npp3PZKyp5,521,9000
93,DNyaK3CrJ7,21,123
94,f5RzHDTy6K,10,75
95,jTfRNGavK5,12,48
96,heQm5pvkyz,25,75
97,FAA65MbNpg,15,549
98,GAJPfv5Vpu,5,522
99,np9RfYyc37,24,940
100,WASAyefUDs,18,463
101,tubzsocialclub,882,2649
102,nUWhtExCkw,168,9320
103,976DrsZtk7,27,2327
104,DEUCEfwECY,21,70
105,dribblie,1405,20532
106,P4DscBhgZp,52,2600
107,wEznPag4eD,17,59
108,tusnft,83,2158
109,poc-nft,1533,24943
110,FfnwZvUmkE,76,571
111,7PaBK6BbAj,49,975
112,STM884WwCu,4,20
113,JSZnasaa7p,392,4743
114,4GYvvreWKm,1061,2913
115,GakH8sM6e8,18,94
116,mfhQ7r2Uww,42,284
117,VpTqJ9a9h7,117,1309
118,CeYnqPgjnq,18,4590
119,7v3m8WDNh9,249,2916
120,nftsumantria,9159,38706
121,G5u7yxktXu,55,529
122,assetbendernft,503,3351
123,4YNhyTBQRW,44,938
124,fbsXxBaKCm,24,639
125,4bfvEMKSDE,294,5160
126,HrAeKG2YXM,100,1934
127,9SCjU4jqrJ,542,1297
128,ikigaigenesis,32,83
129,hbkRgEczBw,21,583
130,KkQs93WHRK,48,534
131,gnRxTPV4px,15,68
132,UegvftJSpq,14,39
133,hvu3MBeTjN,145,2165
134,moonstrike,5676,37556
135,VXdgAJkHDE,79,1635
136,WPvBWbFB2C,55,1544
137,UKrhGketaN,34,141
138,vK9eJsVTE8,23,611
139,k4DDhzY23a,8,40
140,SB5vhNjF9D,117,1881
141,nuUsk8JaH9,6,29
142,dWtHVszbMe,70,415
143,txpmdx3Fny,15,136
144,bRXKgVdBHU,25,492
145,bjMj23bFZQ,218,1844
146,VDdk4YdRgH,83,4048
147,tacticalscratches,73,1101
148,AhG7e3cX94,38,100
149,dwiss,243,2619
150,tycoontigersclub,206,1224
151,FNNTgJwKWb,35,976
152,GZAXQFVknX,5,26
153,creativefriendz,661,2870
154,qA3d5a5BWQ,115,946
155,8KbVuYmjDY,94,799
156,bPyEMSG84A,76,1527
157,eAgqaA9Rrn,267,8719
158,Es57HhSXAY,65,441
