,discord,online_members,total_members
0,4fvpfeqah4 ,253,2260
1,adeEYRAbmy,1076,5206
2,adeEYRAbmy,1076,5206
3,95rV9UEtX2,367,3404
4,jDAqpjxs79,422,6493
5,HPRy95aJ2r,1066,14608
6,ywW8xDHMvU,71,1135
7,YaZ5RQ8987,13,104
8,7S34fQsMpT,63,401
9,wastedwhales,2059,18283
10,82TKe2swvZ,2259,9500
11,deadapezisland,731,8343
12,ACDealerNFT,2738,12746
13,MwM8P8MrSR,12,99
14,7HRyXby2XA,888,4033
15,zgwEF99Xnw,87,738
16,akuevQHj4x,405,2263
17,fbsXxBaKCm,25,541
18,mutanthamsters,1199,5769
19,nohesi,638,4559
20,WZWbbt5vax,2161,14974
21,cloneapes,19075,144409
22,medicatedmice,1627,22205
23,uzJDcMTRDk,1150,4716
24,hJdaWqgUX8,611,707
25,3A7dj5wtDq,55,1529
26,sg8VWbmZaK,603,2283
27,KV6qcHmahZ,1316,14510
28,KbSfMYuMZ2,547,4729
29,creativefriendz,637,2843
30,FC5NPYDeZk,1790,18435
31,ZUCyVxygBc,181,2154
32,PQ5fdTn7hH,132,1400
33,sadboysclub,151,2726
34,UqH7GwwV89,351,21802
35,theroyalbears-yournfthome,2050,7572
36,v8TxkDrMKj,2077,15461
37,magiccraftgame,1141,18102
38,bU6wTaAhB8,381,26184
39,moonwalkers ,3701,32627
40,h3fzEU5gKn,12,79
41,cheebs,1477,7073
42,RMhMSUkEKs,1427,8411
43,9talesNFT,5688,23963
44,PR7r8WEd5K,80,828
45,phATapAshn,716,3758
46,madgiraffegang,175,6713
47,AVXkRckW9g,2023,8655
48,dRbdWvTYYh,2259,13420
49,Z6f8ZkKy83,2590,10809
50,demions,546,1965
51,cthulhuarmageddon2022,2958,16847
52,cbgPRy2gWZ,15,401
53,ikigaigenesis,10,21
54,3GDer75Rxq,166,525
55,p8t7bgKzsy,277,5769
56,s6Ukq6eU4C ,602,5940
57,squidacademy,531,9780
58,kickflipnft,3736,23236
59,Uby6HDRRkX,608,4744
60,boredapearmyclub,76,5154
61,fMP3eQXBGa,333,4482
62,4MQqef5mnc,1044,3995
63,drsniffynft,370,6887
64,None,37,23998
65,yvRjRrvkMB,135,3350
66,planetbb01,3502,8934
67,XunMQBW77z,1548,7335
68,reseau,9888,85743
69,MetaVolution,3276,11852
70,eYUyCx5YgT,812,9206
71,JHFu5Ktct8,243,2955
72,labyrinthine,128,1838
73,282sbZnFkQ,120,3264
74,MdjqPSHj6X,58,1120
75,,255,5295
76,her-nft,323,1284
77,ptU4uStCC2,33,1079
78,QeR9yvSWvk,184,3748
79,4rNUQ2kPHy,33,101
80,KjGwHf4pZr,145,8096
81,qA3d5a5BWQ,106,789
82,8KbVuYmjDY,60,636
83,raxn6h9vy5,108,4675
84,zjS8tJyGWw,709,988
85,2yTCzKsDfd,3479,18193
86,r6QeuHPdG8,201,743
87,jbas,1847,13409
88,H5dgU2Sfu3,414,1828
89,FWVhP6vKy6,380,10884
