,discord,online_members,total_members
0,catpeople,1026,4759
1,F8N33quurD,654,2521
2,xj3m8k8nFX,778,5277
3,u9hrymUEM8,67,723
4,babydoodleapes,1436,9420
5,QCC9FVDCXa,209,932
6,ydphjBWX78,557,8178
7,cKyCcX7Fby,1708,11794
8,vQEWt2q5yP,976,9636
9,homeboyzclub,215,1242
10,slimes,374,1384
11,YNFGeedv6Q,55,440
12,drakoids,78,1690
13,W2TQCbPmZS,8878,133954
14,goblinarmy,1808,11049
15,vFv6Tt6zuS,846,23333
16,Sakuraproject,2561,13758
17,cryptocelestials,1994,6534
18,RYWapRzPPR,1031,9061
19,7pQJVVNNXH,79,1546
20,uTh7jxtxWJ,129,546
21,t9uMdaxHFz,159,1743
22,vP4HD6yaUt,22,173
23,8sNX9Tuc2G,2056,4737
24,peskypandas ,2057,21192
25,envoverse,219,2272
26,tAsgEmS7a4,342,3469
27,BowlingHeads,370,1731
28,brikbots,728,9109
29,vkJ29dsNS9,767,1734
30,PhoodleBears,108,2946
31,potp,3667,31972
32,bbcwWcEtkA,964,8116
33,demonzsyndicate,1097,4165
34,sagc,801,8799
35,feelgang,350,2657
36,38xU3BKr3T,553,30482
37,crazyrichapes,101,2345
38,draconft,488,16845
39,7usJMm6Cvt,2892,34849
40,metaelement,2892,34849
41,gosaverse,2203,12684
42,xVhcpj6csg,453,4686
43,AjngsDneHg,1034,7492
44,ERQnZHsWCj,17,6234
45,degentlemensclub,126,742
46,u749v665vm,372,2622
47,AzEKpHHz,22,130
48,slamjokers,71,698
49,ninjaclannft,204,3194
50,SYWcnbgyX8,303,2263
51,smolboyzland ,7425,38206
52,JvrFCG7NQs,397,3560
53,metaspacebabies,1771,20367
54,qzTqGnFFpx,942,2008
55,yPmYBDHKbS,61,1653
56,notamusic,470,2464
57,metabot,1504,15676
58,KhsW4hkX2c,1123,5971
59,superfatapes,14359,114840
60,tmTguJBN7Q,392,1526
61,mee6-nft,3210,10201
62,fessU2KU28,2389,9679
63,roguefoxguild,356,3604
