,discord,online_members,total_members
0,MovieClubNFT,1554,10341
1,picklefrens,347,2366
2,NZRKJ9fh6u,44,422
3,qG6xDQKyGN,2267,18658
4,9jyKkvFNgD,9009,132293
5,lnr,6783,19117
6,mamunft,743,3135
7,KS2jGN6drD,119,4703
8,KDxfnxMRt5,77,763
9,TY2cqrXAjc,179,663
10,FJ8WVWF6ae,78,1288
11,g3b2KNzpUd,1070,3285
12,HQ7VP8Tk9B,107,2363
13,XFUaypfJ8n,64,199
14,4KCMHrjVQ5,341,1543
15,VCMCXMj3dZ,174,780
16,wizardland,331,3459
17,F2QygWVu87,5319,9967
18,pixelnerdz,43,1385
19,qRcQ9sX2HF,227,1658
20,dJbcmeaHbT,374,4116
21,successmetacity,510,6045
22,ZucMYrEQhR,777,5112
23,chubbycatnft,1804,5566
24,originbeast,192,1815
25,An5ANqqe9p,5319,9967
26,EZHkGScKkC,514,610
27,hfh,547,4268
28,WWPgcmqb9x,203,271
29,8AUUdbgJCQ,44,1307
30,jAqbvKjXK5,498,7187
31,rc3nwqgqzt,2745,12786
32,4hDDF8rQsA,39,402
33,spacecadetsnft,346,4319
34,dopeapes,2132,14757
35,QefaFSNgKr,716,9229
36,gpv4TZ2dJt,2130,23102
37,uhr2uU6GVf,20,334
38,kvU3ZtNxMP,554,2566
39,,611,5290
40,YF3YEvchcA,3475,23963
41,xxX7MUTfhp,44,753
42,s2mKrtGeQx,4,17
43,4GE9rYnv34,2304,7832
44,cinemaapes,38,145
45,SSRxgvJNRM,65,2625
46,metasyndicate,1485,18515
47,RHINOSAVANNANFT,1903,8928
48,5gEYH8KyFz,235,941
49,metasurvivors,6,118
50,EuYRUf5H7v,490,2186
51,chicmami,344,4732
52,SncCt9xwJQ,30,128
53,BSKebxFkYm,41,612
54,FsPjJcXTPX,8,42
55,G2mC65DPRJ,82,1821
56,DsSynP6DFu,274,1115
57,wr4gVc5h2u,2637,15511
58,oneandzero,192,778
59,Sg7Y6xu5bA,378,4122
60,FBc7dXhz9b,417,2400
61,dreamerz,421,2040
62,VYcfGq4nBn,11,34
63,lootbox,244,3148
