,discord,online_members,total_members
64,kxW4XCb4YD,506,3777
65,BPnJmZaGBS,60,302
66,ntXfbjUvgh,4,38
67,tunies,210,1879
68,PuEBAzB3h9,1390,12009
69,mutanthapeprime,1633,8101
70,ejaVjSw9aD,488,3743
71,Valorien,285,2566
72,puffworld,13746,85586
73,96QBSE4j59,77,860
74,AMb9q25kb7,126,5796
75,vkF8jycxxw,5,33
76,CDWQVEPSCF,387,2828
77,kqHRqQwuyp,124,731
78,karmacats,6938,32501
79,nftstar,2486,66179
80,yoomoota,8369,37478
81,4vzQFhya,195,1378
82,kM7FhFdVyy,307,5244
83,aTzMGs3GxZ,218,4840
84,8aVXmMeep9,1257,10557
85,RZCTpe54t3,78,656
86,thehumanians,12234,50373
87,Kj9GuuqFEq,5,16
88,KTKWFtkq7m,2428,4678
89,7enfpkVPBf,893,4574
90,alphaaliens,153,1312
91,SHIBAYC,832,7495
92,Qe4hX2bS3A,17,77
93,sHqaUNpvR6,14,67
94,Q9UxeGTJyP,7,43
95,nftcombinator,32,76
96,JynUTRszHF,19,136
97,bRXKgVdBHU,27,59
98,naVVaXqVn4,98,1303
99,jjMuncsZgX,328,2449
100,KbSfMYuMZ2,654,3382
101,pixa,240,1129
102,Pve3rmKpxN,76,303
103,fp7YcceDsV,750,13513
104,pqkGKNfKtK,18,71
105,reseau,9808,49703
106,dinokids,237,4272
107,qYQ9R48Srh,13,36
108,EJy9NKh3gH,601,3928
109,CvzeC9fZDS,155,465
110,meta-xstudios,187,611
111,7JzgwYDJht,511,4186
112,yellowfames,621,10658
113,2z5PpXsS2K,82,15935
114,McphYRHMTA,1905,7389
115,Cj42Smu9Q5,19,215
116,6nkDMCEWWV,1459,5582
117,qzZ3SpDVUU,251,1026
118,82TKe2swvZ,55,852
119,fbsXxBaKCm,11,15
120,HPRy95aJ2r,256,8458
121,ywW8xDHMvU,110,852
122,7HRyXby2XA,607,1688
123,3A7dj5wtDq,65,1197
124,sg8VWbmZaK,635,2088
125,KV6qcHmahZ,1469,15714
126,creativefriendz,724,2352
127,PQ5fdTn7hH,87,624
128,jbas,1617,12468
129,bU6wTaAhB8,434,24930
130,cheebs,455,4455
131,RMhMSUkEKs,401,2845
132,p3j8wThf6b,36,5742
133,PR7r8WEd5K,108,462
134,phATapAshn,730,3172
135,AVXkRckW9g,1984,7526
136,demions,580,1569
137,foxnationdao,42,439
138,p8t7bgKzsy,356,5307
139,4MQqef5mnc,729,2109
140,9m6bxBf62V,74,387
141,282sbZnFkQ,26,592
142,MdjqPSHj6X,75,825
143,ptU4uStCC2,26,275
144,KW6BMJm2B9,23,186
145,65wSm9GaWb,16,79
146,CR3E3YEvUF,137,1771
147,monkchains,3236,20290
148,5F9FAuR5GC,150,1639
149,DUcbbFgMBW,429,1038
150,qpNedkn4D5,69,1116
151,5QGBX95Evh,49,830
152,xNQXPrJxAA,78,1971
153,tJBKzVfvBK,93,435
154,denizen,606,1541
155,mXkAttjYey,57,1128
156,glodyknights,272,1819
157,cyberzillaz,674,2730
158,dFRKMM6P3Q,179,2295
159,mkVcDGn2e9,217,1830
160,CGmAuACtRh,395,1124
161,z7HFNAJkeY,16,51
162,PkardUkwKZ,237,2247
163,caverncores,18,50
164,T6ZeUpxjTU,649,6992
165,DmZSshnct4,6,55
166,FAA65MbNpg,14,1610
167,4bfvEMKSDE,219,637
168,GAJPfv5Vpu,9,35
169,nUWhtExCkw,50,1199
170,976DrsZtk7,39,1893
171,eAgqaA9Rrn,235,7898
172,P4DscBhgZp,27,1889
173,poc-nft,1863,14354
174,rjsz6sKz63,10,40
175,7PaBK6BbAj,52,384
176,VpTqJ9a9h7,126,859
177,CeYnqPgjnq,16,4580
178,HrAeKG2YXM,102,978
179,hbkRgEczBw,22,101
180,VXdgAJkHDE,84,993
181,JtwEZyAwcW,33,213
182,UKrhGketaN,34,147
183,dWtHVszbMe,61,290
184,bjMj23bFZQ,210,564
185,VDdk4YdRgH,129,4287
186,wjutTte6sW,270,1036
187,wrappedhotels,4920,60859
188,nftsumantria,5256,28061
189,E2e8smHGek,2092,12482
190,BqQeCqM9BW,24,308
191,sadboysclub,205,2418
