,discord,online_members,total_members
0,PR7r8WEd5K,77,355
1,phATapAshn,931,4655
2,AVXkRckW9g,2007,9486
3,v8TxkDrMKj,1888,15669
4,dRbdWvTYYh,1899,13970
5,Z6f8ZkKy83,2608,10444
6,demions,548,2008
7,madgiraffegang,116,6778
8,cthulhuarmageddon2022,3188,17608
9,cbgPRy2gWZ,16,442
10,3GDer75Rxq,141,562
11,p8t7bgKzsy,336,5953
12,s6Ukq6eU4C ,539,6053
13,cheebs,1486,9534
14,squidacademy,562,9967
15,kickflipnft,3614,25977
16,Uby6HDRRkX,621,5069
17,boredapearmyclub,112,8222
18,fMP3eQXBGa,230,4754
19,4MQqef5mnc,1147,5022
20,drsniffynft,384,11452
21,None,88,24457
22,playblankos,15541,152318
23,planetbb01,4684,10784
24,XunMQBW77z,1667,7773
25,reseau,9940,106717
26,nordeins,405,1697
27,ZrxbvmEZ9a,826,6488
28,MetaVolution,3866,13485
29,eYUyCx5YgT,680,10595
30,JHFu5Ktct8,217,2988
31,labyrinthine,140,1951
32,282sbZnFkQ,97,2695
33,MdjqPSHj6X,52,1192
34,,685,5284
35,RmnteYEZ5h,8,57
36,her-nft,329,1259
37,JdMQtnyJ9H,38,735
38,Zt4wqQPqfR,8,73
39,ptU4uStCC2,31,1216
40,QeR9yvSWvk,287,4260
41,Sg7eHTFDsP,3,9
42,4rNUQ2kPHy,29,101
43,KjGwHf4pZr,126,7811
44,qA3d5a5BWQ,108,930
45,8KbVuYmjDY,76,752
46,raxn6h9vy5,104,5005
47,zjS8tJyGWw,707,1004
48,2yTCzKsDfd,1416,18312
49,r6QeuHPdG8,206,838
50,jbas,1850,14608
51,H5dgU2Sfu3,444,1830
52,FWVhP6vKy6,376,10640
53,KW6BMJm2B9,22,694
54,Anim4rt,164,1965
55,65wSm9GaWb,18,532
56,chillinchameleons,1572,18327
57,CR3E3YEvUF,122,2565
58,bQV945JY6y,56,1244
59,6QCGpUcvrT,102,1623
60,toddlerpillars,831,5654
61,cityofgold,871,17631
62,HDQXwnSpX7,90,1819
63,5F9FAuR5GC,122,2238
64,snobiety,2156,8576
65,MPbB7EjBEW,33,669
66,DUcbbFgMBW,564,1603
67,bPyEMSG84A,71,1500
68,qpNedkn4D5,54,1504
69,HOTM,164,5358
70,5QGBX95Evh,51,1209
71,tJBKzVfvBK,325,1971
72,denizen,115,2087
73,mXkAttjYey,56,1677
74,9aq5M5NqUS,91,1592
75,EXDAfwHFJG,2,16
76,glodyknights,219,2174
77,edxbX5aMM7,320,1021
78,cyberzillaz,591,2883
79,eE2269Ym2y,46,970
80,dFRKMM6P3Q,163,3002
81,mkVcDGn2e9,166,2255
82,bloqparty,521,1637
83,N7GEpew7Sc,12,49
84,CGmAuACtRh,322,1500
85,z7HFNAJkeY,13,487
86,robofrens,535,5994
87,VxcP5SYd5B,318,5317
88,MFNMNYzwBT,96,1045
89,fkBZKdARga,88,2638
90,PkardUkwKZ,543,5020
91,FUbrVEFxds,1324,40674
92,zelenskiynft,208,9122
93,caverncores,19,77
94,T6ZeUpxjTU,534,5174
95,55EgnjPCgH,36,146
96,DmZSshnct4,15,503
97,npp3PZKyp5,297,9049
98,DNyaK3CrJ7,21,123
99,heQm5pvkyz,15,71
100,FAA65MbNpg,22,518
101,GAJPfv5Vpu,14,488
102,np9RfYyc37,14,935
103,WASAyefUDs,19,465
104,tubzsocialclub,858,2633
105,nUWhtExCkw,221,9283
106,976DrsZtk7,29,2304
107,eAgqaA9Rrn,261,8649
108,DEUCEfwECY,19,69
109,8B3edNHw,2826,13792
110,dribblie,1389,20555
111,P4DscBhgZp,54,2571
112,wEznPag4eD,18,58
113,tusnft,62,2155
114,poc-nft,1481,24405
115,FfnwZvUmkE,66,535
116,7PaBK6BbAj,49,949
117,STM884WwCu,4,22
118,JSZnasaa7p,324,4705
119,4GYvvreWKm,801,2528
120,GakH8sM6e8,13,91
121,mfhQ7r2Uww,26,284
122,VpTqJ9a9h7,132,1284
123,CeYnqPgjnq,15,4589
124,7v3m8WDNh9,238,2902
125,nftsumantria,7633,38650
126,G5u7yxktXu,39,502
127,assetbendernft,350,3072
128,fbsXxBaKCm,38,606
129,4bfvEMKSDE,300,5183
130,HrAeKG2YXM,76,1859
131,9SCjU4jqrJ,548,1298
132,ikigaigenesis,21,74
133,hbkRgEczBw,34,547
134,KkQs93WHRK,39,527
135,gnRxTPV4px,9,63
136,UegvftJSpq,8,35
137,hvu3MBeTjN,106,2132
138,moonstrike,4349,37112
139,VXdgAJkHDE,63,1599
140,WPvBWbFB2C,59,1358
141,UKrhGketaN,31,141
142,vK9eJsVTE8,22,591
143,k4DDhzY23a,8,39
144,SB5vhNjF9D,88,1883
145,nuUsk8JaH9,6,28
146,dWtHVszbMe,63,377
147,txpmdx3Fny,11,132
148,Es57HhSXAY,44,358
149,bRXKgVdBHU,28,468
150,bjMj23bFZQ,115,1809
151,VDdk4YdRgH,89,4106
152,tacticalscratches,49,1087
153,AhG7e3cX94,33,95
154,dwiss,267,2628
155,tycoontigersclub,203,1224
156,FNNTgJwKWb,37,844
157,GZAXQFVknX,5,24
158,creativefriendz,697,2832
159,yvRjRrvkMB,136,3431
