,discord,online_members,total_members
0,JynUTRszHF,41,289
1,kKBpWFrNen,2489,21641
2,curiousbunniesnft,1266,15629
3,fastfoodpunks,399,4833
4,jjMuncsZgX,325,2671
5,BSKebxFkYm,56,811
6,pixa,227,1300
7,sne8ty7Abs,1548,32641
8,Pve3rmKpxN,152,717
9,fp7YcceDsV,761,20104
10,,760,5285
11,wTZc9yCYRA,182,6278
12,thecryptomasks,327,2940
13,pqkGKNfKtK,106,5253
14,animapes,8213,39968
15,vrVMqD6WyJ,93,840
16,z3PN8wznNr,158,3597
17,dorksnft123,746,4356
18,7enfpkVPBf,1102,5483
19,qYQ9R48Srh,48,874
20,Bcgy7XHUf4,320,8133
21,87kgqRugtz,8,81
22,sadboysclub,214,2738
23,YPa7KDTKRU,771,6116
24,CvzeC9fZDS,351,1473
25,meta-xstudios,154,791
26,n9mqgse4VZ,12439,143238
27,c2ag3gwZRS,105,1046
28,7JzgwYDJht,459,4848
29,yellowfames,546,11701
30,2z5PpXsS2K,81,16083
31,shukunanft,1347,5717
32,McphYRHMTA,1814,8901
33,m9tDVzAXDS,2347,9138
34,,760,5285
35,nWwFTNRtjP,203,2780
36,7X9D4STbVe,556,2319
37,Cj42Smu9Q5,38,344
38,imaginaryballs,30,179
39,6nkDMCEWWV,1408,7083
40,qzZ3SpDVUU,237,1272
41,82TKe2swvZ,277,3084
42,4fvpfeqah4 ,286,1633
43,adeEYRAbmy,1052,3998
44,chihuahuarevenge,275,2861
45,adeEYRAbmy,1052,3998
46,95rV9UEtX2,392,3299
47,jDAqpjxs79,460,6377
48,fbsXxBaKCm,26,201
49,HPRy95aJ2r,979,10572
50,ywW8xDHMvU,97,882
51,7S34fQsMpT,55,251
52,wastedwhales,2473,17738
53,ACDealerNFT,3766,10940
54,MwM8P8MrSR,13,77
55,7HRyXby2XA,593,2290
56,akuevQHj4x,558,2144
57,mutanthamsters,1031,4651
58,nohesi,581,4330
59,N3gPPZgshw,1483,9006
60,hJdaWqgUX8,13,63
61,3A7dj5wtDq,65,1230
62,sg8VWbmZaK,618,2188
63,KV6qcHmahZ,1340,15870
64,KbSfMYuMZ2,624,4197
65,creativefriendz,660,2605
66,ZUCyVxygBc,235,1388
67,magiccraftgame,554,12495
68,bU6wTaAhB8,378,25680
69,RMhMSUkEKs,950,6944
70,9talesNFT,5063,19697
71,PR7r8WEd5K,102,580
72,pzmedwhaE7,44,3154
73,phATapAshn,664,3547
74,AVXkRckW9g,1997,9208
75,Z6f8ZkKy83,2321,10845
76,demions,479,1627
77,foxnationdao,53,589
78,cthulhuarmageddon2022,1938,13736
79,p8t7bgKzsy,354,5533
80,squidacademy,585,9522
81,4MQqef5mnc,1053,3331
82,drsniffynft,342,3559
83,None,182,8167
84,yvRjRrvkMB,156,1393
85,planetbb01,698,5316
86,XunMQBW77z,1871,6639
87,reseau,9373,67981
88,MetaVolution,2425,8262
89,labyrinthine,182,1550
90,282sbZnFkQ,31,582
91,9SCjU4jqrJ,554,1281
92,MdjqPSHj6X,71,941
93,Zt4wqQPqfR,8,42
94,ptU4uStCC2,42,559
95,QeR9yvSWvk,186,2931
96,4rNUQ2kPHy,30,91
97,KjGwHf4pZr,117,6784
98,qA3d5a5BWQ,91,706
99,r6QeuHPdG8,164,719
100,FWVhP6vKy6,520,11522
101,KW6BMJm2B9,32,357
102,KW6BMJm2B9,32,357
103,65wSm9GaWb,18,197
104,CR3E3YEvUF,166,2824
105,monkchains,2526,19720
106,cityofgold,827,16982
107,5F9FAuR5GC,141,1773
108,MPbB7EjBEW,27,588
109,bPyEMSG84A,78,1199
110,qpNedkn4D5,66,1226
111,5QGBX95Evh,48,952
112,tJBKzVfvBK,139,741
113,denizen,633,1737
114,mXkAttjYey,93,1422
115,glodyknights,268,2209
116,cyberzillaz,671,2901
117,dFRKMM6P3Q,148,2354
118,mkVcDGn2e9,132,1950
119,CGmAuACtRh,290,1241
120,z7HFNAJkeY,17,176
121,PkardUkwKZ,577,2623
122,FUbrVEFxds,1427,40895
123,zelenskiynft,88,4485
124,caverncores,17,66
125,T6ZeUpxjTU,547,7325
126,55EgnjPCgH,40,131
127,DmZSshnct4,12,167
128,npp3PZKyp5,652,8887
129,FAA65MbNpg,22,165
130,4bfvEMKSDE,224,812
131,GAJPfv5Vpu,17,173
132,nUWhtExCkw,51,1637
133,976DrsZtk7,46,2025
134,eAgqaA9Rrn,253,8500
135,DEUCEfwECY,17,47
136,dribblie,430,18502
137,P4DscBhgZp,53,2171
138,wEznPag4eD,16,40
139,poc-nft,1666,19698
140,rjsz6sKz63,34,204
141,7PaBK6BbAj,65,572
142,STM884WwCu,2,12
143,JSZnasaa7p,421,4359
144,VpTqJ9a9h7,127,965
145,CeYnqPgjnq,16,4593
146,HrAeKG2YXM,114,1253
147,hbkRgEczBw,30,253
148,gnRxTPV4px,4,13
149,VXdgAJkHDE,71,1153
150,UKrhGketaN,43,132
151,vK9eJsVTE8,22,253
152,k4DDhzY23a,9,21
153,dWtHVszbMe,567,1478
154,bRXKgVdBHU,31,154
155,bjMj23bFZQ,210,749
156,VDdk4YdRgH,95,4444
157,EJy9NKh3gH,764,5183
158,PQ5fdTn7hH,123,1073
159,jbas,1466,13311
160,DUcbbFgMBW,444,1436
161,7v3m8WDNh9,243,3128
162,nftsumantria,4845,30048
