,discord,online_members,total_members
0,hkbTvZbShD,224,1083
1,4U8raeMs4W,1649,16470
2,mpAKPhHGur,729,11627
3,8wgh4RJQYh,223,7075
4,satoshirunners,9043,36949
5,thedystopians,12316,69979
6,xj3m8k8nFX,842,5097
7,anti-ape,4143,37727
8,hhnEhXaHca,117,1911
9,euphorians,3468,17573
10,DrunkSkunksDC,462,2764
11,flair,578,1447
12,givingbulls,543,4303
13,Grimutants,129,2162
14,qwc8muXqyj,952,4645
15,PhoodleBears,186,2978
16,tsGbVBfxgv,8,206
17,soullesscitadel,287,3991
18,puffypawspack,9189,70926
19,dippies,16184,60049
20,6bB4q4Y3bA,1099,8540
21,6JkXaye6yp,121,1905
22,MjhhqHazDM,966,10168
23,galacticsnakesociety,2520,24510
24,YNFGeedv6Q,58,334
25,skzjkn9gZF,661,8758
26,catpeople,1420,4852
27,vFv6Tt6zuS,1092,23186
28,7pQJVVNNXH,63,1391
29,superfatapes,24797,115561
30,aJVP6SrghU,65,364
31,teenapegang,999,14944
32,briannfts,33351,284575
33,2ANubZetBm,104,1362
34,greedygramps,6218,18407
35,atlaslyonsclub,216,671
36,UQEstfNCgN,277,2903
37,F8N33quurD,655,2327
38,u9hrymUEM8,962,1298
39,metabot,1851,15481
40,mythia,4197,19624
41,babydoodleapes,1317,6686
42,QCC9FVDCXa,222,840
43,ydphjBWX78,563,4400
44,cKyCcX7Fby,1903,8331
45,vQEWt2q5yP,1075,9339
46,homeboyzclub,241,1018
47,slimes,363,1200
48,drakoids,63,1614
49,goblinarmy,1780,10672
50,Sakuraproject,3659,13715
51,cryptocelestials,1556,4515
52,RYWapRzPPR,976,4908
53,uTh7jxtxWJ,107,434
54,t9uMdaxHFz,207,1679
55,vP4HD6yaUt,21,150
56,DJ837skJCw,70,274
57,envoverse,229,2130
58,tAsgEmS7a4,322,3167
59,BowlingHeads,337,1643
60,brikbots,1104,8967
61,uhW7pTbJXG,172,1732
62,potp,2706,30384
63,feelgang,328,2619
64,38xU3BKr3T,960,30500
65,crazyrichapes,155,2318
66,draconft,634,16837
67,metaelement,5668,34519
68,gosaverse,2026,11001
69,xVhcpj6csg,390,4104
70,AjngsDneHg,1028,7351
71,ERQnZHsWCj,9,6165
72,degentlemensclub,130,690
73,u749v665vm,391,2395
74,AzEKpHHz,22,107
75,picharityclub,594,7755
76,hoodles,2006,16168
77,slamjokers,59,614
78,ninjaclannft,197,3102
79,SYWcnbgyX8,332,2235
80,JvrFCG7NQs,457,3252
81,metaspacebabies,2035,18718
82,qzTqGnFFpx,226,2023
83,yPmYBDHKbS,74,1625
84,cryptoceanart,4735,48507
85,vNuCHNcneY,6335,20840
86,metaversusnft,13677,75895
87,7WQTjU5Yct,3676,51020
88,karuti,12257,75658
89,notamusic,486,2568
90,KhsW4hkX2c,1134,5555
91,tmTguJBN7Q,374,1409
92,zencats,2017,9820
93,fessU2KU28,2252,8585
94,roguefoxguild,433,3610
95,sb-legends,1350,61349
96,metapiggybanks,362,5973
97,metapharm,4115,53685
98,PDAA7dFVx3,1015,6261
99,wgCWmACSJd,1584,11523
100,f6apPRSeM5,1602,14964
101,puppyparkadventure,3635,26400
102,qSwjqJSevW,53,350
103,qSwgPSj2RT,1815,8944
104,ZYKWPhjvEZ,190,1466
105,mgPEzQFHam,970,2964
106,KingdomOfDwarves,669,5865
107,groovyowls,839,16036
108,xQNvSwer6x,229,3157
109,54qyzNd2kk,184,4625
110,billionaireburgers,556,1282
111,QG3ewQhXWS,2238,9295
112,doodlerooms,1329,18061
113,cryptidclan,297,1367
114,AFWCvHJjt6,1390,9954
115,bZuYWqVAjd,361,6633
116,metagestation,983,7739
117,bapesofficial,3394,53991
118,cUbVgVkHUc,50,816
119,hmkclub,1172,19834
120,Qbp4jKKy96,162,2333
121,jVrbfeQxMk,198,1682
122,FQW87rTQ5w,134,2148
123,osharenft,2046,7008
124,ZGuGey9fRz,365,5410
125,BKsmpPVTMG,83,760
126,esJApaQ4Mu,258,2009
127,lostsocks,3537,11046
128,DopeApeDrip,756,7964
129,jSbYPzMxUA,237,1715
130,pZh2yUrt3S,4011,33176
131,asracityDAO,217,2122
132,M3eZpDYtrQ,22,285
133,r6pSun5DN3,1024,2981
134,KvUhn4wW7h,349,5658
135,DHeUu4y37s,257,3500
136,shtKejNtYG,180,1228
137,chosenones,2793,59900
138,k5xP4ERveS,248,1373
139,ctBxt6zDsC,189,5208
140,tu8FhdZTrX,862,10637
141,6mGZRGbWmZ,11,1373
142,tjHBPMtdB5,92,315
143,wYW7T8NGfq,436,2807
144,spaceconvicts,734,17464
145,EtXzmh3NzW,28,175
146,aggjbGRky5,1564,14822
147,shibavikingsnft,4160,49197
148,5PjBXVVWrU,351,3225
149,metamouse,892,5482
150,wosclub,1297,16695
151,WRBX257wgb,1690,9455
152,7S2GfK56hZ,232,1935
