,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
10,Homeboyz Club,"['https://upcoming.images.rarity.tools/homeboyzclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/homeboyzclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/homeboyzclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/homeboyzclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/homeboyzclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/homeboyzclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/homeboyzclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/homeboyzclub_4?width=150&optimizer=image']",3333,ETH,True,,2022-03-04 14:00:00,,2022-03-04 14:00:00,homeboyzclub,HomeboyzClub,https://homeboyzclub.com/
11,Slimes,"['https://upcoming.images.rarity.tools/slimes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/slimes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/slimes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/slimes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/slimes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/slimes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/slimes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/slimes_4?width=150&optimizer=image']",4444,SOL,False,,,,,slimes,WeAreSlimes,https://WeAreSlimes.com
12,Solanus - P2E Gameverse,"['https://upcoming.images.rarity.tools/solanus_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/solanus_4?width=150&optimizer=image']",2000,SOL,False,,,,,YNFGeedv6Q,solanusverse,https://www.solanus.io/
13,Drakoids,"['https://upcoming.images.rarity.tools/drakoids_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/drakoids_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/drakoids_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/drakoids_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/drakoids_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/drakoids_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/drakoids_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/drakoids_4?width=150&optimizer=image']",5555,ETH,False,,,,,drakoids,Drakoids,https://www.drakoids.com/
14,OG Social Club by Tai Lopez,"['https://upcoming.images.rarity.tools/originalgaragesocialclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/originalgaragesocialclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/originalgaragesocialclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/originalgaragesocialclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/originalgaragesocialclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/originalgaragesocialclub_3?width=150&optimizer=image']",10000,ETH,False,,,,,W2TQCbPmZS,tailopez,https://www.originalgarage.com
15,Goblin Metaverse,"['https://upcoming.images.rarity.tools/goblinmetaverse_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goblinmetaverse_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goblinmetaverse_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goblinmetaverse_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goblinmetaverse_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goblinmetaverse_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goblinmetaverse_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/goblinmetaverse_4?width=150&optimizer=image']",6666,SOL,False,,,,,goblinarmy,GoblinArmyNFT,https://goblinmetaverse.io
16,Graffiti Bear Collective,"['https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/GraffitiBearCollectivenft_4?width=150&optimizer=image']",9999,ETH,True,0.08,,0.08,,vFv6Tt6zuS,graffitibears,https://graffitibears.com/
17,Sakura Project,"['https://upcoming.images.rarity.tools/sakuraproject_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sakuraproject_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sakuraproject_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sakuraproject_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sakuraproject_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sakuraproject_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sakuraproject_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sakuraproject_4?width=150&optimizer=image']",5678,ETH,False,,,,,Sakuraproject,SakuraPrjctNFT,https://sakuraprojectnft.com/
18,Crypto Celestials,"['https://upcoming.images.rarity.tools/cryptocelestials_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptocelestials_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptocelestials_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptocelestials_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptocelestials_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptocelestials_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptocelestials_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptocelestials_4?width=150&optimizer=image']",5555,ETH,True,,2022-03-04 18:00:00,,2022-03-04 18:00:00,cryptocelestials,CelestialsNFT_,https://celestialsnft.com
19,MYPUNKS,"['https://upcoming.images.rarity.tools/mypunkss_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mypunkss_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mypunkss_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mypunkss_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mypunkss_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mypunkss_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mypunkss_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mypunkss_4?width=150&optimizer=image']",3333,ETH,True,0.07,,0.07,,RYWapRzPPR,MYPUNKofficial,https://mypunks.xyz/
