,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Music Machines,8080.0,ETH,False,,,,,kqHRqQwuyp,MusicMachineNFT,https://musicmachinesnft.com/
1,Karma Cats,5555.0,ETH,True,0.02,2022-05-04 12:21:00,0.02,2022-05-04 12:21:00,karmacats,TheKarmaCats,https://www.karmacats.io
2,Fan Pass - Son Heung-Min,10800.0,ETH,True,0.07,2022-05-04 05:00:00,0.07,2022-05-04 05:00:00,nftstar,THENFTSTAR,https://www.nftstar.com/hm-son
3,YOOMOOTA,7777.0,ETH,True,0.05,2022-05-04 07:00:00,0.05,2022-05-04 07:00:00,yoomoota,yoomoota,https://yoomoota.io/
4,Rooster 2000,10000.0,ETH,True,0.05,,0.05,,WWPgcmqb9x,The_Rooster2K,https://www.rooster2000.com
5,Barts Farm Frens,8888.0,ETH,False,,,,,aXh8aawt2r,BartsFarmFrens,https://bartsfarmfrens.com
6,DEDFAM,10000.0,ETH,True,,2022-05-04 10:00:00,,2022-05-04 10:00:00,KaK7HwcM,dedfamworld,https://dedfam.world
7,FUTURE KICKS,555.0,ETH,True,0.135,,0.135,,4vzQFhya,future_kicks_io,https://Www.futurekicks.io
8,MetaPlayers,2222.0,SOL,True,0.7,,0.7,,kxW4XCb4YD,MetaPlayersNFTS,https://metaplayersnft.com/
9,Awkward Dragons,4888.0,SOL,False,,,,,kM7FhFdVyy,awkwarddragons,https://www.awkwarddragons.com
10,Bored Vitalik Moon Club (BVMC),3333.0,ETH,False,,,,,aTzMGs3GxZ,weirdvitalik,https://weirdvitalik.com
11,Proud Lions Club,7777.0,ETH,False,,,,,8aVXmMeep9,proudlionsclub,https://www.proudlionsclub.com
12,Sushi Pals,8888.0,ETH,False,,,,,RZCTpe54t3,SushiPalsNFT,https://sushipalsnft.com/
13,The Humanians,10000.0,ETH,False,,,,,thehumanians,TheHumanians,https://thehumanians.com/
14,NFTportfolio,2500.0,ETH,False,,,,,Kj9GuuqFEq,NFT__portfolio,https://nftportfolio.in/
15,Punk Angels by PunkMeTender,8888.0,ETH,True,0.19,,0.19,,ZX27uUQBqu,punkangelsnft,https://www.punkangels.io
16,Fast Food Punks Gen2,5000.0,ETH,True,0.015,2022-05-05 09:00:00,0.015,2022-05-05 09:00:00,fastfoodpunks,FastFoodPunks,https://www.fastfoodpunks.com
17,Plodding Isles,2222.0,,True,,2022-05-05 09:00:00,,2022-05-05 09:00:00,PIrarity,ploddingpirates,https://ploddingpirates.com
18,Chibi Club Game,4444.0,ETH,True,0.05,,0.05,,KTKWFtkq7m,chibiclubonline,https://chibiclub.online/
19,Retro Rollers,5555.0,ETH,False,,,,,retrorollers,RetroRollersNFT,https://retrorollers.xyz/
20,Thicc Frens,5555.0,ETH,True,0.042,2022-05-05 15:00:00,0.042,2022-05-05 15:00:00,7enfpkVPBf,Thiccfrens,https://thiccfrens.com/
21,Euphorian Apes Club,2220.0,ETH,False,,,,,UEpNBaht45,EuphorianApes,https://www.euphorians.io/
22,Alpha Aliens,9999.0,ETH,True,0.01,2022-05-05 00:00:00,0.01,2022-05-05 00:00:00,alphaaliens,AliensAlpha,https://alphaaliens.io/
23,SHIBAYC,6666.0,ETH,False,,,,,SHIBAYC,shibayc_eth,https://shibayc.com
24,The Wacky Dog Club,2500.0,MATIC,False,,,,,Qe4hX2bS3A,thewackydogclub,https://thewackydogclub.com/
25,WAREHOUSE VEGETABLES GANG,10000.0,ETH,True,0.05,,0.05,,sHqaUNpvR6,WVG_OFFICIAL,https://warehousevegetablesgang.com/
26,Curious Bunnies Club,3333.0,ETH,True,0.03,2022-05-06 08:00:00,0.03,2022-05-06 08:00:00,curiousbunniesnft,cbunniesnft,https://curiousbunnies.com/
27,Alimatok,4444.0,ETH,False,,,,,Q9UxeGTJyP,AlimatokNFT,https://alimatok.com
28,Fine Yachts Harbor Club,8888.0,ETH,False,,,,,XFUaypfJ8n,FineYachtsHC,https://www.fineyachtsharborclub.com/
29,NFT Combinator Genesis Drop - Mind Twisters,3333.0,ETH,False,,,,,nftcombinator,NFT_Combinator,https://mindtwisters.nft-combinator.com/
30,SwamiNFT,5555.0,ETH,True,0.06,2022-05-06 14:00:00,0.06,2022-05-06 14:00:00,,SwamiNFT,https://swaminft.com/
31,Raccoon of Sengoku,5555.0,EGLD,False,,,,,JynUTRszHF,nft_sengoku,https://sengokus.jp/
32,Cryptocity,1400.0,ETH,False,,,,,naVVaXqVn4,off_CryptoCity,https://officialcryptocity.com/
33,Detown Crops,2600.0,SOL,False,,,,,jjMuncsZgX,detown_io,https://www.detown.io/
34,MoonBabes,8888.0,MATIC,True,,2022-05-07 11:00:00,,2022-05-07 11:00:00,BSKebxFkYm,moon_babes,https://moonbabes.space
35,PixaWargs,500.0,ETH,False,,,,,pixa,pixa_nft,https://pixanft.com
36,The Alphines,3333.0,SOL,False,,,,,sne8ty7Abs,Alpha_Gorillas,https://www.alpha-gorillas.com
37,LambBrawl,555.0,ETH,False,,,,,EByvEYejUU,LambBrawl,https://www.lambbrawl.com/
38,WoodMiners,333.0,SOL,False,,,,,Pve3rmKpxN,WoodMiners,https://woodminers.com/
39,METABLAZE,10000.0,,True,,2022-05-08 02:00:00,,2022-05-08 02:00:00,wTZc9yCYRA,meta_blaze,https://metablazetoken.com/
40,BloxPrime,9999.0,ETH,False,,,,,fp7YcceDsV,TheBloxPrimeNFT,https://bloxprime.com
41,Black to the world,21.0,MATIC,False,,,,,,,
42,The Cryptomasks Project,555.0,ETH,True,,2022-05-08 06:00:00,,2022-05-08 06:00:00,thecryptomasks,TheCryptomasks,https://www.thecryptomasks.xyz
43,The World of Bill,10000.0,ETH,True,,,,,pqkGKNfKtK,TheWorldofBill_,https://www.theworldofbill.com/
44,AnimApes,888.0,ETH,False,,,,,animapes,MetaComiClub,https://www.metaversecomiclub.com/
45,Meta Robots,333.0,SOL,False,,,,,vrVMqD6WyJ,MedievalCatsNFT,https://metarobots.netlify.app/
46,Zales II,1200.0,ETH,False,,,,,z3PN8wznNr,ZalesNFT,https://Zales.io
47,SixthRéseau,7777.0,ETH,True,0.15,,0.15,,reseau,sixthreseau,https://www.reseauclo.com/
48,Dino Kids Club,8888.0,,False,,,,,dinokids,DinoKidsClub,http://dinokidsclub.io
49,The Martian Mansion,1200.0,ETH,True,,2022-05-08 21:00:00,,2022-05-08 21:00:00,qYQ9R48Srh,MMansionnft,https://themartianmansion.com/
50,Metapugs,3333.0,ETH,False,,,,,Bcgy7XHUf4,metapugsnft,https://metapug.io/
51,Boo Things,10000.0,,False,,,,,EJy9NKh3gH,BooThingsNFT,https://boothings.xyz
52,SADBOYSCLUB,9999.0,ETH,True,0.04,2022-05-08 00:00:00,0.04,2022-05-08 00:00:00,sadboysclub,sadboysclubNFT,https://www.sadboysclub.space/
53,Stone Zillas,333.0,SOL,False,,,,,YPa7KDTKRU,dragonzillas,http://stonezillas.com
54,Pharagods,3333.0,ETH,False,,,,,384NOKY,pharagods,https://bit.ly/3rCZADp
55,Loose Moose Crew Founder's Pass,500.0,SOL,False,,,,,CvzeC9fZDS,LooseMooseCrew,https://loosemoosecrew.com/
56,Bitt Butts,6666.0,,False,,,,,meta-xstudios,BitButts,https://bitbutts.com/
57,Shooting Stars Hyundai NFT,10000.0,ETH,True,,2022-05-09 00:00:00,,2022-05-09 00:00:00,n9mqgse4VZ,Hyundai_NFT,https://hyundai-nft.com/
58,TRex Sapiens Order,5959.0,ETH,False,,,,,7JzgwYDJht,TrexSapiensOrd,https://www.trexsapiens-order.com/
59,Yellow Fames,500.0,ETH,True,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,yellowfames,yellowfames,https://yellowfames.com/
60,Voxel Doge,1050.0,ETH,False,,,,,2z5PpXsS2K,CRYPT056,https://voxeldoge.xyz/
61,Shukuna,2222.0,SOL,False,,,,,shukunanft,Shukuna__nft,https://shukunanft.com/
62,OctoRaiders,8888.0,ETH,True,0.07,2022-05-10 13:00:00,0.07,2022-05-10 13:00:00,McphYRHMTA,OctoRaidersNFT,https://octoraiders.com/
63,Angry Polar Bear Club,10000.0,ETH,True,0.039,2022-05-10 13:20:00,0.039,2022-05-10 13:20:00,ywvZjzCCVt,APB_Club,https://www.angrypolarbearclub.com
64,Crypto Gnomes,5000.0,SOL,False,,,,,z0dh3gy99i,crypto_gnomes,https://cryptognomesnft.io/
65,Fury Bandits,5555.0,ETH,False,,,,,m9tDVzAXDS,FuryBandits,https://www.furybandits.com/
66,TimeShuffle Game,10000.0,ETH,False,,,,,,,
67,Sad Kitten NFT,999.0,SOL,False,,,,,7X9D4STbVe,SadKittens_,https://sadkittens.space/
68,Grizzly Force,10050.0,ETH,False,,,,,Cj42Smu9Q5,GrizzlyForceNFT?t=Wbk09X1B-3tw-MXRVtKWzw&s=08,https://grizzlyforce.io/
69,Noahs Ark,3456.0,SOL,True,0.7,,0.7,,6nkDMCEWWV,NftNoahsArk,https://NoahsArkNFT.us
70,The Pluto People,5555.0,WETH,False,,,,,qzZ3SpDVUU,PlutoPeopleNFT,https://plutopeople.art/
71,HAPE TEENS,1999.0,ETH,True,0.03,2022-05-12 05:00:00,0.03,2022-05-12 05:00:00,82TKe2swvZ,HapeTeens,https://hapeteens.com/
72,Martian Monkeys,4444.0,,False,,,,,4fvpfeqah4 ,martian_monkeys ,https://martianmonkeys.com
73,Atama NFTs,2888.0,SOL,False,,,,,adeEYRAbmy,NorowaretaUchu,https://atamanft.com
74,The Uncanny Country Club,5000.0,ETH,True,,2022-05-12 10:09:00,,2022-05-12 10:09:00,hw74eVH7da,TheUncannyClub,https://theuncanny.io
75,Mutant Hua,2000.0,ETH,False,,,,,chihuahuarevenge,ChihuahuaNFT,https://www.chihuahuagang.org/
76,Sentoki NFTs,2888.0,SOL,False,,,,,adeEYRAbmy,NorowaretaUchu,https://sentokinft.com
77,The Satoshi Girls,5000.0,ETH,True,0.04,2022-05-12 14:00:00,0.04,2022-05-12 14:00:00,95rV9UEtX2,SatoshisGirls,https://www.thesatoshigirls.com/
78,Sklle Remix Club,3333.0,MATIC,True,60.0,2022-05-12 16:00:00,60.0,2022-05-12 16:00:00,jDAqpjxs79,cryptosklletons,https://sklleremixclub.io/
79,MetaGreta,6000.0,ETH,True,0.003,2022-05-12 00:00:00,0.003,2022-05-12 00:00:00,fbsXxBaKCm,metagretanft,https://metagretanft.io/
80,Roving Dogs NFT,7777.0,ETH,True,0.055,,0.055,,HPRy95aJ2r,RovingDogsNFT,https://rovingdogs.com
81,Simp Killer Waifu NFTs,6969.0,ETH,True,,2022-05-12 00:00:00,,2022-05-12 00:00:00,ywW8xDHMvU,killerwaifunfts,https://Simpkillerwaifu.com
82,Wasted Whales: Hangover,6900.0,ETH,False,,,,,wastedwhales,WastedWhales,https://wastedwhales.org/
83,Girls in Pink,10000.0,ETH,False,,,,,girlsinpink,girlsinpinknft,https://girlsinpink.art/
84,Anonymous Crypto Dealer,4488.0,SOL,False,,,,,ACDealerNFT,ACDealerNFT,https://anonymouscryptodealer.io/
85,Sea Turtle Social Club,8999.0,ETH,False,,,,,MwM8P8MrSR,SeaTurtleSocial,https://www.seaturtlesocialclub.com
