,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Cats and Watches Society,"['https://upcoming.images.rarity.tools/catsandwatchessociety_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catsandwatchessociety_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catsandwatchessociety_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catsandwatchessociety_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catsandwatchessociety_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catsandwatchessociety_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catsandwatchessociety_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/catsandwatchessociety_4?width=150&optimizer=image']",10000,ETH,False,,,,,dypcaws,dypfinance,https://dyp.finance/caws/?source=raritytools
1,PIXIGANS,"['https://upcoming.images.rarity.tools/pixigans_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pixigans_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pixigans_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pixigans_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pixigans_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pixigans_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pixigans_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/pixigans_4?width=150&optimizer=image']",5555,ETH,False,,,,,xRjME9E3gs,pixigans,https://pixigans.io/
2,Mini-Mich Ape NFT,"['https://upcoming.images.rarity.tools/minimichape_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/minimichape_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/minimichape_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/minimichape_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/minimichape_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/minimichape_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/minimichape_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/minimichape_4?width=150&optimizer=image']",999,ETH,False,,,,,mini-mich-studio,minimichnft,https://mini-mich.io/
3,Unapologetic Apes,"['https://upcoming.images.rarity.tools/unapologeticapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/unapologeticapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/unapologeticapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/unapologeticapes_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/unapologeticapes_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/unapologeticapes_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/unapologeticapes_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/unapologeticapes_4?width=150&optimizer=image']",5000,ETH,False,,,,,XWvmp4NpnN,U_APES,https://unapologeticapes.com
4,Mutant Bio-Morphans,"['https://upcoming.images.rarity.tools/mutantbiomorphans_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mutantbiomorphans_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mutantbiomorphans_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mutantbiomorphans_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mutantbiomorphans_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mutantbiomorphans_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mutantbiomorphans_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/mutantbiomorphans_4?width=150&optimizer=image']",1200,ETH,False,,,,,LastKnown,lastknownmarket,https://lastknown.com/artist/loulou&tummie/drops/mutant-bio-morphans
5,Gritty Cats,"['https://upcoming.images.rarity.tools/grittycats_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grittycats_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grittycats_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grittycats_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grittycats_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grittycats_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grittycats_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/grittycats_4?width=150&optimizer=image']",3333,ETH,False,,,,,,,
6,Kujira No Konton,"['https://upcoming.images.rarity.tools/kujiranokonton_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kujiranokonton_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kujiranokonton_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kujiranokonton_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kujiranokonton_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kujiranokonton_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kujiranokonton_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/kujiranokonton_4?width=150&optimizer=image']",7777,ETH,False,,,,,4dJfvrend5,KujiraNoKonton,https://kujiranokonton.com/
7,BAZ TOUR,"['https://upcoming.images.rarity.tools/baztour_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/baztour_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/baztour_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/baztour_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/baztour_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/baztour_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/baztour_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/baztour_4?width=150&optimizer=image']",7200,ETH,False,,,,,Jz2g63Ek3H,bazgolfnft,https://www.baz.golf
8,Electric Eagles,"['https://upcoming.images.rarity.tools/electriceagles_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/electriceagles_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/electriceagles_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/electriceagles_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/electriceagles_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/electriceagles_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/electriceagles_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/electriceagles_4?width=150&optimizer=image']",13000,ETH,False,,,,,DnexH5j7qt,electriceaglesT,https://electric-eagles.com/
9,Sqwizz by Neon Wild,"['https://upcoming.images.rarity.tools/sqwizz_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/sqwizz_1?width=150&optimizer=image']",500,ETH,True,,2022-04-13 00:00:00,,2022-04-13 00:00:00,sqwizz,SqwizzNFT,https://sqwizz.neonwild.com/
10,Tales of Elatora,"['https://upcoming.images.rarity.tools/talesofelatora_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/talesofelatora_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/talesofelatora_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/talesofelatora_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/talesofelatora_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/talesofelatora_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/talesofelatora_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/talesofelatora_4?width=150&optimizer=image']",4200,ETH,False,,,,,XG6fuRzpFw,talesofelatora,https://www.talesofelatora.com
11,Dragons Of Midgard,"['https://upcoming.images.rarity.tools/dragonsofmidgardnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dragonsofmidgardnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dragonsofmidgardnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dragonsofmidgardnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dragonsofmidgardnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dragonsofmidgardnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dragonsofmidgardnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/dragonsofmidgardnft_4?width=150&optimizer=image']",5555,ETH,True,0.07,,0.07,,naLB8OJPdu,DragonsMidgard,https://www.dragonsofmidgard.com
