,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Jester Krewe,10000.0,ETH,False,,,,,vkF8jycxxw,jesterkrewe,https://jesterkrewe.com
1,MUTANT HAPE PRIME,8888.0,ETH,True,0.15,,0.15,,mutanthapeprime,mutanthapeprime,https://mutanthapeprime.io
2,Urban Boyz,5555.0,SOL,False,,,,,CDWQVEPSCF,urban_boyz1,https://urbanboyz.xyz/
3,Barts Farm Frens,8888.0,ETH,True,,2022-05-03 10:00:00,,2022-05-03 10:00:00,aXh8aawt2r,BartsFarmFrens,https://bartsfarmfrens.com
4,SOLREALTY AGENTS,6000.0,SOL,False,,,,,solrealty,SolRealtyNFT,https://solrealty.io/
5,PinkyFriendz,8888.0,ETH,False,,,,,pinky-friendz,Pinky_Friendz,https://www.pinkyfriendz.com
6,Music Machines,8080.0,ETH,False,,,,,kqHRqQwuyp,MusicMachineNFT,https://musicmachinesnft.com/
7,Karma Cats,5555.0,ETH,True,0.02,2022-05-04 12:21:00,0.02,2022-05-04 12:21:00,karmacats,TheKarmaCats,https://www.karmacats.io
8,Fan Pass - Son Heung-Min,10800.0,ETH,True,0.07,2022-05-04 05:00:00,0.07,2022-05-04 05:00:00,nftstar,THENFTSTAR,https://www.nftstar.com/hm-son
9,YOOMOOTA,7777.0,ETH,True,0.05,2022-05-04 07:00:00,0.05,2022-05-04 07:00:00,yoomoota,yoomoota,https://yoomoota.io/
10,Rooster 2000,10000.0,ETH,True,0.05,,0.05,,WWPgcmqb9x,The_Rooster2K,https://www.rooster2000.com
11,DEDFAM,10000.0,ETH,True,,2022-05-04 10:00:00,,2022-05-04 10:00:00,KaK7HwcM,dedfamworld,https://dedfam.world
12,FUTURE KICKS,555.0,ETH,True,0.135,,0.135,,4vzQFhya,future_kicks_io,https://Www.futurekicks.io
13,MetaPlayers,2222.0,SOL,True,0.7,,0.7,,kxW4XCb4YD,MetaPlayersNFTS,https://metaplayersnft.com/
14,Awkward Dragons,4888.0,SOL,False,,,,,kM7FhFdVyy,awkwarddragons,https://www.awkwarddragons.com
15,Bored Vitalik Moon Club (BVMC),3333.0,ETH,False,,,,,aTzMGs3GxZ,weirdvitalik,https://weirdvitalik.com
16,Proud Lions Club,7777.0,ETH,False,,,,,8aVXmMeep9,proudlionsclub,https://www.proudlionsclub.com
17,Sushi Pals,8888.0,ETH,False,,,,,RZCTpe54t3,SushiPalsNFT,https://sushipalsnft.com/
18,The Humanians,10000.0,ETH,False,,,,,thehumanians,TheHumanians,https://thehumanians.com/
