,name,image_urls,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,CryptoBear Watch Club,"['https://upcoming.images.rarity.tools/cryptobearwatchclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobearwatchclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobearwatchclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobearwatchclub_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobearwatchclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobearwatchclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobearwatchclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/cryptobearwatchclub_4?width=150&optimizer=image']",10000,ETH,False,,,,,cryptobearwatchclub,CryptoBearWC,https://cryptobearwatchclub.io/
1,Spacecows,"['https://upcoming.images.rarity.tools/Spacecows_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Spacecows_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Spacecows_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Spacecows_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Spacecows_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Spacecows_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Spacecows_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/Spacecows_4?width=150&optimizer=image']",10069,ETH,False,,,,,mBMvApETaM,SpaceCowsIO,https://spacecows.io/
2,BASΞD VITALIK,"['https://upcoming.images.rarity.tools/basedvitalik_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/basedvitalik_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/basedvitalik_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/basedvitalik_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/basedvitalik_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/basedvitalik_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/basedvitalik_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/basedvitalik_4?width=150&optimizer=image']",4962,ETH,False,,,,,3XyQTcnByg,Art101NFT,https://basedvitalik.io/
3,Bored Doge Club,"['https://upcoming.images.rarity.tools/boreddogeclubnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boreddogeclubnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boreddogeclubnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boreddogeclubnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boreddogeclubnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boreddogeclubnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boreddogeclubnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/boreddogeclubnft_4?width=150&optimizer=image']",10000,ETH,False,,,,,boreddogeclub,boredogeclub,https://www.boreddogeclub.io/
4,Strange Turtles in District 99,"['https://upcoming.images.rarity.tools/STID_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/STID_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/STID_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/STID_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/STID_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/STID_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/STID_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/STID_4?width=150&optimizer=image']",10000,ETH,False,,,,,9tTpyBXFex,TurtlesDistrict,https://www.stid99.io/
5,Beellionaire Club,"['https://upcoming.images.rarity.tools/beellionaireclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/beellionaireclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/beellionaireclub_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/beellionaireclub_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/beellionaireclub_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/beellionaireclub_3?width=150&optimizer=image']",7777,ETH,True,,2022-02-23 00:00:00,,2022-02-23 00:00:00,xAZNf6tkzk,BeellionaireNFT,https://www.beellionaire.io/
6,X07 Kiddos,"['https://upcoming.images.rarity.tools/x07kiddos_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/x07kiddos_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/x07kiddos_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/x07kiddos_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/x07kiddos_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/x07kiddos_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/x07kiddos_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/x07kiddos_4?width=150&optimizer=image']",7777,ETH,False,,,,,NKbK6zT4bx,x07kiddos,https://x07kiddos.com
7,Happy Hippos,"['https://upcoming.images.rarity.tools/happyhipposnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/happyhipposnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/happyhipposnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/happyhipposnft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/happyhipposnft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/happyhipposnft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/happyhipposnft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/happyhipposnft_4?width=150&optimizer=image']",8888,SOL,False,,,,,j3zF4gtuEc ,HappySolHippos,https://www.solhappyhippos.com/
8,Remember Metaverse: Memorial Stone,"['https://upcoming.images.rarity.tools/remembermetaversememorialstone_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/remembermetaversememorialstone_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/remembermetaversememorialstone_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/remembermetaversememorialstone_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/remembermetaversememorialstone_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/remembermetaversememorialstone_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/remembermetaversememorialstone_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/remembermetaversememorialstone_4?width=150&optimizer=image']",5000,ETH,False,,,,,remembernft,RememberNFT,https://www.remember.place/
9,ANONmode NFT,"['https://upcoming.images.rarity.tools/anonmodenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/anonmodenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/anonmodenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/anonmodenft_4?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/anonmodenft_1?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/anonmodenft_2?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/anonmodenft_3?width=150&optimizer=image', 'https://upcoming.images.rarity.tools/anonmodenft_4?width=150&optimizer=image']",8888,ETH,False,,,,,anonmode,anonmodenft,https://anonmode.com/
