,name,quantity,currency,has_presale,presale_price,presale_date,starting_price,release_date,discord,twitter,website
0,Bet Placer's Club,10000.0,ETH,False,,,,,betplacersclub,betplacersclub,https://betplacersclub.com/
1,Lost Dino Ark,3000.0,SOL,True,1.0,,1.0,,akuevQHj4x,LostDinoArk,https://lostdinoark.xyz
2,Mutant Hamsters,3333.0,ETH,False,,,,,mutanthamsters,MutantHamsters,https://mutanthamsters.io
3,The Uncanny Country Club,5000.0,ETH,False,,,,,hw74eVH7da,TheUncannyClub,https://theuncanny.io
4,No Hesi Car Club,1111.0,ETH,True,0.1,,0.1,,nohesi,nohesicarclub,https://nohesicarclub.com/
5,Toucans Club,3000.0,ETH,True,0.025,2022-05-14 02:00:00,0.025,2022-05-14 02:00:00,WZWbbt5vax,toucans_club,https://toucansclub.com/
6,Clone Apes,8888.0,ETH,True,0.13,2022-05-14 05:00:00,0.13,2022-05-14 05:00:00,cloneapes,cloneapesnft,https://www.cloneapes.co
7,Droppies,3333.0,ETH,False,,,,,N3gPPZgshw,DroppiesWorld,https://droppies.io/
8,Medicated Mice - Baby Mice,1420.0,ETH,False,,,,,medicatedmice,MedicatedMice,https://www.medicatedmice.co/
9,The Scoobs,5000.0,ETH,True,,2022-05-14 08:00:00,,2022-05-14 08:00:00,uzJDcMTRDk,TheScoobsNFT,https://thescoobs.io
10,Adanauts,7777.0,,True,,,,,7HRyXby2XA,ada_nauts,https://www.adanauts.space/
11,BadBoars,10000.0,ETH,False,,,,,hJdaWqgUX8,bbboars,https://bad-boars.com/
12,INNERME'S,10000.0,,False,,,,,A,innermesNFT,https://innermes.com
13,Blitzed Bucks Hunting Club,8500.0,ETH,False,,,,,3A7dj5wtDq,BlitzedBucksNFT,https://www.blitzedbuckshuntingclub.com/
14,Mad Veggies,1515.0,AVAX,False,,,,,sg8VWbmZaK,MadVeggies,https://www.madveggies.com/
15,Apes Generation-X,8888.0,ETH,False,,,,,KV6qcHmahZ,ApesGenX,https://www.apesgeneration-x.io/
16,Ric Rac Equestrian Club,6969.0,ETH,False,,,,,KbSfMYuMZ2,ricracclub,https://www.ricracclub.com
17,The Satoshi Girls,5000.0,ETH,True,0.04,,0.04,,95rV9UEtX2,SatoshisGirls,https://www.thesatoshigirls.com/
18,Sklle Remix Club,3333.0,MATIC,True,60.0,,60.0,,jDAqpjxs79,cryptosklletons,https://sklleremixclub.io/
19,Creative Friendz,8888.0,ETH,True,,2022-05-14 00:00:00,,2022-05-14 00:00:00,creativefriendz,CreativeFriendz,https://www.creativefriendz.com/
20,Dimenxion,6369.0,SOL,False,,,,,FC5NPYDeZk,Dimenxion_io,https://www.dimenxion.io/
21,Forest Industry,555.0,SOL,False,,,,,ZUCyVxygBc,Darkland_creat,https://darklandcards.netlify.app
22,Furry Friends NFTs,9999.0,ETH,True,0.07,,0.07,,PQ5fdTn7hH,FurryFriends_io,https://furryfriends.io
23,SADBOYSCLUB,9999.0,ETH,True,0.04,,0.04,,sadboysclub,sadboysclubNFT,https://www.sadboysclub.space/
24,Simp Killer Waifu NFTs,6969.0,ETH,False,,,,,ywW8xDHMvU,killerwaifunfts,https://Simpkillerwaifu.com
25,LuckyMeta,40000.0,ETH,False,,,,,UqH7GwwV89,Lucky_Metaverse,https://www.luckymeta.io/
26,The Royal Bears,2525.0,SOL,False,,,,,theroyalbears-yournfthome,TheRoyalBears,https://www.onebearkingdom.com/
27,Mutant Goblin,3000.0,ETH,True,0.03,2022-05-15 03:00:00,0.03,2022-05-15 03:00:00,v8TxkDrMKj,MutantGoblin_,https://mutantgoblin.com/
28,Cryptai Girls,10000.0,ETH,True,0.05,,0.05,,zgwEF99Xnw,CryptornNFT,https://cryptorn.org/
29,DoomBoo,5555.0,ETH,False,,,,,xdrrbtnBAB,doombooNFT,https://doomboo.io
30,MagicCraft,9999.0,,False,,,,,magiccraftgame,MagicCraftGame,https://magiccraft.io/
31,DAO Avatar Moon Metaverse Collection,5000.0,ETH,True,0.08,2022-05-15 10:00:00,0.08,2022-05-15 10:00:00,bU6wTaAhB8,metaversemoon,https://daomoonopolis.space
32,Fomo Giraffes,300.0,SOL,False,,,,,mrQKqqpkGq,fomo_giraffes,https://fomogiraffes.com/
33,MOONWALKERS,8888.0,,True,,2022-05-15 10:30:00,,2022-05-15 10:30:00,moonwalkers ,moonwalkersoff,https://moonwalkersnfts.com
34,Baby Sharks NFT,10000.0,ETH,False,,,,,h3fzEU5gKn,babysharks_nft,http://baby-sharks.com
35,Chillin Chameleons 3.0,6000.0,ETH,True,0.09,,0.09,,chillinchameleons,chillnchameleon,https://chillinchameleons.com
36,Cheebs,10000.0,ETH,True,,2022-05-15 13:00:00,,2022-05-15 13:00:00,cheebs,cheebsnft,http://www.cheebsnft.com/
37,Flower Lolita,6666.0,ETH,False,,,,,RMhMSUkEKs,flowerlolitanft,https://www.flowerlolita.io/
38,Secret Council of Alien Rulers,1000.0,ETH,False,,,,,p3j8wThf6b,SCAlienRulers,https://alienrulers.com/
39,9Tales,4444.0,ETH,True,0.089,,0.089,,9talesNFT,9tales_NFT,https://9tales.io/
40,Doodle Slayer,5000.0,ETH,True,0.015,,0.015,,PR7r8WEd5K,doodleslayernft,https://www.doodleslayernft.com/
41,Streetlab.io,8888.0,,False,,,,,phATapAshn,Streetlab_io,https://streetlab.io/
42,Rogue Dice Club,6000.0,ETH,False,,,,,AVXkRckW9g,RogueDiceClub,https://Roguediceclub.com
43,Monster Molecules Research Lab,5555.0,ETH,False,,,,,monstermolecules,MonsterMolecule,http://monstermolecules.io/
44,Dope Skeleton,3000.0,ETH,True,0.03,2022-05-16 05:00:00,0.03,2022-05-16 05:00:00,dRbdWvTYYh,DopeskeletonNFT,https://dopeskeleton.com/
45,TradeBots,6800.0,SOL,False,,,,,Z6f8ZkKy83,tradebots_sol,https://www.tradebotsnft.io/
46,Demions,666.0,ETH,True,,2022-05-16 07:00:00,,2022-05-16 07:00:00,demions,DemionsNFT,https://www.demions.com/
47,FoxNationDAO,10000.0,ETH,False,,,,,foxnationdao,FoxNationDAO,https://foxnationdao.com/
48,Mad Giraffe Gang,5000.0,ETH,False,,,,,madgiraffegang,madgiraffegang,https://madgiraffegang.com/
49,Cthulhu Armageddon 2022,8000.0,ETH,False,,,,,cthulhuarmageddon2022,CthulhuCA22,https://ca22.xyz/
50,CyberPunk COMIC,4000.0,ETH,True,,2022-05-16 00:00:00,,2022-05-16 00:00:00,cbgPRy2gWZ,NftZoko,https://comic.cyberpunkfighters.com/
51,Lost Islands,5778.0,,False,,,,,3GDer75Rxq,LostIslandsNFT,https://lostislands.io/
52,Keys & Treasure Chests,9999.0,ETH,False,,,,,Not now,CompanyProfit,https://profitconft.io
53,Baby Mini Monkeys,2500.0,,True,,,,,p8t7bgKzsy,minimonkeymafia,https://www.MiniMonkeyMafia.com
54,Storyworlds,9889.0,ETH,True,,2022-05-17 00:00:00,,2022-05-17 00:00:00,s6Ukq6eU4C ,Storyworlds_xyz,http://storyworldscomic.xyz
55,Squid Academy,10456.0,SOL,False,,,,,squidacademy,Squid_Academy,https://www.squidacademy.net/
56,KickFlipNFT,4000.0,ETH,False,,,,,kickflipnft,NFTKickFlip,https://kickflipnft.com/
57,Big Brains Club,2000.0,ETH,False,,,,,Uby6HDRRkX,bigbrainsclub,https://www.bigbrainsclub.io/
58,Bored Ape Army Club,6666.0,SOL,False,,,,,boredapearmyclub,BoredApeArmyC,https://www.boredapearmy.com
59,Cryptopunk Bunnies Avatar,4096.0,,False,,,,,fMP3eQXBGa,cpbpixel,https://cryptopunksbunnies.com/
60,Dragon Fam - Web 3 Wizards Collection,1000.0,,True,,2022-05-17 00:00:00,,2022-05-17 00:00:00,4MQqef5mnc,Web3WizardsNFT,https://dragonfamnft.com
61,Dr. Sniffy NFT,10000.0,ETH,True,0.04,2022-05-18 06:00:00,0.04,2022-05-18 06:00:00,drsniffynft,drsniffynft,https://drsniffynft.io
62,Worlds Collective,10000.0,ETH,True,0.05,2022-05-18 07:00:00,0.05,2022-05-18 07:00:00,None,WorldsCollect,https://worldscollective.io/
63,Droopy Apes,4000.0,ETH,True,0.06,2022-05-18 00:00:00,0.06,2022-05-18 00:00:00,yvRjRrvkMB,DroopyApes,http://droopyapes.com/
64,ILYYW x Blankos Collab | Blankos Block Party,1800.0,ETH,False,,,,,playblankos,PlayBlankos,https://news.mythicalgames.com/ilyyw-x-blankos-drops-may-18th
65,Fat Cats,5000.0,ETH,False,,,,,99YpqXsrCv,FatCatsDao,https://www.fatcats.art
66,Influencer of the BB01,10000.0,ETH,True,0.15,2022-05-18 00:00:00,0.15,2022-05-18 00:00:00,planetbb01,BB01NFT,https://bb01-official.com/BB01
67,Mighty Pirates,2888.0,SOL,False,,,,,XunMQBW77z,SolMightyPirate,https://mightypirates.io/
68,SixthRéseau,7777.0,ETH,True,0.16,2022-05-18 00:00:00,0.16,2022-05-18 00:00:00,reseau,sixthreseau,https://www.reseauclo.com/
69,Nordeins,989.0,SOL,True,1.75,2022-05-19 05:00:00,1.75,2022-05-19 05:00:00,nordeins,nordeins,https://www.nordeins.com/
