,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,,2022-04-29 08:52:00,,2022-04-29 08:52:00,978,2252,73,2022-04-19 00:00:00
1,,2022-04-29 08:52:00,,2022-04-29 08:52:00,981,2248,76,2022-04-20 00:00:00
2,,2022-04-29 08:52:00,,2022-04-29 08:52:00,980,2253,73,2022-04-22 00:00:00
3,,2022-04-29 08:52:00,,2022-04-29 08:52:00,989,2284,83,2022-04-25 00:00:00
4,,2022-04-29 08:52:00,,2022-04-29 08:52:00,994,2308,80,2022-04-27 00:00:00
5,,2022-04-29 08:52:00,,2022-04-29 08:52:00,1006,2363,107,2022-04-29 00:00:00
