,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,,2022-04-20 19:00:00,,2022-04-20 19:00:00,26800,40756,2142,2022-04-09 00:00:00
1,,2022-04-20 19:00:00,,2022-04-20 19:00:00,28800,41114,2518,2022-04-13 00:00:00
2,,2022-04-20 19:00:00,,2022-04-20 19:00:00,29500,44703,2190,2022-04-18 00:00:00
3,,2022-04-20 19:00:00,,2022-04-20 19:00:00,30400,45532,2237,2022-04-19 00:00:00
4,,2022-04-20 19:00:00,,2022-04-20 19:00:00,30300,46678,2852,2022-04-20 00:00:00
