,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.06,2022-04-23 07:00:00,0.06,2022-04-23 07:00:00,4951,17258,2614,2022-04-09 00:00:00
1,0.06,2022-04-23 07:00:00,0.06,2022-04-23 07:00:00,5371,17471,2763,2022-04-13 00:00:00
2,0.06,2022-04-23 07:00:00,0.06,2022-04-23 07:00:00,6066,18597,2693,2022-04-18 00:00:00
3,0.06,2022-04-23 07:00:00,0.06,2022-04-23 07:00:00,6180,18648,2744,2022-04-19 00:00:00
4,0.06,2022-04-23 07:00:00,0.06,2022-04-23 07:00:00,6216,18600,2774,2022-04-20 00:00:00
5,0.06,2022-04-23 07:00:00,0.06,2022-04-23 07:00:00,6397,18599,2431,2022-04-22 00:00:00
