,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.0,,0.0,,316,54.0,1.0,2022-04-09 00:00:00
1,0.0,,0.0,,404,,,2022-04-13 00:00:00
