,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.03,2022-04-21 14:00:00,0.03,2022-04-21 14:00:00,13900,13737,1348,2022-04-18 00:00:00
1,0.03,2022-04-21 14:00:00,0.03,2022-04-21 14:00:00,13900,13493,1362,2022-04-19 00:00:00
2,0.03,2022-04-21 14:00:00,0.03,2022-04-21 14:00:00,14300,13998,1471,2022-04-20 00:00:00
3,0.03,2022-04-21 14:00:00,0.03,2022-04-21 14:00:00,15000,17703,1239,2022-04-22 00:00:00
4,0.03,,0.03,,14700,17773,1367,2022-04-25 00:00:00
5,0.03,,0.03,,14600,17717,1454,2022-04-27 00:00:00
