,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.015,,0.015,,2300,1080,88,2022-04-09 00:00:00
1,0.015,,0.015,,2300,1257,93,2022-04-13 00:00:00
