,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.055,,0.055,,877,592,26,2022-04-29 00:00:00
1,0.055,,0.055,,870,564,25,2022-04-30 00:00:00
