,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.04,,0.04,,584,4642,285,2022-04-18 00:00:00
1,0.04,,0.04,,834,5045,377,2022-04-19 00:00:00
2,0.04,,0.04,,877,5301,664,2022-04-20 00:00:00
3,0.04,,0.04,,1191,5338,674,2022-04-22 00:00:00
