,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.022,2022-04-27 13:44:00,0.022,2022-04-27 13:44:00,14500,1619,330,2022-04-25 00:00:00
1,0.022,2022-04-27 13:44:00,0.022,2022-04-27 13:44:00,15900,2089,401,2022-04-27 00:00:00
2,0.022,,0.022,,16700,2366,347,2022-04-29 00:00:00
