,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.07,,0.07,,129.0,313,51,2022-04-13 00:00:00
1,0.07,,0.07,,149.0,359,42,2022-04-18 00:00:00
2,0.07,,0.07,,151.0,390,45,2022-04-19 00:00:00
3,0.07,,0.07,,152.0,440,61,2022-04-20 00:00:00
4,0.07,,0.07,,156.0,464,70,2022-04-22 00:00:00
5,0.07,,0.07,,,527,96,2022-04-25 00:00:00
6,0.07,,0.07,,163.0,581,89,2022-04-27 00:00:00
7,0.07,,0.07,,166.0,624,87,2022-04-29 00:00:00
8,0.07,,0.07,,167.0,673,95,2022-04-30 00:00:00
