,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,3372,8835,358,2022-04-19 00:00:00
1,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,3384,9085,363,2022-04-20 00:00:00
2,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,3456,9330,397,2022-04-22 00:00:00
3,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,3630,9831,618,2022-04-25 00:00:00
4,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,3719,10303,633,2022-04-27 00:00:00
5,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,3727,10658,621,2022-04-29 00:00:00
6,0.15,2022-05-09 00:00:00,0.15,2022-05-09 00:00:00,3725,10838,612,2022-04-30 00:00:00
