,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online,date
0,,2022-05-14 00:00:00,,2022-05-14 00:00:00,3362,2200,616,2022-04-20 00:00:00
1,,2022-05-14 00:00:00,,2022-05-14 00:00:00,3375,2200,597,2022-04-22 00:00:00
2,,2022-05-14 00:00:00,,2022-05-14 00:00:00,3434,2256,713,2022-04-25 00:00:00
3,,2022-05-14 00:00:00,,2022-05-14 00:00:00,3458,2259,781,2022-04-27 00:00:00
4,,2022-05-14 00:00:00,,2022-05-14 00:00:00,3535,2352,724,2022-04-29 00:00:00
5,,2022-05-14 00:00:00,,2022-05-14 00:00:00,3590,2381,669,2022-04-30 00:00:00
