,date,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online
0,2022-02-05 00:00:00,60.0,2022-02-10 00:00:00,60.0,2022-02-10 00:00:00,,,
1,2022-02-06 00:00:00,60.0,2022-02-10 00:00:00,60.0,2022-02-10 00:00:00,,,
