,date,presale_price,presale_date,starting_price,release_date,twitter_total,discord_total,discord_online
0,2022-02-03 00:00:00,,2022-02-24 00:00:00,,2022-02-24 00:00:00,,,
1,2022-02-04 00:00:00,,2022-02-24 00:00:00,,2022-02-24 00:00:00,,,
2,2022-02-05 00:00:00,,2022-02-24 00:00:00,,2022-02-24 00:00:00,,,
3,2022-02-06 00:00:00,,2022-02-24 00:00:00,,2022-02-24 00:00:00,,,
4,2022-02-13 00:00:00,,2022-02-24 00:00:00,,2022-02-24 00:00:00,,,
5,2022-02-19 00:00:00,,2022-02-24 00:00:00,,2022-02-24 00:00:00,,,
6,2022-02-23 00:00:00,,2022-02-24 00:00:00,,2022-02-24 00:00:00,,,
7,2022-02-25 00:00:00,,,,,,,
