,discord,online_members,total_members
0,kqHRqQwuyp,138,1033
1,karmacats,5343,37855
2,nftstar,2709,67968
3,yoomoota,8339,41983
4,WWPgcmqb9x,208,397
5,aXh8aawt2r,301,1082
6,kM7FhFdVyy,645,6362
7,aTzMGs3GxZ,178,5162
8,8aVXmMeep9,943,10434
9,RZCTpe54t3,72,862
10,thehumanians,11932,65525
11,Kj9GuuqFEq,5,104
12,fastfoodpunks,366,4566
13,KTKWFtkq7m,2910,5077
14,retrorollers,6123,22190
15,7enfpkVPBf,1310,7044
16,alphaaliens,179,6058
17,SHIBAYC,614,12325
18,Qe4hX2bS3A,17,176
19,sHqaUNpvR6,12,106
20,curiousbunniesnft,1219,12490
21,Q9UxeGTJyP,12,129
22,XFUaypfJ8n,55,332
23,nftcombinator,23,134
24,,853,5285
25,JynUTRszHF,22,232
26,jjMuncsZgX,283,2537
27,BSKebxFkYm,34,755
28,pixa,233,1214
29,sne8ty7Abs,1026,26744
30,Pve3rmKpxN,72,550
31,wTZc9yCYRA,152,6086
32,fp7YcceDsV,656,17347
33,,853,5285
34,thecryptomasks,155,2772
35,pqkGKNfKtK,14,221
36,animapes,8365,39639
37,vrVMqD6WyJ,19,663
38,qYQ9R48Srh,35,590
39,Bcgy7XHUf4,253,6847
40,EJy9NKh3gH,647,4442
41,sadboysclub,150,2480
42,YPa7KDTKRU,667,5663
43,CvzeC9fZDS,192,835
44,meta-xstudios,151,684
45,n9mqgse4VZ,12706,139920
46,7JzgwYDJht,445,4412
47,yellowfames,448,11507
48,2z5PpXsS2K,72,15988
49,shukunanft,835,4631
50,McphYRHMTA,1247,7300
51,m9tDVzAXDS,2466,9151
52,,853,5285
53,7X9D4STbVe,67,612
54,Cj42Smu9Q5,13,274
55,6nkDMCEWWV,1154,6692
56,qzZ3SpDVUU,202,1101
57,82TKe2swvZ,102,3261
58,4fvpfeqah4 ,253,1157
59,chihuahuarevenge,406,2734
60,adeEYRAbmy,1044,3569
61,95rV9UEtX2,331,3188
62,jDAqpjxs79,423,6314
63,fbsXxBaKCm,16,105
64,HPRy95aJ2r,876,10348
65,ywW8xDHMvU,86,823
66,wastedwhales,2442,17741
67,ACDealerNFT,3020,10605
68,MwM8P8MrSR,9,62
69,7HRyXby2XA,521,2075
70,mutanthamsters,1078,3783
71,nohesi,551,4013
72,hJdaWqgUX8,8,26
73,3A7dj5wtDq,48,1107
74,sg8VWbmZaK,585,2140
75,KV6qcHmahZ,1360,16036
76,KbSfMYuMZ2,621,3944
77,creativefriendz,680,2520
78,ZUCyVxygBc,95,1115
79,PQ5fdTn7hH,87,844
80,bU6wTaAhB8,266,25562
81,cheebs,426,4877
82,RMhMSUkEKs,1053,5864
83,p3j8wThf6b,68,5905
84,9talesNFT,4809,19060
85,PR7r8WEd5K,80,498
86,pzmedwhaE7,47,1349
87,phATapAshn,580,3367
88,AVXkRckW9g,2011,9143
89,demions,504,1607
90,foxnationdao,36,492
91,cthulhuarmageddon2022,1649,12585
92,p8t7bgKzsy,349,5421
93,4MQqef5mnc,1019,3076
94,yvRjRrvkMB,112,1164
95,MetaVolution,2393,7393
96,planetbb01,168,4135
97,labyrinthine,145,1496
98,282sbZnFkQ,23,522
99,MdjqPSHj6X,48,865
100,Zt4wqQPqfR,6,30
101,KjGwHf4pZr,92,6751
102,qA3d5a5BWQ,83,828
103,r6QeuHPdG8,130,536
104,FWVhP6vKy6,336,1511
105,KW6BMJm2B9,23,260
106,KW6BMJm2B9,23,260
107,65wSm9GaWb,9,114
108,CR3E3YEvUF,113,2953
109,monkchains,2596,19719
110,5F9FAuR5GC,141,1648
111,MPbB7EjBEW,16,574
112,DUcbbFgMBW,478,1294
113,bPyEMSG84A,70,1090
114,qpNedkn4D5,51,1156
115,5QGBX95Evh,56,889
116,tJBKzVfvBK,93,596
117,denizen,601,1621
118,mXkAttjYey,43,1173
119,glodyknights,244,2262
120,cyberzillaz,641,2906
121,dFRKMM6P3Q,116,2261
122,mkVcDGn2e9,135,1886
123,CGmAuACtRh,328,1155
124,z7HFNAJkeY,12,96
125,PkardUkwKZ,222,2292
126,bjwbkEGham,37,1510
127,FUbrVEFxds,1426,40975
128,zelenskiynft,112,3433
129,caverncores,15,65
130,T6ZeUpxjTU,436,7131
131,55EgnjPCgH,38,126
132,DmZSshnct4,4,97
133,npp3PZKyp5,403,7136
134,FAA65MbNpg,17,1658
135,4bfvEMKSDE,214,821
136,GAJPfv5Vpu,7,77
137,nUWhtExCkw,36,1593
138,976DrsZtk7,33,1955
139,eAgqaA9Rrn,203,8451
140,dribblie,318,18300
141,P4DscBhgZp,42,2031
142,wEznPag4eD,12,23
143,poc-nft,1579,16744
144,rjsz6sKz63,16,112
145,7PaBK6BbAj,30,474
146,VpTqJ9a9h7,132,893
147,CeYnqPgjnq,13,4592
148,nftsumantria,5084,29734
149,HrAeKG2YXM,88,1096
150,hbkRgEczBw,19,151
151,VXdgAJkHDE,57,1061
152,JtwEZyAwcW,26,486
153,UKrhGketaN,44,192
154,vK9eJsVTE8,9,119
155,dWtHVszbMe,59,873
156,bRXKgVdBHU,27,95
157,bjMj23bFZQ,199,653
158,VDdk4YdRgH,89,4593
159,z3PN8wznNr,154,3448
160,reseau,7456,57367
161,adeEYRAbmy,1042,3569
162,jbas,1444,13106
163,ptU4uStCC2,22,361
