,discord,online_members,total_members
0,GyNfcuzSar,268,3076
1,cryptofighters,3695,15886
2,2CYRCUNQns,38,304
3,mT5gqwQHjf,886,6601
4,haddiesbayclub,57,621
5,gjjcBfbdjD,62,598
6,xDhUt8B2uq,538,1322
7,tWpgZPTF54,1454,17717
8,44UqzAUnnQ,628,5622
9,TMkrNSrV29,260,2243
10,v8fyBScyeT,652,10960
11,silks,3100,26767
12,8aVXmMeep9,1041,10662
13,nftelements,3470,26464
14,lnr,6696,42048
15,CyxygNw65x,81,455
16,syVHUpspKg,274,1586
17,h9yVwvNNZn,4,42
18,P6NAmMRx92,189,869
19,NZuNTcguW6,654,14255
20,picklefrens,401,2089
21,theinfernoverse,6272,28808
22,successmetacity,515,6210
23,adfbFZCHmM,16,982
24,bapeznft,1276,5408
25,feggz,1883,23499
26,ZYrfVgzkmh,115,1600
27,EtherBunny,407,6728
28,u4m9ma56GN,203,757
29,g3b2KNzpUd,1456,3601
30,ccdc,1167,2616
31,WKwHnByWUQ,663,4164
32,wrappedhotels,5170,53648
33,ny7YvyMkYk,4494,30375
34,MovieClubNFT,1660,10411
35,NZRKJ9fh6u,36,356
36,qG6xDQKyGN,2326,18120
37,cyberzillaz,784,2582
38,9jyKkvFNgD,12913,140990
39,mamunft,528,3303
40,KS2jGN6drD,116,4591
41,thehumanians,13011,48810
42,KDxfnxMRt5,66,640
43,TY2cqrXAjc,171,619
44,FJ8WVWF6ae,69,1079
45,HQ7VP8Tk9B,80,2308
46,XFUaypfJ8n,60,167
47,VCMCXMj3dZ,165,753
48,wizardland,310,3537
49,F2QygWVu87,7239,9459
50,qRcQ9sX2HF,225,1453
51,dJbcmeaHbT,383,3889
52,ZucMYrEQhR,627,3310
53,nftsumantria,5462,25728
54,originbeast,119,1546
55,An5ANqqe9p,7239,9459
56,EZHkGScKkC,510,555
57,hfh,517,4172
58,WWPgcmqb9x,201,256
59,jAqbvKjXK5,539,7352
60,rc3nwqgqzt,2235,9674
61,4hDDF8rQsA,27,386
62,spacecadetsnft,348,4075
63,dopeapes,1719,13452
64,QefaFSNgKr,770,8103
65,gpv4TZ2dJt,2124,20250
66,uhr2uU6GVf,26,320
67,kvU3ZtNxMP,607,2565
68,,591,5285
69,xxX7MUTfhp,46,748
70,s2mKrtGeQx,3,7
71,cinemaapes,44,131
72,SSRxgvJNRM,84,2690
73,E2e8smHGek,2032,11998
74,metasyndicate,1449,16189
75,RHINOSAVANNANFT,2082,8915
76,5gEYH8KyFz,206,933
77,metasurvivors,2252,27453
78,EuYRUf5H7v,451,2030
79,chicmami,331,4484
80,SncCt9xwJQ,16,87
81,yEWGTaXw6z,883,17414
82,BSKebxFkYm,46,562
83,G2mC65DPRJ,93,2074
84,DsSynP6DFu,321,1168
85,wr4gVc5h2u,2642,15295
86,oneandzero,192,775
87,Sg7Y6xu5bA,396,4065
88,FBc7dXhz9b,349,2347
89,dreamerz,465,2047
90,VYcfGq4nBn,9,30
91,lootbox,261,3102
92,kxW4XCb4YD,325,1474
93,BPnJmZaGBS,43,205
94,ntXfbjUvgh,5,25
95,tunies,195,1743
96,BqQeCqM9BW,27,305
97,PuEBAzB3h9,988,11623
