,discord,online_members,total_members
0,goodmonkeyz,766,11819
1,saMaKYedTt,828,2278
2,jWNmMH7Z9U,758,1371
3,AaZQk4RXSD,138,2507
4,funkybunnies,2849,23863
5,tWpgZPTF54,1239,17703
6,Sayre,189,892
7,yaDcK9J5ze,366,16271
8,e27AAT7CXB,2748,48983
9,bearcartel,4709,41020
10,cunnqtDUkv,2579,9214
11,mobioz,597,2649
12,supgators,674,5338
13,neonplexus,2331,10332
14,,262,5261
15,J5YMEqtNyK,6,41
16,mPNgBmApBC,42,261
17,tufdEhnsec,12,51
18,ethxai,5370,24724
19,D2tkkJCj2A,97,1431
20,CT9kMzYUKD,32,1443
21,babydogecoin,3729,71993
22,HjnVyxydv9,631,6123
23,asianidentity,1307,7056
24,DtcgkNMC9H,3021,12617
25,Xq6KWHERs5,172,570
26,metaboards,198,817
27,5kKm35uWHr,674,5338
28,Valorien,254,2432
29,mt8yzgVxrS,55,460
30,ntc,11144,70291
31,SYgdh52e7u,2431,18599
32,6jYDTNMejU,574,5494
33,lootbox,152,2664
34,solanasuccubus,301,8161
35,b4QU2YZy2X,137,1199
36,solmon,1541,9091
37,gadonft,1255,20926
38,UPmbY42Uwd,132,6534
39,MSG2bSjMff,979,9555
40,uglypeople,1694,15319
41,kNxMXhZvyU,37,621
42,Uk2uAfZ9GZ,55,1006
43,misfitsapesociety,298,9301
44,kVWAtzvFBp,17,266
45,83QxAxbKsF,1194,9700
46,yY2QvxjvWc,155,1743
47,PTUerRrMDh,119,1006
48,xTqXCDsywz,2,12
49,6xjXz85zjC,4,109
50,nftatts,1874,12245
51,dragonfuturist,472,1606
52,sXYKqwq3P5,39,188
53,xDhUt8B2uq,487,1114
54,GyNfcuzSar,155,2497
55,TSeJ9G2p8B,3746,38990
56,TMkrNSrV29,225,2108
57,QPHRcpgstk,15,64
58,7G4Uk8gVDw,9862,22112
59,birdezgang,1693,17159
60,kvU3ZtNxMP,437,2416
61,2CYRCUNQns,12,211
62,haddiesbayclub,29,457
63,gjjcBfbdjD,43,549
64,44UqzAUnnQ,566,5346
65,v8fyBScyeT,537,10732
66,silks,1743,21204
67,8aVXmMeep9,927,9391
68,lnr,5460,34483
69,CyxygNw65x,48,321
70,syVHUpspKg,117,1295
71,NZuNTcguW6,658,14036
72,successmetacity,422,5058
73,adfbFZCHmM,4,26
74,eQMACVpU8s,118,11344
75,feggz,1304,20747
76,wrappedhotels,2868,37701
77,ny7YvyMkYk,3352,13336
78,MovieClubNFT,1109,10392
79,NZRKJ9fh6u,17,302
80,qG6xDQKyGN,1563,16669
81,cyberzillaz,651,2633
82,mamunft,574,2613
83,KS2jGN6drD,103,4540
84,thehumanians,9820,44051
85,KDxfnxMRt5,27,551
86,TY2cqrXAjc,91,545
87,HQ7VP8Tk9B,73,2253
88,wizardland,197,2747
89,F2QygWVu87,6637,8360
90,qRcQ9sX2HF,138,1173
91,dJbcmeaHbT,81,4215
92,nftsumantria,5140,22045
93,originbeast,56,1499
94,An5ANqqe9p,6637,8360
95,hfh,362,4093
96,V2XpPQEkFQ,627,7625
97,jAqbvKjXK5,519,8371
98,rc3nwqgqzt,1328,6446
99,4hDDF8rQsA,32,360
100,spacecadetsnft,218,3347
101,xxX7MUTfhp,36,731
102,4GE9rYnv34,1242,5676
103,cinemaapes,29,114
104,SSRxgvJNRM,63,2894
105,E2e8smHGek,1686,11676
106,metasyndicate,835,11896
107,RHINOSAVANNANFT,1470,8599
108,5gEYH8KyFz,270,912
109,metasurvivors,2208,25709
110,JynUTRszHF,21,125
111,yEWGTaXw6z,394,16354
112,BSKebxFkYm,25,442
113,G2mC65DPRJ,39,403
114,eWKxGHAQd5,236,944
115,wr4gVc5h2u,1381,14166
116,oneandzero,147,767
117,Sg7Y6xu5bA,294,3706
118,FBc7dXhz9b,380,2277
119,dreamerz,462,1971
120,VYcfGq4nBn,8,22
121,kxW4XCb4YD,217,1252
122,ntXfbjUvgh,1,15
123,BqQeCqM9BW,19,310
124,PuEBAzB3h9,958,10506
125,ejaVjSw9aD,484,4975
126,96QBSE4j59,77,846
127,SHIBAYC,147,968
128,sHqaUNpvR6,16,58
129,bRXKgVdBHU,19,45
130,KbSfMYuMZ2,531,3321
131,pixa,196,1094
132,Pve3rmKpxN,45,205
133,reseau,8265,45391
134,dinokids,241,4274
135,EJy9NKh3gH,316,3641
136,sadboysclub,125,2447
137,7JzgwYDJht,329,3836
138,yellowfames,397,9330
139,2z5PpXsS2K,83,15956
140,Cj42Smu9Q5,17,150
141,6nkDMCEWWV,939,4758
142,ywW8xDHMvU,93,910
143,3A7dj5wtDq,50,797
144,KV6qcHmahZ,1361,15451
145,creativefriendz,597,2200
146,PQ5fdTn7hH,70,464
147,cheebs,461,4545
148,poc-nft,2516,10439
149,RMhMSUkEKs,544,2443
150,PR7r8WEd5K,99,444
151,phATapAshn,472,2577
152,AVXkRckW9g,1352,5009
153,p8t7bgKzsy,321,5082
154,MdjqPSHj6X,74,855
155,ptU4uStCC2,32,282
156,KW6BMJm2B9,15,163
157,65wSm9GaWb,12,70
158,CR3E3YEvUF,63,1594
159,g9wNFPvB,3,12
160,5QGBX95Evh,30,753
161,denizen,99,1330
162,glodyknights,240,1360
163,dFRKMM6P3Q,149,2422
164,CGmAuACtRh,361,1165
165,z7HFNAJkeY,8,51
166,caverncores,11,38
167,FAA65MbNpg,13,46
168,GAJPfv5Vpu,7,17
169,nUWhtExCkw,15,475
170,976DrsZtk7,29,2008
171,eAgqaA9Rrn,219,7563
172,7PaBK6BbAj,47,326
173,VpTqJ9a9h7,165,862
174,HrAeKG2YXM,69,836
175,hbkRgEczBw,21,68
176,VXdgAJkHDE,65,898
177,JtwEZyAwcW,16,52
178,UKrhGketaN,36,133
179,VDdk4YdRgH,219,5339
180,u4m9ma56GN,139,613
181,ccdc,1120,2296
182,dopeapes,777,11540
183,QefaFSNgKr,385,6575
184,gpv4TZ2dJt,1438,16594
185,uhr2uU6GVf,19,279
186,tunies,174,1682
187,wjutTte6sW,160,736
