,discord,online_members,total_members
0,dypcaws,506,6311
1,xRjME9E3gs,30,261
2,mini-mich-studio,589,8138
3,XWvmp4NpnN,355,4809
4,LastKnown,355,5470
5,,292,5259
6,4dJfvrend5,709,7352
7,Jz2g63Ek3H,183,833
8,DnexH5j7qt,13,157
9,sqwizz,1055,5215
10,XG6fuRzpFw,101,806
11,ninjabears,4500,12705
12,yjtfwUFFC6,65,778
13,x8j32mZmDv,45,3178
14,46DqE5hrQq,712,4052
15,EnbXcjanWT,694,3517
16,arcadenfts,2435,9309
17,dpdDMepYMJ,2141,23681
18,toxic-skulls-club,3409,98844
19,sjp6XCMcxb,156,2150
20,royalcrows,1041,14462
21,WQM2MF385Q,311,2361
22,casc,338,2567
23,4eb9aVTYjc,299,8599
24,HUAprVRQD2,48,431
25,cEPxp64nVK,13,101
26,QMUXBdHCc4,31,267
27,FQgWK3xvAb,93,1257
28,Zj62CSEXdU,13,41
29,sr2VTYBNfg,68,635
30,tBEPHqusvr,181,3140
31,ZYKWPhjvEZ,188,6790
32,QYxwK8Te8P,1248,6389
33,,292,5259
34,KCEdyYWM4M,140,1138
35,2dtHzU3gXv,455,8052
36,b5b6DKKuaq,41,343
37,KeGHXbKW4r,100,1523
38,ubwqS64v73,12,201
39,7xP6Bd9ydN ,89,1151
40,,292,5259
41,GfAdjgFD74,10,83
42,stickydao,6159,21013
43,jAqbvKjXK5,518,8485
44,gcntHQMnFH,7,36
45,AFEwGD4chr,530,3262
46,spwwYT7eVz,225,3702
47,mangasociety,1107,25945
48,M9J7hkERY5,197,3956
49,GWXyrkW85e,9,30
50,waifuharemclub,2955,21027
51,wchCkbUBhT,8,72
52,EQ8gD9c5Aw,175,2426
53,H6qtz9y2Fy,239,460
54,nXgvA9DzXQ,513,2088
55,PR7r8WEd5K,94,389
56,RwKbhJWE3E,1838,15335
57,headypipe,78,599
58,uRMMdaNKFv,1076,5233
59,gorillas,3114,6646
60,qpNedkn4D5,35,841
61,impermanent-digital,452,3073
62,CT9kMzYUKD,118,2698
63,MetaF1Club,5138,32842
64,rRrnHCQsvn,3460,25736
65,boredsone,1435,20554
66,vKA7tqvhRX,2333,16374
67,frck,5026,31648
