,discord,online_members,total_members
0,aTzMGs3GxZ,163,5393
1,8aVXmMeep9,998,10469
2,nftstar,3308,68017
3,RZCTpe54t3,69,962
4,thehumanians,10966,62998
5,Kj9GuuqFEq,16,173
6,karmacats,5957,38456
7,fastfoodpunks,309,4704
8,KTKWFtkq7m,2917,5320
9,retrorollers,5730,21546
10,alphaaliens,191,6161
11,7enfpkVPBf,1283,7288
12,SHIBAYC,793,12157
13,Qe4hX2bS3A,15,225
14,sHqaUNpvR6,13,120
15,yoomoota,7599,40804
16,curiousbunniesnft,1220,12621
17,Q9UxeGTJyP,19,194
18,XFUaypfJ8n,49,350
19,QYD7ZwpMyf,20,650
20,nftcombinator,34,203
21,,395,5285
22,JynUTRszHF,24,243
23,kKBpWFrNen,2675,17392
24,jjMuncsZgX,260,2579
25,BSKebxFkYm,34,764
26,pixa,212,1225
27,sne8ty7Abs,952,27202
28,Pve3rmKpxN,103,604
29,fp7YcceDsV,654,18166
30,,395,5285
31,wTZc9yCYRA,139,6154
32,thecryptomasks,148,2819
33,pqkGKNfKtK,66,860
34,animapes,8249,39868
35,dorksnft123,676,4079
36,reseau,7798,60274
37,qYQ9R48Srh,51,859
38,Bcgy7XHUf4,303,7731
39,87kgqRugtz,4,66
40,EJy9NKh3gH,416,4745
41,sadboysclub,162,2710
42,YPa7KDTKRU,663,5893
43,CvzeC9fZDS,196,967
44,meta-xstudios,137,737
45,n9mqgse4VZ,14181,142687
46,c2ag3gwZRS,65,921
47,7JzgwYDJht,409,4515
48,yellowfames,405,11570
49,2z5PpXsS2K,84,16035
50,shukunanft,899,4842
51,McphYRHMTA,1314,7563
52,m9tDVzAXDS,2296,9181
53,,395,5285
54,7X9D4STbVe,74,1450
55,Cj42Smu9Q5,12,304
56,qzZ3SpDVUU,192,1202
57,82TKe2swvZ,287,3326
58,4fvpfeqah4 ,219,1429
59,adeEYRAbmy,1029,3661
60,chihuahuarevenge,987,2780
61,adeEYRAbmy,1029,3661
62,95rV9UEtX2,331,3191
63,jDAqpjxs79,419,6313
64,fbsXxBaKCm,21,141
65,HPRy95aJ2r,962,10464
66,ywW8xDHMvU,76,849
67,wastedwhales,2270,17810
68,ACDealerNFT,2823,10748
69,MwM8P8MrSR,10,65
70,7HRyXby2XA,486,2155
71,mutanthamsters,1035,4341
72,nohesi,536,4125
73,N3gPPZgshw,905,5987
74,hJdaWqgUX8,9,29
75,3A7dj5wtDq,53,1155
76,sg8VWbmZaK,593,2185
77,KbSfMYuMZ2,578,4048
78,creativefriendz,666,2565
79,ZUCyVxygBc,171,1233
80,PQ5fdTn7hH,93,937
81,jbas,1665,13139
82,magiccraftgame,474,12318
83,bU6wTaAhB8,273,25587
84,RMhMSUkEKs,1290,6317
85,9talesNFT,4603,19177
86,PR7r8WEd5K,85,546
87,pzmedwhaE7,50,3169
88,phATapAshn,561,3454
89,AVXkRckW9g,2003,9206
90,Z6f8ZkKy83,1146,9884
91,demions,511,1612
92,foxnationdao,46,542
93,cthulhuarmageddon2022,2062,13025
94,p8t7bgKzsy,308,5481
95,4MQqef5mnc,983,3218
96,drsniffynft,103,1501
97,None,112,5304
98,planetbb01,180,4380
99,MetaVolution,2386,7699
100,labyrinthine,124,1538
101,282sbZnFkQ,27,555
102,9SCjU4jqrJ,5,27
103,MdjqPSHj6X,54,900
104,Zt4wqQPqfR,7,44
105,ptU4uStCC2,33,455
106,QeR9yvSWvk,119,2784
107,4rNUQ2kPHy,17,52
108,KjGwHf4pZr,91,6770
109,qA3d5a5BWQ,76,731
110,r6QeuHPdG8,137,526
111,FWVhP6vKy6,398,2297
112,KW6BMJm2B9,21,305
113,KW6BMJm2B9,21,305
114,65wSm9GaWb,11,153
115,CR3E3YEvUF,131,2868
116,monkchains,2513,19710
117,5F9FAuR5GC,135,1687
118,MPbB7EjBEW,21,577
119,DUcbbFgMBW,467,1389
120,bPyEMSG84A,71,1132
121,qpNedkn4D5,41,1200
122,5QGBX95Evh,46,923
123,tJBKzVfvBK,101,677
124,denizen,615,1680
125,mXkAttjYey,63,1376
126,glodyknights,249,2241
127,cyberzillaz,638,2927
128,dFRKMM6P3Q,137,2294
129,mkVcDGn2e9,183,1915
130,CGmAuACtRh,295,1199
131,z7HFNAJkeY,14,140
132,PkardUkwKZ,228,2325
133,bjwbkEGham,40,1519
134,FUbrVEFxds,1321,40944
135,zelenskiynft,136,3916
136,caverncores,17,68
137,T6ZeUpxjTU,490,7230
138,55EgnjPCgH,34,130
139,DmZSshnct4,9,139
140,npp3PZKyp5,376,8101
141,FAA65MbNpg,20,1686
142,4bfvEMKSDE,218,818
143,GAJPfv5Vpu,13,111
144,nUWhtExCkw,34,1634
145,976DrsZtk7,33,1992
146,eAgqaA9Rrn,225,8486
147,dribblie,348,18390
148,P4DscBhgZp,46,2088
149,wEznPag4eD,13,28
150,poc-nft,1734,17615
151,rjsz6sKz63,16,152
152,7PaBK6BbAj,37,519
153,JSZnasaa7p,323,4319
