,discord,online_members,total_members
0,QWKZd3krGM,1306,13316
1,fRzZgDdzcp,46,378
2,bitlectro,1166,7807
3,supermetaplus,297,3025
4,BhVdueKm3U,382,17738
5,pBvYy6C6ev,621,19763
6,saucyunicorns,513,4613
7,pulseapp,361,1667
8,JuFKHCvvgx,833,11467
9,zenft,1548,5484
10,AtlanticVoyageApeClub,1471,9793
11,aQvB4u7gWm,91,2546
12,yjtfwUFFC6,65,609
13,NVUhtfFjum,8,121
14,jTapCSDMce,1205,10734
15,Bv4k7npwM2,30,285
16,HuZm8GEvBM,62,459
17,atPBVFtwV9,373,2162
18,2zWxwGbpNk,24,243
19,yZzduzwJBB,262,4399
20,hapegirls,6385,30341
21,ExmxNHRJ27,38,680
22,,745,5235
23,ccdc,84,1100
24,foodmoon,1555,10775
25,W28Rq5nA4G,53,4422
26,QYUwESDWa6,3164,21281
27,er9KSpWxd3,45,569
28,dBSGCvYEw3,13,58
29,DnexH5j7qt,13,59
30,kevinthemonkey,702,3665
31,XG6fuRzpFw,72,706
32,dypcaws,355,6176
33,xRjME9E3gs,15,69
34,XWvmp4NpnN,245,4545
35,2CYRCUNQns,13,201
36,VpTqJ9a9h7,139,749
37,sqwizz,1118,5002
38,ninjabears,3168,10469
39,x8j32mZmDv,70,3081
40,46DqE5hrQq,618,3406
41,EnbXcjanWT,669,3205
42,dpdDMepYMJ,2177,23924
43,royalcrows,601,15732
44,WQM2MF385Q,278,2080
45,casc,260,2460
46,4eb9aVTYjc,216,5821
47,RyDunxxxjR,4318,9152
48,FQgWK3xvAb,88,1080
49,Zj62CSEXdU,5,17
50,sr2VTYBNfg,58,592
51,ZYKWPhjvEZ,106,6902
52,QYxwK8Te8P,1064,6104
53,,745,5235
54,KCEdyYWM4M,107,879
55,b5b6DKKuaq,39,267
56,KeGHXbKW4r,46,919
57,ubwqS64v73,8,159
58,7xP6Bd9ydN ,49,1027
59,,745,5235
60,stickydao,3790,13112
61,jAqbvKjXK5,114,3753
62,gcntHQMnFH,3,19
63,AFEwGD4chr,510,2128
64,mutantsquad,1198,7098
65,RHINOSAVANNANFT,1332,9200
66,mangasociety,783,20900
67,GWXyrkW85e,7,18
68,waifuharemclub,2989,12918
69,EQ8gD9c5Aw,130,2439
70,gFZVusj6r4,1,54
71,PR7r8WEd5K,96,365
72,RwKbhJWE3E,1792,15241
73,cqQhERejDY,117,968
74,headypipe,101,531
75,uRMMdaNKFv,1071,5290
76,gorillas,3099,6010
77,qpNedkn4D5,28,828
78,MetaF1Club,4358,29808
79,rRrnHCQsvn,3342,23210
80,boredsone,1328,9894
81,fzxWzpvG73,85,875
82,DH6vaGzYH3,391,2254
83,unifriends,227,2047
84,ywvZjzCCVt,164,17476
85,fPvZWjahZZ,2173,14017
86,gqbqnGMv5x,133,2610
87,6WUkAv73NK,7,16
88,xb9t3CRxYG,1961,12951
89,lnr,399,7072
90,989VTDkxQZ,148,3213
91,sg8VWbmZaK,224,1253
92,83QxAxbKsF,9,402
93,smurfzillaz,80,1087
94,e27AAT7CXB,2142,40756
95,meta-nomads,44,229
96,goodmonkeyz,411,3694
97,ukiyoplayers,3371,14518
98,yaDcK9J5ze,270,13982
99,metaversesociety,103,972
100,supgators,260,4431
101,neonplexus,1494,6782
102,ethxai,3052,17352
103,HjnVyxydv9,603,5548
104,Valorien,194,2009
105,mt8yzgVxrS,50,347
106,SYgdh52e7u,2614,17258
107,gadonft,693,9902
108,Uk2uAfZ9GZ,11,31
109,misfitsapesociety,185,9150
110,EByvEYejUU,64,275
111,GyNfcuzSar,91,2260
112,TSeJ9G2p8B,1906,22719
113,QPHRcpgstk,16,49
114,kvU3ZtNxMP,206,1684
115,haddiesbayclub,25,554
116,v8fyBScyeT,380,10611
117,silks,860,12129
118,8aVXmMeep9,948,6736
119,CyxygNw65x,34,241
120,successmetacity,185,2064
121,eQMACVpU8s,235,8089
122,feggz,1270,15389
